point_idx,x,y,theta
0,3.259521,-1.004615,-0.000000
1,3.259521,-1.004615,0.400000
2,3.259521,-1.004615,0.800000
3,3.259521,-1.004615,1.200000
4,3.346487,-0.780925,1.600000
5,3.339479,-0.541028,1.714237
6,3.305171,-0.303492,1.762254
7,3.259501,-0.067878,1.783314
8,3.208880,0.166723,1.792612
9,3.156325,0.399754,1.801547
10,3.103211,0.625836,1.820041
11,3.047483,0.844775,1.857031
12,2.985427,1.055621,1.910423
13,2.914158,1.257336,1.987069
14,2.825504,1.457861,1.969999
15,2.773072,1.582150,2.350836
16,2.615429,1.741492,2.714361
17,2.402238,1.838552,3.064013
18,2.162960,1.857153,-2.993326
19,1.925593,1.821699,-3.030556
20,1.687143,1.795113,-3.068170
21,1.447888,1.777514,-3.093943
22,1.208605,1.766104,-3.109730
23,0.969726,1.758490,-3.117733
24,0.731106,1.752796,-3.119722
25,0.493181,1.747591,-3.117063
26,0.258987,1.741846,-3.110786
27,0.027825,1.734722,-3.103177
28,-0.184698,1.726554,-3.095428
29,-0.380023,1.717530,-3.088643
30,-0.560740,1.707952,-3.082967
31,-0.729580,1.698043,-3.078769
32,-0.889443,1.687986,-3.077285
33,-1.043288,1.678079,-3.079702
34,-1.193952,1.668743,-3.085836
35,-1.344625,1.660333,-3.095509
36,-1.344625,1.660333,2.787676
37,-1.344625,1.660333,2.387676
38,-1.344625,1.660333,1.987676
39,-1.344625,1.660333,1.587676
40,-1.344628,1.660502,1.187676
41,-1.260375,1.869547,0.794019
42,-1.236187,1.894156,0.401137
43,-1.187383,1.914855,0.009160
44,-1.125532,1.915422,-0.382103
45,-1.069764,1.893011,-0.772996
46,-1.035180,1.859275,-1.163813
47,-0.940489,1.639599,-1.563150
48,-0.940376,1.624812,-1.962494
49,-0.943541,1.617149,-2.361848
50,-0.948569,1.612177,-2.761203
51,-1.116712,1.544943,3.122607
52,-1.124177,1.545085,2.723245
53,-1.130043,1.547692,2.323889
54,-1.132647,1.550470,1.924527
55,-1.132723,1.550677,1.525154
56,-1.122537,1.773675,1.125577
57,-1.119031,1.781022,0.726119
58,-1.104569,1.793865,0.326851
59,-1.081178,1.801794,-0.072176
60,-1.056853,1.800036,-0.470943
61,-0.855230,1.697378,-0.870703
62,-0.844197,1.684282,-1.270294
63,-0.841526,1.675662,-1.669848
64,-0.842006,1.670829,-2.069408
65,-0.842920,1.669150,-2.468972
66,-0.997448,1.546065,-2.868936
67,-0.997448,1.546065,3.014281
68,-0.997448,1.546065,2.614309
69,-0.997448,1.546065,2.214336
70,-0.997448,1.546065,1.814364
71,-1.050894,1.761141,1.414364
72,-1.050894,1.761141,1.014364
73,-1.048297,1.765316,0.614364
74,-1.041432,1.770159,0.214364
75,-1.035398,1.771473,-0.185636
