wp_idx,x,y
0,3.261791,-1.201235
1,3.204010,-1.408600
2,3.113796,-1.627220
3,3.013100,-1.844983
4,2.917104,-2.064936
5,2.810022,-2.242043
6,2.665208,-2.341223
7,2.434419,-2.407077
8,2.195119,-2.425391
9,1.956518,-2.451269
10,1.722992,-2.483607
11,1.516157,-2.515035
12,1.284485,-2.548050
13,1.045813,-2.573265
14,0.806139,-2.585771
15,0.569442,-2.586148
16,0.347039,-2.574931
17,0.137991,-2.552305
18,-0.059641,-2.517449
19,-0.245391,-2.471549
20,-0.420685,-2.415938
21,-0.586896,-2.351323
22,-0.746284,-2.277119
23,-0.891906,-2.198158
24,-1.036142,-2.116148
25,-1.091825,-1.828119
26,-1.033500,-1.595314
27,-0.981222,-1.361077
28,-0.938913,-1.124852
29,-0.906658,-0.887076
30,-0.883972,-0.648203
31,-0.870713,-0.417812
32,-0.865384,-0.196522
33,-0.866672,0.016701
34,-0.873427,0.223172
35,-0.884638,0.423854
36,-0.899387,0.619507
37,-0.916841,0.811132
38,-0.936233,0.999766
39,-0.956892,1.186941
40,-0.978120,1.373678
41,-0.999656,1.560239
42,-1.021311,1.747545
43,-0.876644,1.515820
44,-1.116398,1.499655
45,-0.969284,1.672644
46,-0.873749,1.454800
47,-1.000000,1.750000
