diag_stamp,log_stamp,detected,true_available,true_x,true_y,true_yaw,state_available,state_x,state_y,state_yaw,state_age_s,state_fresh,state_pos_error,state_yaw_error_deg,obs_u,obs_v,obs_yaw,obs_yaw_error_deg,pixel_pose_available,pixel_pose_stamp,pixel_pose_u,pixel_pose_v,pixel_pose_yaw,pixel_pose_age_s,pixel_pose_fresh,pred_world_x,pred_world_y,localization_error_m,pred_world_x_calibrated,pred_world_y_calibrated,localization_error_calibrated_m,localization_error_captime_m,state_error_captime_m,bev_y_calibration_offset_m,u_red,v_red,red_area_px,u_blue,v_blue,blue_area_px,separation_px,border_margin_px,yolo_score_raw,yolo_score_selected,yolo_detected_after_threshold,yolo_best_class_id,yolo_target_candidate_count,bbox_area_px,bbox_xmin,bbox_ymin,bbox_xmax,bbox_ymax,logit_margin,class_entropy,mask_area_px,mask_bottom_u,mask_bottom_v,mask_used,mask_polygon_points,confidence_logit,mask_compactness,mask_border_frac,mask_score,selected_pixel_source_code,yolo_raw_best_score,yolo_selected_score,yolo_num_target_candidates,yolo_selected_class_id,yolo_selected_pixel_source,yolo_bbox_area,yolo_mask_area,yolo_inference_ms,detector_callback_ms,yolo_receive_stamp,yolo_start_stamp,yolo_finish_stamp,yolo_publish_stamp,yolo_latency_s,frame_age_at_publish_s,detector_total_latency_s,camera_relative_bearing_deg,seed
4.4,4.760000000000001,1,1,3.300000000004068,-1.0,-4.891723064844459e-12,0,nan,nan,nan,nan,0.0,nan,nan,960.6126686976559,298.42374230467743,nan,nan,0,nan,nan,nan,nan,nan,0.0,nan,nan,nan,nan,nan,nan,nan,nan,0.05,nan,nan,nan,nan,nan,nan,nan,298.42374230467743,0.8163648247718811,0.8163648247718811,1.0,0.0,277.0,434.82194006443024,949.8577270507812,278.10174560546875,971.1161499023438,298.55584716796875,nan,nan,nan,nan,nan,0.0,nan,1.4919102981848513,nan,nan,nan,1.0,0.8163648247718811,0.8163648247718811,277.0,0.0,bbox_bottom,434.82194006443024,nan,52.99027799992473,59.85516800001278,4.6000000000000005,4.6000000000000005,4.6000000000000005,4.6000000000000005,0.0,0.20000000000000018,0.20000000000000018,126.25383773719821,0
4.6,4.958,1,1,3.300000000004068,-1.0,-4.891722983773357e-12,1,3.249545373049816,-0.9905722655556859,-1.3452465257518244e-41,0.5579999999999998,1.0,0.05132788284982411,2.8027508151735545e-10,961.1273611270058,298.6607472851218,nan,nan,1,4.4,960.6126686976559,298.42374230467743,0.0,0.5579999999999998,1.0,3.2612873580756205,-1.0576937529210027,0.06947832590952303,3.249545373049816,-0.9905722655556859,0.05132788284982411,0.05132788284982411,0.05132788284982411,0.05,nan,nan,nan,nan,nan,nan,nan,298.6607472851218,0.8163648247718811,0.8163648247718811,1.0,0.0,277.0,434.82194006443024,949.8577270507812,278.10174560546875,971.1161499023438,298.55584716796875,nan,nan,nan,nan,nan,0.0,nan,1.4919102981848513,nan,nan,nan,1.0,0.8163648247718811,0.8163648247718811,277.0,0.0,bbox_bottom,434.82194006443024,nan,55.28037299973221,62.58754299960856,4.760000000000001,4.760000000000001,4.760000000000001,4.760000000000001,0.0,0.16000000000000103,0.16000000000000103,126.25383773719821,0
4.8,5.174,1,1,3.300000000004068,-1.0,-4.891722940396231e-12,1,3.253779730402526,-0.9938226658946514,-1.3452465257518244e-41,0.5740000000000007,1.0,0.04663124251709708,2.802750790320292e-10,959.9512691034014,298.9174422228782,nan,nan,1,4.8,959.9512691034014,298.9174422228782,0.0,0.37400000000000055,1.0,3.2524980043649103,-1.0645006344884318,0.08010475291212653,3.2408083412803617,-0.9972949605720585,0.05925343619378081,0.05925343619378081,0.04663124251709708,0.05,nan,nan,nan,nan,nan,nan,nan,298.9174422228782,0.8163648247718811,0.8163648247718811,1.0,0.0,277.0,434.82194006443024,949.8577270507812,278.10174560546875,971.1161499023438,298.55584716796875,nan,nan,nan,nan,nan,0.0,nan,1.4919102981848513,nan,nan,nan,1.0,0.8163648247718811,0.8163648247718811,277.0,0.0,bbox_bottom,434.82194006443024,nan,61.73767000018415,74.82384500008266,4.958,4.958,4.958,4.958,0.0,0.15800000000000036,0.15800000000000036,126.25383773719821,0
5.0,5.372000000000001,1,1,3.300000000004068,-1.0,-4.891722879752489e-12,1,3.2408083412803617,-0.9972949605720585,-1.3452465257518244e-41,0.572000000000001,1.0,0.05925343619378081,2.8027507555739873e-10,961.7909385216926,299.502928131098,nan,nan,1,5.0,961.7909385216926,299.502928131098,0.0,0.3720000000000008,1.0,3.268743993543958,-1.0725617474800349,0.07900724737130635,3.2570134587437987,-1.0053259173936182,0.043315218175653855,0.043315218175653855,0.05925343619378081,0.05,nan,nan,nan,nan,nan,nan,nan,299.502928131098,0.8163648247718811,0.8163648247718811,1.0,0.0,277.0,434.82194006443024,949.8577270507812,278.10174560546875,971.1161499023438,298.55584716796875,nan,nan,nan,nan,nan,0.0,nan,1.4919102981848513,nan,nan,nan,1.0,0.8163648247718811,0.8163648247718811,277.0,0.0,bbox_bottom,434.82194006443024,nan,63.14814200004548,75.64396699990539,5.174,5.174,5.174,5.174,0.0,0.17400000000000038,0.17400000000000038,126.25383773719821,0
5.2,5.571000000000001,1,1,3.300000000004068,-1.0,-4.891722812771906e-12,1,3.2570134587437987,-1.0053259173936182,-1.3452465257518244e-41,0.5710000000000006,1.0,0.043315218175653855,2.80275071719694e-10,959.7832032407555,297.2904256969227,nan,nan,1,5.0,961.7909385216926,299.502928131098,0.0,0.5710000000000006,1.0,3.268743993543958,-1.0725617474800349,0.07900724737130635,3.2570134587437987,-1.0053259173936182,0.043315218175653855,0.043315218175653855,0.043315218175653855,0.05,nan,nan,nan,nan,nan,nan,nan,297.2904256969227,0.8163648247718811,0.8163648247718811,1.0,0.0,277.0,434.82194006443024,949.8577270507812,278.10174560546875,971.1161499023438,298.55584716796875,nan,nan,nan,nan,nan,0.0,nan,1.4919102981848513,nan,nan,nan,1.0,0.8163648247718811,0.8163648247718811,277.0,0.0,bbox_bottom,434.82194006443024,nan,63.47682399973564,76.76595299972178,5.372000000000001,5.372000000000001,5.372000000000001,5.372000000000001,0.0,0.1720000000000006,0.1720000000000006,126.25383773719821,0
5.4,5.767,1,1,3.300000000004068,-1.0,-4.891722770033307e-12,1,3.245819652279696,-0.9750453385868669,-1.3452465257518244e-41,0.5670000000000002,1.0,0.05965102853914577,2.8027506927095263e-10,959.8636640140252,298.59717314731597,nan,nan,1,5.4,959.8636640140252,298.59717314731597,0.0,0.367,1.0,3.252944117923523,-1.0600859308131356,0.07631890408056911,3.2412407919594233,-0.9929211487254106,0.05918407442379759,0.05918407442379759,0.05965102853914577,0.05,nan,nan,nan,nan,nan,nan,nan,298.59717314731597,0.8163648247718811,0.8163648247718811,1.0,0.0,277.0,434.82194006443024,949.8577270507812,278.10174560546875,971.1161499023438,298.55584716796875,nan,nan,nan,nan,nan,0.0,nan,1.4919102981848513,nan,nan,nan,1.0,0.8163648247718811,0.8163648247718811,277.0,0.0,bbox_bottom,434.82194006443024,nan,55.66303200021139,63.306998000371095,5.571000000000001,5.571000000000001,5.571000000000001,5.571000000000001,0.0,0.17100000000000026,0.17100000000000026,126.25383773719821,0
5.6,5.946000000000001,1,1,3.300000000004068,-1.0,-4.891722700008248e-12,1,3.2412407919594233,-0.9929211487254106,-1.3452465257518244e-41,0.5460000000000003,1.0,0.05918407442379759,2.8027506525881233e-10,958.1619077019236,298.3370555040362,nan,nan,1,5.6,958.1619077019236,298.3370555040362,0.0,0.346000000000001,1.0,3.2367181955853632,-1.0564977649706273,0.08483268366121316,3.2250677632410403,-0.9893229393559388,0.07568909915111569,0.07568909915111569,0.05918407442379759,0.05,nan,nan,nan,nan,nan,nan,nan,298.3370555040362,0.8163648247718811,0.8163648247718811,1.0,0.0,277.0,434.82194006443024,949.8577270507812,278.10174560546875,971.1161499023438,298.55584716796875,nan,nan,nan,nan,nan,0.0,nan,1.4919102981848513,nan,nan,nan,1.0,0.8163648247718811,0.8163648247718811,277.0,0.0,bbox_bottom,434.82194006443024,nan,55.412109999906534,62.77350100026524,5.767,5.767,5.767,5.767,0.0,0.1670000000000007,0.1670000000000007,126.25383773719821,0
5.8,6.1610000000000005,1,1,3.300000000004068,-1.0,-4.891722631910572e-12,1,3.2250677632410403,-0.9893229393559388,-1.3452465257518244e-41,0.5610000000000008,1.0,0.07568909915111569,2.8027506135710287e-10,959.2410275293095,297.8235798132653,nan,nan,1,5.8,959.2410275293095,297.8235798132653,0.0,0.36100000000000065,1.0,3.249838925257894,-1.049407471693531,0.07040761094397649,3.23811869389518,-0.9823306836117589,0.06435449314049234,0.06435449314049234,0.07568909915111569,0.05,nan,nan,nan,nan,nan,nan,nan,297.8235798132653,0.8163648247718811,0.8163648247718811,1.0,0.0,277.0,434.82194006443024,949.8577270507812,278.10174560546875,971.1161499023438,298.55584716796875,nan,nan,nan,nan,nan,0.0,nan,1.4919102981848513,nan,nan,nan,1.0,0.8163648247718811,0.8163648247718811,277.0,0.0,bbox_bottom,434.82194006443024,nan,64.84861899980388,77.60368100025516,5.946000000000001,5.946000000000001,5.946000000000001,5.946000000000001,0.0,0.1460000000000008,0.1460000000000008,126.25383773719821,0
6.0,6.381,1,1,3.300000000004068,-1.0,-4.8917225457664165e-12,1,3.23811869389518,-0.9823306836117589,-1.3452465257518244e-41,0.5810000000000004,1.0,0.06435449314049234,2.8027505642140636e-10,959.9426794937052,298.2395470115996,nan,nan,1,5.8,959.2410275293095,297.8235798132653,0.0,0.5810000000000004,1.0,3.249838925257894,-1.049407471693531,0.07040761094397649,3.23811869389518,-0.9823306836117589,0.06435449314049234,0.06435449314049234,0.06435449314049234,0.05,nan,nan,nan,nan,nan,nan,nan,298.2395470115996,0.8163648247718811,0.8163648247718811,1.0,0.0,277.0,434.82194006443024,949.8577270507812,278.10174560546875,971.1161499023438,298.55584716796875,nan,nan,nan,nan,nan,0.0,nan,1.4919102981848513,nan,nan,nan,1.0,0.8163648247718811,0.8163648247718811,277.0,0.0,bbox_bottom,434.82194006443024,nan,61.63892199992915,74.37065500016615,6.1610000000000005,6.1610000000000005,6.1610000000000005,6.1610000000000005,0.0,0.16100000000000048,0.16100000000000048,126.25383773719821,0
6.2,6.578,1,1,3.300000000004068,-1.0,-4.89172244876431e-12,1,3.2435164136096404,-0.9880375996037734,-1.3452465257518244e-41,0.5780000000000003,1.0,0.057736423124544405,2.802750508635951e-10,960.8985690129366,299.59836053741145,nan,nan,1,6.0,959.9426794937052,298.2395470115996,0.0,0.5780000000000003,1.0,3.255241950934007,-1.0551519860764886,0.0710283360690591,3.2435164136096404,-0.9880375996037734,0.057736423124544405,0.057736423124544405,0.057736423124544405,0.05,nan,nan,nan,nan,nan,nan,nan,299.59836053741145,0.8163648247718811,0.8163648247718811,1.0,0.0,277.0,434.82194006443024,949.8577270507812,278.10174560546875,971.1161499023438,298.55584716796875,nan,nan,nan,nan,nan,0.0,nan,1.4919102981848513,nan,nan,nan,1.0,0.8163648247718811,0.8163648247718811,277.0,0.0,bbox_bottom,434.82194006443024,nan,54.37003899987758,63.86134200010929,6.381,6.381,6.381,6.381,0.0,0.18100000000000005,0.18100000000000005,126.25383773719821,0
