wp_idx,x,y
0,-5.142842,-0.744847
1,-5.040757,-0.933536
2,-5.012682,-1.124300
3,-4.992275,-1.318679
4,-4.971930,-1.518235
5,-4.950828,-1.724252
6,-4.928818,-1.938201
7,-4.905307,-2.161541
8,-4.628140,-2.352820
9,-4.395124,-2.367177
10,-4.166105,-2.368825
11,-3.939409,-2.369430
12,-3.721273,-2.368009
13,-3.514700,-2.361935
14,-3.312420,-2.347904
15,-3.128150,-2.327746
16,-2.950124,-2.302864
17,-2.898635,-2.088680
18,-2.907537,-1.859807
19,-2.923228,-1.637600
20,-2.938580,-1.419677
21,-2.952438,-1.204734
22,-2.964585,-0.991643
23,-2.974942,-0.779354
24,-2.980553,-0.566636
25,-3.135681,-0.763577
26,-3.034678,-0.873080
27,-2.951527,-0.787406
28,-3.033074,-0.674057
29,-3.103947,-0.895415
30,-3.000000,-0.750000
