point_idx,x,y,theta
0,-5.276399,-0.727749,0.000000
1,-5.202015,-0.727749,-0.365036
2,-5.158238,-0.744479,-0.731118
3,-5.145638,-0.755780,-1.097653
4,-5.047302,-0.947872,-1.423597
5,-5.017349,-1.149882,-1.459323
6,-4.994539,-1.353663,-1.458942
7,-4.971282,-1.560712,-1.457953
8,-4.947335,-1.772024,-1.460930
9,-4.923441,-1.988631,-1.467154
10,-4.899989,-2.214107,-1.486385
11,-4.899366,-2.221471,-1.128612
12,-4.889837,-2.241596,-0.770984
13,-4.870828,-2.260066,-0.413331
14,-4.651100,-2.356438,-0.056014
15,-4.416621,-2.369586,-0.000360
16,-4.188798,-2.369668,0.004203
17,-3.970131,-2.368749,0.010013
18,-3.759590,-2.366640,0.024844
19,-3.556385,-2.361591,0.050863
20,-3.358005,-2.351492,0.083449
21,-3.169210,-2.335701,0.108378
22,-2.984375,-2.315590,0.126744
23,-2.977032,-2.314654,0.523461
24,-2.962368,-2.306191,0.920085
25,-2.961821,-2.305472,1.316713
26,-2.906270,-2.091564,1.567077
27,-2.905403,-1.858376,1.600336
28,-2.912198,-1.628418,1.603287
29,-2.919579,-1.401296,1.602165
30,-2.926646,-1.176092,1.601332
31,-2.933487,-0.952120,1.601596
32,-2.940369,-0.728759,1.575947
33,-2.941521,-0.505210,1.553399
34,-2.941394,-0.497937,1.915199
35,-2.945064,-0.487706,2.276968
36,-2.966370,-0.462725,2.638657
37,-2.966766,-0.462507,3.000313
38,-2.968695,-0.462233,-2.921179
39,-2.972587,-0.463105,-2.559392
40,-2.977701,-0.466471,-2.197509
41,-3.110798,-0.650284,-1.895840
42,-3.114250,-0.660525,-1.535413
43,-3.113938,-0.669324,-1.175012
44,-3.113165,-0.671175,-0.814668
45,-2.995434,-0.796008,-0.419189
46,-2.964674,-0.809714,-0.024040
47,-2.963661,-0.809739,0.370950
48,-2.944012,-0.802096,0.765570
49,-2.929406,-0.788059,1.159848
50,-2.927110,-0.782789,1.554197
51,-2.924735,-0.639715,1.949077
52,-2.934670,-0.614715,2.344044
53,-2.945234,-0.603891,2.739023
54,-2.956523,-0.599084,3.134039
55,-2.973205,-0.598958,-2.754051
56,-3.066282,-0.636951,-2.392362
57,-3.076013,-0.646003,-1.993145
58,-3.078708,-0.651998,-1.593872
59,-3.078836,-0.657553,-1.194577
60,-3.063372,-0.696698,-0.795364
61,-3.014408,-0.746648,-0.395982
62,-2.945927,-0.775277,0.003613
63,-2.945523,-0.775276,0.403208
64,-2.944909,-0.775014,0.802797
65,-2.944574,-0.774667,1.202378
66,-2.941341,-0.766293,1.601917
67,-2.941801,-0.751527,2.001485
68,-3.038882,-0.540232,2.267877
69,-3.038882,-0.540232,2.667877
70,-3.038882,-0.540232,3.067877
71,-3.038882,-0.540232,-2.815308
72,-3.038882,-0.540232,-2.415308
73,-3.038882,-0.540232,-2.015308
74,-3.138658,-0.749713,-1.615308
75,-3.138658,-0.749713,-1.215308
