plan_stamp,point_idx,x,y
37.216,0,-5.276399197943865,-0.7277492739540099
37.216,1,-5.202014761787337,-0.7277492739540099
37.216,2,-5.158238195416454,-0.7444790689223802
37.216,3,-5.14563845392428,-0.7557801907296051
37.216,4,-5.047301829377639,-0.9478716689138869
37.216,5,-5.017349364006198,-1.1498817400259556
37.216,6,-4.994538545010172,-1.353663216976046
37.216,7,-4.97128226082249,-1.5607119972501078
37.216,8,-4.9473354787828026,-1.7720235741829098
37.216,9,-4.923441428792355,-1.9886313927143822
37.216,10,-4.89998865023783,-2.21410687869428
37.216,11,-4.899365529977498,-2.2214713308016862
37.216,12,-4.889837295854696,-2.2415963679021815
37.216,13,-4.870827647390754,-2.26006574722621
37.216,14,-4.651099535036336,-2.356437905321943
37.216,15,-4.41662133898387,-2.369585806719564
37.216,16,-4.188797653888173,-2.369667728207432
37.216,17,-3.9701311828002055,-2.368748618012908
37.216,18,-3.7595902691818828,-2.3666404364919273
37.216,19,-3.5563848395049136,-2.3615908678028017
37.216,20,-3.358005218932936,-2.3514920593353015
37.216,21,-3.169209657224965,-2.335700533357015
37.216,22,-2.9843745412855682,-2.315589639039536
37.216,23,-2.9770315589488043,-2.314653943457642
37.216,24,-2.9623678529714583,-2.3061905378318936
37.216,25,-2.9618211318190166,-2.305472422302038
37.216,26,-2.9062698367568105,-2.0915635140530497
37.216,27,-2.905402610258316,-1.8583764350400835
37.216,28,-2.9121975519865986,-1.6284179115302295
37.216,29,-2.919579479774263,-1.401296459174041
37.216,30,-2.9266462153388995,-1.1760915179364513
37.216,31,-2.933487356890276,-0.9521203927500721
37.216,32,-2.940369018411011,-0.7287587629216515
37.216,33,-2.941520544082944,-0.5052102355080405
37.216,34,-2.941393997595208,-0.49793719768830697
37.216,35,-2.945063877269457,-0.4877060962023182
37.216,36,-2.966370034408918,-0.4627250670849731
37.216,37,-2.966766312143659,-0.4625070663993712
37.216,38,-2.968695307147069,-0.4622327105658792
37.216,39,-2.9725869419279976,-0.46310464812023727
37.216,40,-2.977701202823577,-0.46647145962582853
37.216,41,-3.110798415836169,-0.6502838909915578
37.216,42,-3.1142496471187093,-0.6605250355852551
37.216,43,-3.1139381776494495,-0.6693241041313017
37.216,44,-3.1131647762220975,-0.6711750852053775
37.216,45,-2.9954340620522575,-0.7960076133145992
37.216,46,-2.96467355655297,-0.8097144877060879
37.216,47,-2.963660944490956,-0.809738835665884
37.216,48,-2.9440120728829133,-0.8020962872924443
37.216,49,-2.9294062758382062,-0.788058516155708
37.216,50,-2.927109868077811,-0.7827886131112967
37.216,51,-2.924734721130471,-0.6397151513216173
37.216,52,-2.9346701532635757,-0.6147153639543415
37.216,53,-2.945234391583287,-0.6038912320827249
37.216,54,-2.9565232059718,-0.599084167965591
37.216,55,-2.9732051499394867,-0.5989581609780563
37.216,56,-3.0662817545738186,-0.6369506015158845
37.216,57,-3.0760134971381112,-0.6460026843883993
37.216,58,-3.0787076131242297,-0.6519976965995045
37.216,59,-3.078835823908112,-0.6575529161064224
37.216,60,-3.063372055174677,-0.696698158542328
37.216,61,-3.01440807366644,-0.7466478911305777
37.216,62,-2.945927229112602,-0.7752773694202614
37.216,63,-2.9455226799809346,-0.775275907642702
37.216,64,-2.944909339995488,-0.7750142694803915
37.216,65,-2.944574076198623,-0.774667131350557
37.216,66,-2.9413414469495773,-0.7662934177382602
37.216,67,-2.9418011351699422,-0.7515269958745701
37.216,68,-3.038881641532226,-0.5402317722412058
37.216,69,-3.038881641532226,-0.5402317722412058
37.216,70,-3.038881641532226,-0.5402317722412058
37.216,71,-3.038881641532226,-0.5402317722412058
37.216,72,-3.038881641532226,-0.5402317722412058
37.216,73,-3.038881641532226,-0.5402317722412058
37.216,74,-3.1386582278962827,-0.7497125301276386
37.216,75,-3.1386582278962827,-0.7497125301276386
