wp_idx,x,y
0,3.337685,-0.804477
1,3.348295,-0.654853
2,3.333834,-0.505552
3,3.312231,-0.357115
4,3.285862,-0.209451
5,3.255334,-0.062591
6,3.221061,0.083441
7,3.184351,0.228880
8,3.146070,0.373913
9,3.106946,0.518721
10,3.067587,0.663465
11,3.028491,0.808280
12,2.990055,0.953272
13,2.952585,1.098517
14,2.916294,1.244061
15,2.881313,1.389925
16,2.847691,1.536108
17,2.666390,1.673406
18,2.521722,1.699556
19,2.380816,1.691022
20,2.244423,1.679078
21,2.112101,1.667957
22,1.982843,1.657751
23,1.857195,1.648390
24,1.734231,1.639692
25,1.613673,1.631545
26,1.378506,1.616539
27,1.149688,1.602862
28,0.923942,1.590039
29,0.812821,1.610170
30,0.958952,1.715334
31,1.112380,1.558701
32,0.985283,1.595547
33,0.986208,1.598677
34,1.000000,1.750000
