point_idx,x,y,theta
0,3.251211,-1.002835,-0.000000
1,3.251211,-1.002835,-0.249906
2,3.251211,-1.002835,-0.499813
3,3.251211,-1.002835,-0.749719
4,3.251211,-1.002835,-0.999626
5,3.251219,-1.002847,-1.249162
6,3.251233,-1.002888,-1.498991
7,3.259131,-1.112690,-1.748914
8,3.234582,-1.249055,-1.844075
9,3.196609,-1.384530,-1.897795
10,3.151497,-1.517535,-1.929987
11,3.102031,-1.649276,-1.944677
12,3.050171,-1.781459,-1.943769
13,2.997952,-1.914914,-1.928842
14,2.950718,-2.041149,-2.111931
15,2.879042,-2.160416,-2.293714
16,2.789622,-2.261771,-2.474549
17,2.672885,-2.353696,-2.670181
18,2.540912,-2.420968,-2.886191
19,2.401405,-2.457394,-3.080534
20,2.266925,-2.465615,-3.126858
21,2.135610,-2.467550,3.107239
22,2.010850,-2.463263,3.052908
23,1.891154,-2.452620,2.995697
24,1.776033,-2.435704,2.934648
25,1.665620,-2.412523,2.868145
26,1.560183,-2.382950,2.795212
27,1.460239,-2.346877,2.714480
28,1.360724,-2.301585,2.636961
29,1.261971,-2.247040,2.591059
30,1.166461,-2.188413,2.575141
31,1.072951,-2.128942,2.587575
32,1.072901,-2.128912,2.367045
33,1.041224,-2.097915,2.146898
34,1.009978,-2.049815,1.927412
35,0.980879,-1.971708,1.708751
36,0.960252,-1.823133,1.506114
37,0.969947,-1.673447,1.315165
38,1.007876,-1.528321,1.309788
39,1.046584,-1.383402,1.345852
40,1.080042,-1.237181,1.382249
41,1.108157,-1.089839,1.417987
42,1.130989,-0.941587,1.452193
43,1.148738,-0.792641,1.483841
44,1.161765,-0.643210,1.512269
45,1.170538,-0.493476,1.537176
46,1.175579,-0.343591,1.558612
47,1.177407,-0.193639,1.576875
48,1.176495,-0.043685,1.592244
49,1.173284,0.106013,1.604982
50,1.168157,0.255925,1.615344
51,1.161590,0.403243,1.623610
52,1.153963,0.547532,1.630039
53,1.145537,0.689585,1.634852
54,1.136514,0.830258,1.638250
55,1.127077,0.969940,1.640413
56,1.117557,1.106474,1.641507
57,1.108070,1.240412,1.641626
58,1.098701,1.372470,1.640829
59,1.089526,1.503274,1.639255
60,1.080535,1.634403,1.638500
61,1.071579,1.766474,1.637718
62,1.062726,1.898564,1.636992
63,1.053932,2.031228,1.636391
64,1.045142,2.165040,1.635972
65,1.045142,2.165040,1.385972
66,1.045142,2.165040,1.135972
67,1.045142,2.165040,0.885972
68,1.045142,2.165040,0.635972
69,1.045142,2.165040,0.385972
70,1.045142,2.165040,0.135972
71,1.045395,2.165075,-0.114028
72,1.046657,2.164930,-0.364028
73,1.048291,2.164308,-0.614028
74,1.049249,2.163632,-0.864028
75,1.146627,2.049597,-1.114028
