diag_stamp,log_stamp,detected,true_available,true_x,true_y,true_yaw,state_available,state_x,state_y,state_yaw,state_age_s,state_fresh,state_pos_error,state_yaw_error_deg,obs_u,obs_v,obs_yaw,obs_yaw_error_deg,pixel_pose_available,pixel_pose_stamp,pixel_pose_u,pixel_pose_v,pixel_pose_yaw,pixel_pose_age_s,pixel_pose_fresh,pred_world_x,pred_world_y,localization_error_m,pred_world_x_calibrated,pred_world_y_calibrated,localization_error_calibrated_m,localization_error_captime_m,state_error_captime_m,bev_y_calibration_offset_m,u_red,v_red,red_area_px,u_blue,v_blue,blue_area_px,separation_px,border_margin_px,yolo_score_raw,yolo_score_selected,yolo_detected_after_threshold,yolo_best_class_id,yolo_target_candidate_count,bbox_area_px,bbox_xmin,bbox_ymin,bbox_xmax,bbox_ymax,logit_margin,class_entropy,mask_area_px,mask_bottom_u,mask_bottom_v,mask_used,mask_polygon_points,confidence_logit,mask_compactness,mask_border_frac,mask_score,selected_pixel_source_code,yolo_raw_best_score,yolo_selected_score,yolo_num_target_candidates,yolo_selected_class_id,yolo_selected_pixel_source,yolo_bbox_area,yolo_mask_area,yolo_inference_ms,detector_callback_ms,yolo_receive_stamp,yolo_start_stamp,yolo_finish_stamp,yolo_publish_stamp,yolo_latency_s,frame_age_at_publish_s,detector_total_latency_s,camera_relative_bearing_deg,seed
7.2,7.823,1,1,3.300000000004068,-1.0,-4.8917219754181075e-12,0,nan,nan,nan,nan,0.0,nan,nan,961.1433998988277,299.32135583006806,nan,nan,1,7.2,961.1433998988277,299.32135583006806,0.0,0.6230000000000002,1.0,3.262925846210467,-1.0700631134439458,0.07926747595937943,3.251210999017653,-1.0028345890188268,0.04887127491848429,0.04887127491848429,nan,0.05,nan,nan,nan,nan,nan,nan,nan,299.32135583006806,0.7701787948608398,0.7701787948608398,1.0,0.0,290.0,443.2688313797116,950.5385131835938,278.3034362792969,971.496826171875,299.4534606933594,nan,nan,nan,nan,nan,0.0,nan,1.2093210513561041,nan,nan,nan,1.0,0.7701787948608398,0.7701787948608398,290.0,0.0,bbox_bottom,443.2688313797116,nan,138.14538400038145,153.03386599953228,7.216,7.216,7.216,7.216,0.0,0.016000000000000014,0.016000000000000014,126.25383773719821,0
7.8,8.382,1,1,3.300000000004068,-1.0,-4.891721722940418e-12,1,3.251210999017653,-1.0028345890188268,-1.3452465257518244e-41,1.1819999999999995,1.0,0.04887127491848429,2.8027500927694937e-10,961.6580923281776,299.5583608105124,nan,nan,1,7.2,961.1433998988277,299.32135583006806,0.0,1.1819999999999995,1.0,3.262925846210467,-1.0700631134439458,0.07926747595937943,3.251210999017653,-1.0028345890188268,0.04887127491848429,0.04887127491848429,0.04887127491848429,0.05,nan,nan,nan,nan,nan,nan,nan,299.5583608105124,0.7701787948608398,0.7701787948608398,1.0,0.0,290.0,443.2688313797116,950.5385131835938,278.3034362792969,971.496826171875,299.4534606933594,nan,nan,nan,nan,nan,0.0,nan,1.2093210513561041,nan,nan,nan,1.0,0.7701787948608398,0.7701787948608398,290.0,0.0,bbox_bottom,443.2688313797116,nan,107.99622999911662,127.73967100110895,7.823,7.823,7.823,7.823,0.0,0.023000000000000576,0.023000000000000576,126.25383773719821,0
8.2,8.921000000000001,1,1,3.300000000004068,-1.0,-4.8917215068254216e-12,1,3.2554399777278,-1.0060775233241677,-1.3452465257518244e-41,1.1210000000000013,1.0,0.044972568027824594,2.802749968944722e-10,960.4820003045733,299.81505574826883,nan,nan,1,8.2,960.4820003045733,299.81505574826883,0.0,0.7210000000000019,1.0,3.2541455665925842,-1.0768543386103564,0.08949423683524838,3.242482963982611,-1.009541792200442,0.058303132257967225,0.058303132257967225,0.044972568027824594,0.05,nan,nan,nan,nan,nan,nan,nan,299.81505574826883,0.7701787948608398,0.7701787948608398,1.0,0.0,290.0,443.2688313797116,950.5385131835938,278.3034362792969,971.496826171875,299.4534606933594,nan,nan,nan,nan,nan,0.0,nan,1.2093210513561041,nan,nan,nan,1.0,0.7701787948608398,0.7701787948608398,290.0,0.0,bbox_bottom,443.2688313797116,nan,122.8172959999938,139.8061880008754,8.382,8.382,8.382,8.382,0.0,0.18200000000000038,0.18200000000000038,126.25383773719821,0
8.8,9.461,1,1,3.300000000004068,-1.0,-4.8917212803503016e-12,1,3.242482963982611,-1.009541792200442,-1.3452465257518244e-41,1.261000000000001,0.0,0.058303132257967225,2.8027498391840363e-10,962.3216697228645,300.4005416564886,nan,nan,1,8.8,962.3216697228645,300.4005416564886,0.0,0.6609999999999996,1.0,3.2703716460285075,-1.0848969230592314,0.08991844585081621,3.2586681983950045,-1.0175543352731098,0.044905150162667724,0.044905150162667724,0.058303132257967225,0.05,nan,nan,nan,nan,nan,nan,nan,300.4005416564886,0.7701787948608398,0.7701787948608398,1.0,0.0,290.0,443.2688313797116,950.5385131835938,278.3034362792969,971.496826171875,299.4534606933594,nan,nan,nan,nan,nan,0.0,nan,1.2093210513561041,nan,nan,nan,1.0,0.7701787948608398,0.7701787948608398,290.0,0.0,bbox_bottom,443.2688313797116,nan,154.79506600058812,177.24032399928547,8.921000000000001,8.921000000000001,8.921000000000001,8.921000000000001,0.0,0.12100000000000044,0.12100000000000044,126.25383773719821,0
9.4,10.077,1,1,3.300000000004068,-1.0,-4.891721006481512e-12,1,3.2586681983950045,-1.0175543352731098,-1.3452465257518244e-41,1.2769999999999992,0.0,0.044905150162667724,2.8027496822687784e-10,960.3139344419274,298.1880392223133,nan,nan,1,8.8,962.3216697228645,300.4005416564886,0.0,1.2769999999999992,0.0,3.2703716460285075,-1.0848969230592314,0.08991844585081621,3.2586681983950045,-1.0175543352731098,0.044905150162667724,0.044905150162667724,0.044905150162667724,0.05,nan,nan,nan,nan,nan,nan,nan,298.1880392223133,0.7701787948608398,0.7701787948608398,1.0,0.0,290.0,443.2688313797116,950.5385131835938,278.3034362792969,971.496826171875,299.4534606933594,nan,nan,nan,nan,nan,0.0,nan,1.2093210513561041,nan,nan,nan,1.0,0.7701787948608398,0.7701787948608398,290.0,0.0,bbox_bottom,443.2688313797116,nan,117.9286040005536,135.02854800026398,9.461,9.461,9.461,9.461,0.0,0.06099999999999994,0.06099999999999994,126.25383773719821,0
10.0,10.718,1,1,3.300000000004068,-1.0,-4.8917206859548004e-12,1,3.247491997286323,-0.9873434077979231,-1.3452465257518244e-41,1.3179999999999996,0.0,0.054011847548259315,2.802749498620501e-10,960.394395215197,299.4947866727066,nan,nan,1,10.0,960.394395215197,299.4947866727066,0.0,0.718,1.0,3.254591843265112,-1.0724497880189687,0.08550364017059808,3.2429156046103866,-1.005178042495665,0.05731876064212376,0.05731876064212376,0.054011847548259315,0.05,nan,nan,nan,nan,nan,nan,nan,299.4947866727066,0.7701787948608398,0.7701787948608398,1.0,0.0,290.0,443.2688313797116,950.5385131835938,278.3034362792969,971.496826171875,299.4534606933594,nan,nan,nan,nan,nan,0.0,nan,1.2093210513561041,nan,nan,nan,1.0,0.7701787948608398,0.7701787948608398,290.0,0.0,bbox_bottom,443.2688313797116,nan,114.94607600070594,130.7942630010075,10.077,10.077,10.077,10.077,0.0,0.07699999999999996,0.07699999999999996,126.25383773719821,0
10.6,11.311,1,1,3.300000000004068,-1.0,-4.891720394455099e-12,1,3.2429156046103866,-1.005178042495665,-1.3452465257518244e-41,1.311,0.0,0.05731876064212376,2.8027493316034744e-10,958.6926389030955,299.2346690294268,nan,nan,1,10.6,958.6926389030955,299.2346690294268,0.0,0.7110000000000003,1.0,3.2383851498848713,-1.06886987749979,0.09240914338985715,3.226761752995252,-1.0015880643282191,0.07325546241226592,0.07325546241226592,0.05731876064212376,0.05,nan,nan,nan,nan,nan,nan,nan,299.2346690294268,0.7701787948608398,0.7701787948608398,1.0,0.0,290.0,443.2688313797116,950.5385131835938,278.3034362792969,971.496826171875,299.4534606933594,nan,nan,nan,nan,nan,0.0,nan,1.2093210513561041,nan,nan,nan,1.0,0.7701787948608398,0.7701787948608398,290.0,0.0,bbox_bottom,443.2688313797116,nan,120.29786600032821,134.381220999785,10.718,10.718,10.718,10.718,0.0,0.11800000000000033,0.11800000000000033,126.25383773719821,0
11.2,11.929,1,1,3.300000000004068,-1.0,-4.891720177618128e-12,1,3.226761752995252,-1.0015880643282191,-1.3452465257518244e-41,1.3290000000000006,0.0,0.07325546241226592,2.802749207365042e-10,959.7717587304813,298.72119333865595,nan,nan,1,10.6,958.6926389030955,299.2346690294268,0.0,1.3290000000000006,0.0,3.2383851498848713,-1.06886987749979,0.09240914338985715,3.226761752995252,-1.0015880643282191,0.07325546241226592,0.07325546241226592,0.07325546241226592,0.05,nan,nan,nan,nan,nan,nan,nan,298.72119333865595,0.7701787948608398,0.7701787948608398,1.0,0.0,290.0,443.2688313797116,950.5385131835938,278.3034362792969,971.496826171875,299.4534606933594,nan,nan,nan,nan,nan,0.0,nan,1.2093210513561041,nan,nan,nan,1.0,0.7701787948608398,0.7701787948608398,290.0,0.0,bbox_bottom,443.2688313797116,nan,113.8034539999353,131.14607299939962,11.311,11.311,11.311,11.311,0.0,0.11100000000000065,0.11100000000000065,126.25383773719821,0
11.8,12.539000000000001,1,1,3.300000000004068,-1.0,-4.891719907376097e-12,1,3.2397987658187315,-0.9946119457451348,-1.3452465257518244e-41,1.3390000000000022,0.0,0.0604418706369278,2.802749052527763e-10,960.4734106948771,299.1371605369902,nan,nan,1,11.2,959.7717587304813,298.72119333865595,0.0,1.3390000000000022,0.0,3.2514918635055965,-1.0617959048207304,0.07856063364794816,3.2397987658187315,-0.9946119457451348,0.0604418706369278,0.0604418706369278,0.0604418706369278,0.05,nan,nan,nan,nan,nan,nan,nan,299.1371605369902,0.7701787948608398,0.7701787948608398,1.0,0.0,290.0,443.2688313797116,950.5385131835938,278.3034362792969,971.496826171875,299.4534606933594,nan,nan,nan,nan,nan,0.0,nan,1.2093210513561041,nan,nan,nan,1.0,0.7701787948608398,0.7701787948608398,290.0,0.0,bbox_bottom,443.2688313797116,nan,127.99211799938348,145.18663700073375,11.929,11.929,11.929,11.929,0.0,0.12899999999999956,0.12899999999999956,126.25383773719821,0
12.4,13.155000000000001,1,1,3.300000000004068,-1.0,-4.891719676181928e-12,1,3.245189374503677,-1.0003057384592655,-1.3452465257518244e-41,1.3550000000000004,0.0,0.054811478211681336,2.8027489200632624e-10,961.4293002141085,300.4959740628021,nan,nan,1,11.8,960.4734106948771,299.1371605369902,0.0,1.3550000000000004,0.0,3.2568877865203634,-1.0675271954561438,0.08011607253002849,3.245189374503677,-1.0003057384592655,0.054811478211681336,0.054811478211681336,0.054811478211681336,0.05,nan,nan,nan,nan,nan,nan,nan,300.4959740628021,0.7701787948608398,0.7701787948608398,1.0,0.0,290.0,443.2688313797116,950.5385131835938,278.3034362792969,971.496826171875,299.4534606933594,nan,nan,nan,nan,nan,0.0,nan,1.2093210513561041,nan,nan,nan,1.0,0.7701787948608398,0.7701787948608398,290.0,0.0,bbox_bottom,443.2688313797116,nan,124.04967200018291,139.49837899963313,12.539000000000001,12.539000000000001,12.539000000000001,12.539000000000001,0.0,0.13900000000000112,0.13900000000000112,126.25383773719821,0
