point_idx,x,y,theta
0,3.249545,-0.990572,-0.000000
1,3.249545,-0.990572,-0.400000
2,3.249545,-0.990572,-0.800000
3,3.249545,-0.990572,-1.200000
4,3.308416,-1.141996,-1.598306
5,3.303022,-1.338029,-1.709912
6,3.274289,-1.543236,-1.754436
7,3.235191,-1.753738,-1.772065
8,3.191126,-1.969712,-1.772403
9,3.145668,-2.192127,-1.759500
10,3.142562,-2.208392,-2.120145
11,3.125060,-2.236980,-2.480899
12,3.092903,-2.261973,-2.841941
13,2.869527,-2.330986,-3.072533
14,2.640752,-2.346811,-3.100403
15,2.413296,-2.356185,-3.114762
16,2.187723,-2.362238,-3.134347
17,1.963421,-2.363864,3.126868
18,1.740299,-2.360578,3.099760
19,1.518366,-2.351289,3.065177
20,1.296365,-2.334291,3.050513
21,1.075238,-2.314095,3.053531
22,1.075127,-2.314085,2.657955
23,1.059646,-2.305954,2.262949
24,1.042241,-2.284958,1.868478
25,0.971847,-2.055513,1.553726
26,0.975944,-1.815548,1.545938
27,0.981910,-1.575622,1.554239
28,0.985883,-1.335655,1.561025
29,0.988228,-1.095694,1.565697
30,0.989435,-0.858892,1.568553
31,0.989957,-0.626337,1.569899
32,0.990162,-0.398318,1.570003
33,0.990339,-0.174228,1.569098
34,0.990714,0.046627,1.567411
35,0.991453,0.264910,1.565214
36,0.992659,0.480919,1.561923
37,0.994559,0.695057,1.558453
38,0.997186,0.907837,1.556173
39,1.000287,1.119880,1.555301
40,1.003570,1.331727,1.554721
41,1.006973,1.543427,1.554460
42,1.010436,1.755343,1.554525
43,1.010437,1.755427,1.154722
44,1.010481,1.755527,0.754908
45,1.010569,1.755609,0.355083
46,1.010676,1.755649,-0.044745
47,1.013350,1.755529,-0.444561
48,1.022835,1.751010,-0.844336
49,1.034433,1.737959,-1.244050
50,1.111263,1.511248,-1.583783
51,1.110975,1.489060,-1.981893
52,1.103116,1.471030,-2.380006
53,1.093114,1.461494,-2.778142
54,1.087768,1.459460,3.106889
55,1.087768,1.459460,2.708734
56,0.880166,1.555390,2.308745
57,0.879472,1.556153,1.908757
58,0.879334,1.556547,1.508768
59,0.879340,1.556642,1.108779
60,0.879396,1.556754,0.708790
61,1.053346,1.705904,0.309613
62,1.053454,1.705939,-0.089565
63,1.056062,1.705705,-0.488739
64,1.062052,1.702519,-0.887898
65,1.068040,1.695158,-1.287040
66,1.135064,1.465330,-1.685820
67,1.134055,1.456601,-2.084599
68,1.131305,1.451727,-2.483384
69,1.130492,1.451098,-2.882172
70,1.130395,1.451073,3.002224
71,0.900767,1.483284,2.602224
72,0.900767,1.483284,2.202224
73,0.900767,1.483285,1.802224
74,0.900762,1.483307,1.402225
75,0.900767,1.483333,1.002225
