wp_idx,x,y
0,3.308416,-1.141996
1,3.303022,-1.338029
2,3.274289,-1.543236
3,3.235191,-1.753738
4,3.191126,-1.969712
5,3.145668,-2.192127
6,2.869527,-2.330986
7,2.640752,-2.346811
8,2.413296,-2.356185
9,2.187723,-2.362238
10,1.963421,-2.363864
11,1.740299,-2.360578
12,1.518366,-2.351289
13,1.296365,-2.334291
14,1.075238,-2.314095
15,0.971847,-2.055513
16,0.975944,-1.815548
17,0.981910,-1.575622
18,0.985883,-1.335655
19,0.988228,-1.095694
20,0.989435,-0.858892
21,0.989957,-0.626337
22,0.990162,-0.398318
23,0.990339,-0.174228
24,0.990714,0.046627
25,0.991453,0.264910
26,0.992659,0.480919
27,0.994559,0.695057
28,0.997186,0.907837
29,1.000287,1.119880
30,1.003570,1.331727
31,1.006973,1.543427
32,1.010436,1.755343
33,1.111263,1.511248
34,0.880166,1.555390
35,1.053346,1.705904
36,1.135064,1.465330
37,0.900767,1.483284
38,1.000000,1.750000
