point_idx,x,y,theta
0,-5.274255,-0.736483,0.000000
1,-5.273119,-0.736483,0.248426
2,-5.272219,-0.736255,0.496854
3,-5.271449,-0.735838,0.745284
4,-5.270887,-0.735319,0.993715
5,-5.189843,-0.610829,1.242345
6,-5.142061,-0.470621,1.490712
7,-5.130237,-0.323289,1.586288
8,-5.132525,-0.175601,1.588850
9,-5.135191,-0.027931,1.588686
10,-5.137833,0.119732,1.588552
11,-5.140455,0.267388,1.588535
12,-5.143074,0.415038,1.588635
13,-5.145708,0.562683,1.588852
14,-5.148374,0.710325,1.589183
15,-5.151089,0.857963,1.589626
16,-5.153870,1.005599,1.590178
17,-5.156731,1.153233,1.590837
18,-5.159690,1.300866,1.591598
19,-5.162762,1.448500,1.592459
20,-5.165961,1.596134,1.593415
21,-5.169301,1.743769,1.594462
22,-5.172795,1.891406,1.595595
23,-5.176457,2.039045,1.596808
24,-5.180298,2.186688,1.598096
25,-5.184330,2.334334,1.599453
26,-5.188562,2.481984,1.600873
27,-5.193005,2.629639,1.602349
28,-5.197665,2.777300,1.603874
29,-5.202551,2.924965,1.605440
30,-5.207669,3.072638,1.607040
31,-5.213024,3.220317,1.608666
32,-5.218619,3.368003,1.610308
33,-5.224458,3.515697,1.611958
34,-5.230541,3.663401,1.613607
35,-5.236869,3.811113,1.615245
36,-5.243439,3.958836,1.616862
37,-5.250250,4.106569,1.618447
38,-5.257295,4.254315,1.619989
39,-5.264570,4.402075,1.621475
40,-5.264583,4.402331,1.373193
41,-5.264548,4.402506,1.124911
42,-5.264528,4.402547,0.876629
43,-5.264527,4.402549,0.628349
44,-5.144786,4.489551,0.380520
45,-5.007170,4.544600,0.132855
46,-4.859917,4.564279,0.015451
47,-4.710973,4.566580,0.007748
48,-4.562075,4.567734,0.008545
49,-4.413228,4.569006,0.009672
50,-4.264426,4.570445,0.010298
51,-4.115663,4.571977,0.010332
52,-3.966928,4.573514,0.009502
53,-3.818133,4.574928,0.005634
54,-3.669220,4.575767,-0.005136
55,-3.519895,4.575000,-0.019206
56,-3.369923,4.572119,-0.025750
57,-3.219973,4.568257,-0.028243
58,-3.070033,4.564021,-0.028715
59,-3.069819,4.564015,-0.278715
60,-3.068247,4.563566,-0.528714
61,-3.066957,4.562812,-0.778714
62,-3.066337,4.562200,-1.028713
63,-2.989100,4.433956,-1.278713
64,-2.945987,4.290572,-1.528711
65,-2.939677,4.140719,-1.645265
66,-2.950836,3.991135,-1.671764
67,-2.965956,3.841899,-1.679585
68,-2.982242,3.692786,-1.682860
69,-2.999017,3.543727,-1.685222
70,-3.016143,3.394709,-1.691322
71,-3.016143,3.394709,-1.941322
72,-3.016143,3.394709,-2.191322
73,-3.016143,3.394709,-2.441322
74,-3.016143,3.394709,-2.691322
75,-3.016143,3.394709,-2.941322
