diag_stamp,log_stamp,detected,true_available,true_x,true_y,true_yaw,state_available,state_x,state_y,state_yaw,state_age_s,state_fresh,state_pos_error,state_yaw_error_deg,obs_u,obs_v,obs_yaw,obs_yaw_error_deg,pixel_pose_available,pixel_pose_stamp,pixel_pose_u,pixel_pose_v,pixel_pose_yaw,pixel_pose_age_s,pixel_pose_fresh,pred_world_x,pred_world_y,localization_error_m,pred_world_x_calibrated,pred_world_y_calibrated,localization_error_calibrated_m,localization_error_captime_m,state_error_captime_m,bev_y_calibration_offset_m,u_red,v_red,red_area_px,u_blue,v_blue,blue_area_px,separation_px,border_margin_px,yolo_score_raw,yolo_score_selected,yolo_detected_after_threshold,yolo_best_class_id,yolo_target_candidate_count,bbox_area_px,bbox_xmin,bbox_ymin,bbox_xmax,bbox_ymax,logit_margin,class_entropy,mask_area_px,mask_bottom_u,mask_bottom_v,mask_used,mask_polygon_points,confidence_logit,mask_compactness,mask_border_frac,mask_score,selected_pixel_source_code,yolo_raw_best_score,yolo_selected_score,yolo_num_target_candidates,yolo_selected_class_id,yolo_selected_pixel_source,yolo_bbox_area,yolo_mask_area,yolo_inference_ms,detector_callback_ms,yolo_receive_stamp,yolo_start_stamp,yolo_finish_stamp,yolo_publish_stamp,yolo_latency_s,frame_age_at_publish_s,detector_total_latency_s,camera_relative_bearing_deg,seed
6.4,6.865,1,1,-5.249999999995931,-0.75,-4.891722436075103e-12,0,nan,nan,nan,nan,0.0,nan,nan,130.55971307021449,281.8307857617087,nan,nan,0,nan,nan,nan,nan,nan,0.0,nan,nan,nan,nan,nan,nan,nan,nan,0.05,nan,nan,nan,nan,nan,nan,nan,130.55971307021449,0.8886697888374329,0.8886697888374329,1.0,0.0,289.0,527.7921415981837,117.49205017089844,261.5721130371094,143.37591552734375,281.962890625,nan,nan,nan,nan,nan,0.0,nan,2.0772250649194444,nan,nan,nan,1.0,0.8886697888374329,0.8886697888374329,289.0,0.0,bbox_bottom,527.7921415981837,nan,104.40590199868893,113.71709200102487,6.416,6.416,6.416,6.416,0.0,0.016000000000000014,0.016000000000000014,42.13759477363007,0
6.8,7.319000000000001,1,1,-5.249999999995931,-0.75,-4.891722408308562e-12,1,-5.274254517707325,-0.7364833574657437,8.758115402030107e-44,0.9190000000000005,1.0,0.02776654920603532,2.802750485456514e-10,131.07440549956436,282.067790742153,nan,nan,1,6.4,130.55971307021449,281.8307857617087,0.0,0.9190000000000005,1.0,-5.2948896440088635,-0.8238233105183171,0.08640000761279863,-5.274254517707325,-0.7364833574657437,0.02776654920603532,0.02776654920603532,0.02776654920603532,0.05,nan,nan,nan,nan,nan,nan,nan,131.07440549956436,0.8886697888374329,0.8886697888374329,1.0,0.0,289.0,527.7921415981837,117.49205017089844,261.5721130371094,143.37591552734375,281.962890625,nan,nan,nan,nan,nan,0.0,nan,2.0772250649194444,nan,nan,nan,1.0,0.8886697888374329,0.8886697888374329,289.0,0.0,bbox_bottom,527.7921415981837,nan,100.15732800093247,109.38261099909141,6.865,6.865,6.865,6.865,0.0,0.06500000000000039,0.06500000000000039,42.13759477363007,0
7.2,7.737,1,1,-5.249999999995931,-0.75,-4.891722390579519e-12,1,-5.267278787305521,-0.7398834575865636,8.758115402030107e-44,0.9370000000000003,1.0,0.020022510364410086,2.8027504752985207e-10,129.89831347595998,282.32448567990946,nan,nan,1,6.8,131.07440549956436,282.067790742153,0.0,0.9370000000000003,1.0,-5.287896163745261,-0.827235874310697,0.0860319679389806,-5.267278787305521,-0.7398834575865636,0.020022510364410086,0.020022510364410086,0.020022510364410086,0.05,nan,nan,nan,nan,nan,nan,nan,129.89831347595998,0.8886697888374329,0.8886697888374329,1.0,0.0,289.0,527.7921415981837,117.49205017089844,261.5721130371094,143.37591552734375,281.962890625,nan,nan,nan,nan,nan,0.0,nan,2.0772250649194444,nan,nan,nan,1.0,0.8886697888374329,0.8886697888374329,289.0,0.0,bbox_bottom,527.7921415981837,nan,112.80438199901255,126.54772099995171,7.319000000000001,7.319000000000001,7.319000000000001,7.319000000000001,0.0,0.11900000000000066,0.11900000000000066,42.13759477363007,0
7.6,8.213000000000001,1,1,-5.249999999995931,-0.75,-4.891722313926084e-12,1,-5.277664895085341,-0.7435167366732465,8.758115402030107e-44,1.0130000000000008,1.0,0.028414417531810416,2.802750431379338e-10,131.73798289425122,282.9099715881292,nan,nan,1,7.2,129.89831347595998,282.32448567990946,0.0,1.0130000000000008,1.0,-5.298332526600211,-0.8309296219026483,0.09426365592983864,-5.277664895085341,-0.7435167366732465,0.028414417531810416,0.028414417531810416,0.028414417531810416,0.05,nan,nan,nan,nan,nan,nan,nan,131.73798289425122,0.8886697888374329,0.8886697888374329,1.0,0.0,289.0,527.7921415981837,117.49205017089844,261.5721130371094,143.37591552734375,281.962890625,nan,nan,nan,nan,nan,0.0,nan,2.0772250649194444,nan,nan,nan,1.0,0.8886697888374329,0.8886697888374329,289.0,0.0,bbox_bottom,527.7921415981837,nan,103.36937400097668,112.34754100041755,7.757000000000001,7.757000000000001,7.757000000000001,7.757000000000001,0.0,0.15700000000000092,0.15700000000000092,42.13759477363007,0
8.2,8.643,1,1,-5.249999999995931,-0.75,-4.8917222405347485e-12,1,-5.254574308944683,-0.7519168872290825,8.758115402030107e-44,1.043000000000001,1.0,0.004959713601373565,2.8027503893292e-10,129.7302476133141,280.69746915395393,nan,nan,1,7.6,131.73798289425122,282.9099715881292,0.0,1.043000000000001,1.0,-5.275175363956958,-0.8393450861842179,0.09282426070718515,-5.254574308944683,-0.7519168872290825,0.004959713601373565,0.004959713601373565,0.004959713601373565,0.05,nan,nan,nan,nan,nan,nan,nan,129.7302476133141,0.8886697888374329,0.8886697888374329,1.0,0.0,289.0,527.7921415981837,117.49205017089844,261.5721130371094,143.37591552734375,281.962890625,nan,nan,nan,nan,nan,0.0,nan,2.0772250649194444,nan,nan,nan,1.0,0.8886697888374329,0.8886697888374329,289.0,0.0,bbox_bottom,527.7921415981837,nan,103.74493099880056,110.72873800003435,8.213000000000001,8.213000000000001,8.213000000000001,8.213000000000001,0.0,0.013000000000001677,0.013000000000001677,42.13759477363007,0
8.6,9.071,1,1,-5.249999999995931,-0.75,-4.891722187718785e-12,1,-5.290752440157679,-0.720239650567905,8.758115402030107e-44,0.8710000000000004,1.0,0.050462260922963034,2.802750359067882e-10,129.81070838658374,282.0042166043472,nan,nan,1,8.2,129.7302476133141,280.69746915395393,0.0,0.8710000000000004,1.0,-5.311407070089881,-0.807475584397765,0.08410868599251757,-5.290752440157679,-0.720239650567905,0.050462260922963034,0.050462260922963034,0.050462260922963034,0.05,nan,nan,nan,nan,nan,nan,nan,129.81070838658374,0.8886697888374329,0.8886697888374329,1.0,0.0,289.0,527.7921415981837,117.49205017089844,261.5721130371094,143.37591552734375,281.962890625,nan,nan,nan,nan,nan,0.0,nan,2.0772250649194444,nan,nan,nan,1.0,0.8886697888374329,0.8886697888374329,289.0,0.0,bbox_bottom,527.7921415981837,nan,104.11925500011421,114.31792399889673,8.643,8.643,8.643,8.643,0.0,0.04300000000000104,0.04300000000000104,42.13759477363007,0
9.0,9.537,1,1,-5.249999999995931,-0.75,-4.891722154992376e-12,1,-5.280801052888037,-0.7389411493175815,8.758115402030107e-44,0.9370000000000012,1.0,0.03272618275446048,2.802750340317031e-10,128.10895207448226,281.74409896106744,nan,nan,1,9.0,128.10895207448226,281.74409896106744,0.0,0.5370000000000008,1.0,-5.32096672797743,-0.8225746895462538,0.1015054778971811,-5.3002343738056705,-0.735177937721734,0.052375431666358746,0.052375431666358746,0.03272618275446048,0.05,nan,nan,nan,nan,nan,nan,nan,128.10895207448226,0.8886697888374329,0.8886697888374329,1.0,0.0,289.0,527.7921415981837,117.49205017089844,261.5721130371094,143.37591552734375,281.962890625,nan,nan,nan,nan,nan,0.0,nan,2.0772250649194444,nan,nan,nan,1.0,0.8886697888374329,0.8886697888374329,289.0,0.0,bbox_bottom,527.7921415981837,nan,119.59702400054084,133.93526399886468,9.071,9.071,9.071,9.071,0.0,0.07099999999999973,0.07099999999999973,42.13759477363007,0
9.4,9.971,1,1,-5.249999999995931,-0.75,-4.891722121666832e-12,1,-5.3002343738056705,-0.735177937721734,8.758115402030107e-44,0.9710000000000001,1.0,0.052375431666358746,2.802750321222901e-10,129.18807190186803,281.2306232702966,nan,nan,1,9.4,129.18807190186803,281.2306232702966,0.0,0.5709999999999997,1.0,-5.313328947088818,-0.8151722554631181,0.09087341977742236,-5.292646083059922,-0.7278620451132509,0.04804973930489672,0.04804973930489672,0.052375431666358746,0.05,nan,nan,nan,nan,nan,nan,nan,129.18807190186803,0.8886697888374329,0.8886697888374329,1.0,0.0,289.0,527.7921415981837,117.49205017089844,261.5721130371094,143.37591552734375,281.962890625,nan,nan,nan,nan,nan,0.0,nan,2.0772250649194444,nan,nan,nan,1.0,0.8886697888374329,0.8886697888374329,289.0,0.0,bbox_bottom,527.7921415981837,nan,109.76828300044872,119.32869299926097,9.537,9.537,9.537,9.537,0.0,0.13700000000000045,0.13700000000000045,42.13759477363007,0
9.8,10.412,1,1,-5.249999999995931,-0.75,-4.891722033119761e-12,1,-5.282474805536416,-0.7338320981267064,8.758115402030107e-44,0.6120000000000001,1.0,0.036276907887480496,2.802750270489166e-10,129.88972386626378,281.64659046863085,nan,nan,1,9.8,129.88972386626378,281.64659046863085,0.0,0.6120000000000001,1.0,-5.303134562669466,-0.821169682170564,0.08881669556320394,-5.282474805536416,-0.7338320981267064,0.036276907887480496,0.036276907887480496,0.036276907887480496,0.05,nan,nan,nan,nan,nan,nan,nan,129.88972386626378,0.8886697888374329,0.8886697888374329,1.0,0.0,289.0,527.7921415981837,117.49205017089844,261.5721130371094,143.37591552734375,281.962890625,nan,nan,nan,nan,nan,0.0,nan,2.0772250649194444,nan,nan,nan,1.0,0.8886697888374329,0.8886697888374329,289.0,0.0,bbox_bottom,527.7921415981837,nan,107.13363200011372,115.44666000008874,9.971,9.971,9.971,9.971,0.0,0.17099999999999937,0.17099999999999937,42.13759477363007,0
10.2,10.846,1,1,-5.249999999995931,-0.75,-4.8917219709496916e-12,1,-5.282474805536416,-0.7338320981267064,8.758115402030107e-44,1.0459999999999994,1.0,0.036276907887480496,2.80275023486834e-10,130.84561338549523,283.0054039944427,nan,nan,1,9.8,129.88972386626378,281.64659046863085,0.0,1.0459999999999994,1.0,-5.303134562669466,-0.821169682170564,0.08881669556320394,-5.282474805536416,-0.7338320981267064,0.036276907887480496,0.036276907887480496,0.036276907887480496,0.05,nan,nan,nan,nan,nan,nan,nan,130.84561338549523,0.8886697888374329,0.8886697888374329,1.0,0.0,289.0,527.7921415981837,117.49205017089844,261.5721130371094,143.37591552734375,281.962890625,nan,nan,nan,nan,nan,0.0,nan,2.0772250649194444,nan,nan,nan,1.0,0.8886697888374329,0.8886697888374329,289.0,0.0,bbox_bottom,527.7921415981837,nan,103.85458699965966,113.04486200060637,10.412,10.412,10.412,10.412,0.0,0.21200000000000152,0.21200000000000152,42.13759477363007,0
