wp_idx,x,y
0,-5.143336,-0.757252
1,-5.049092,-0.868606
2,-4.992195,-0.980066
3,-4.955451,-1.204976
4,-4.939675,-1.441854
5,-4.932523,-1.567240
6,-4.926381,-1.697762
7,-4.921685,-1.833827
8,-4.918819,-1.976618
9,-4.918589,-2.123272
10,-4.779166,-2.292214
11,-4.652924,-2.351742
12,-4.507152,-2.382089
13,-4.357160,-2.383598
14,-4.211791,-2.383820
15,-4.071747,-2.383883
16,-3.936865,-2.382791
17,-3.807146,-2.379388
18,-3.682732,-2.372546
19,-3.449782,-2.344221
20,-3.327251,-2.317861
21,-3.107889,-2.252297
22,-2.991768,-2.209989
23,-2.907916,-2.009242
24,-2.897324,-1.859616
25,-2.918440,-1.711110
26,-2.938861,-1.562507
27,-2.955355,-1.413416
28,-2.968554,-1.263998
29,-2.979029,-1.114364
30,-2.987261,-0.964590
31,-2.993670,-0.814727
32,-2.998614,-0.664809
33,-3.002389,-0.514856
34,-3.005234,-0.364883
35,-3.007332,-0.214898
36,-3.008808,-0.064905
37,-3.009738,0.085092
38,-3.010147,0.235091
39,-3.010014,0.385091
40,-3.009269,0.535089
41,-3.007800,0.685082
42,-3.005456,0.835064
43,-3.002074,0.983441
44,-2.997387,1.132014
45,-2.991634,1.278624
46,-2.985570,1.425771
47,-2.980946,1.575700
48,-2.981011,1.723802
49,-2.989369,1.862687
50,-3.002856,2.004066
51,-3.017949,2.147918
52,-3.031146,2.297336
53,-3.038852,2.447138
54,-3.040015,2.597134
55,-3.035143,2.744528
56,-3.025544,2.890991
57,-3.012630,3.036757
58,-2.997579,3.182801
59,-2.981547,3.328917
60,-3.000000,3.500000
