point_idx,x,y,theta
0,-5.267488,-0.741390,0.000000
1,-5.266539,-0.741390,0.397959
2,-5.265971,-0.741152,0.795921
3,-5.265195,-0.740359,1.193887
4,-5.177992,-0.520058,1.563059
5,-5.176161,-0.283349,1.581164
6,-5.178615,-0.046664,1.583216
7,-5.181554,0.190005,1.584532
8,-5.184805,0.426664,1.585861
9,-5.188370,0.663313,1.587239
10,-5.192262,0.899957,1.588663
11,-5.196490,1.136598,1.590127
12,-5.201065,1.373237,1.591621
13,-5.205994,1.609877,1.593136
14,-5.211282,1.846521,1.594660
15,-5.216930,2.083170,1.596180
16,-5.222938,2.319828,1.597680
17,-5.229302,2.556496,1.599146
18,-5.236014,2.793177,1.600557
19,-5.243060,3.029874,1.601896
20,-5.250425,3.266590,1.603140
21,-5.258084,3.503328,1.604267
22,-5.266012,3.740092,1.605253
23,-5.274174,3.976884,1.606070
24,-5.282531,4.213710,1.606692
25,-5.291037,4.450573,1.607089
26,-5.291121,4.452879,1.211716
27,-5.290604,4.454256,0.816345
28,-5.290356,4.454520,0.420977
29,-5.074478,4.551178,0.058991
30,-4.838116,4.565138,0.017713
31,-4.601470,4.569330,0.011371
32,-4.364888,4.572020,0.008131
33,-4.128338,4.573944,0.004234
34,-3.891799,4.574945,0.000247
35,-3.655130,4.575004,-0.010640
36,-3.417467,4.572475,-0.009134
37,-3.180453,4.570310,0.001086
38,-3.180453,4.570310,-0.385139
39,-3.178039,4.569332,-0.771358
40,-3.007256,4.403278,-1.157331
41,-2.911311,4.184603,-1.531339
42,-2.901843,3.944790,-1.658202
43,-2.922374,3.710497,-1.732057
44,-2.959702,3.481030,-1.824088
45,-2.959702,3.481030,-2.224088
46,-2.959702,3.481030,-2.624088
47,-2.959702,3.481030,-3.024088
48,-2.959702,3.481030,2.859097
49,-2.959702,3.481030,2.459097
50,-3.124419,3.614911,2.060009
51,-3.124419,3.614911,1.660921
52,-3.124419,3.614911,1.261833
53,-3.123390,3.618132,0.862749
54,-3.120742,3.621226,0.463667
55,-3.118487,3.622353,0.064585
56,-3.116311,3.622494,-0.334497
57,-2.911123,3.551180,-0.594920
58,-2.909620,3.550163,-0.994150
59,-2.908841,3.548964,-1.393380
60,-2.908756,3.548491,-1.792610
61,-2.910620,3.540224,-2.191865
62,-3.048767,3.347153,-2.479683
63,-3.063980,3.335300,-2.871562
64,-3.085265,3.329408,3.019738
65,-3.106821,3.332048,2.627849
66,-3.122802,3.341065,2.235957
67,-3.130490,3.350867,1.844058
68,-3.131774,3.355448,1.452149
69,-3.104330,3.585666,1.106748
70,-3.104330,3.585666,0.706748
71,-3.104330,3.585666,0.306748
72,-3.104330,3.585666,-0.093252
73,-3.104330,3.585666,-0.493252
74,-2.913273,3.482959,-0.893252
75,-2.913273,3.482959,-1.293252
