wp_idx,x,y
0,-5.177992,-0.520058
1,-5.176161,-0.283349
2,-5.178615,-0.046664
3,-5.181554,0.190005
4,-5.184805,0.426664
5,-5.188370,0.663313
6,-5.192262,0.899957
7,-5.196490,1.136598
8,-5.201065,1.373237
9,-5.205994,1.609877
10,-5.211282,1.846521
11,-5.216930,2.083170
12,-5.222938,2.319828
13,-5.229302,2.556496
14,-5.236014,2.793177
15,-5.243060,3.029874
16,-5.250425,3.266590
17,-5.258084,3.503328
18,-5.266012,3.740092
19,-5.274174,3.976884
20,-5.282531,4.213710
21,-5.291037,4.450573
22,-5.074478,4.551178
23,-4.838116,4.565138
24,-4.601470,4.569330
25,-4.364888,4.572020
26,-4.128338,4.573944
27,-3.891799,4.574945
28,-3.655130,4.575004
29,-3.417467,4.572475
30,-3.180453,4.570310
31,-3.007256,4.403278
32,-2.911311,4.184603
33,-2.901843,3.944790
34,-2.922374,3.710497
35,-2.959702,3.481030
36,-3.124419,3.614911
37,-2.911123,3.551180
38,-3.048767,3.347153
39,-3.104330,3.585666
40,-2.913273,3.482959
41,-3.000000,3.500000
