task,generating_source,lambda,length_m,terminal_sigma_m,mean_p_use_reference,objective_reference_field
full_traverse_handover,fov_range,0.0,16.4882,0.025258,0.591888,17.658015
full_traverse_handover,fov_range,0.25,16.4882,0.025081,0.581347,17.674533
full_traverse_handover,fov_range,20.0,16.5691,0.025020,0.582673,17.759772
full_traverse_handover,fov_range,50.0,16.7308,0.024977,0.585054,17.924785
full_traverse_handover,cad_reference,0.25,16.4882,0.024934,0.620034,17.622264
full_traverse_handover,cad_reference,0.5,16.5691,0.024962,0.636826,17.681433
full_traverse_handover,cad_reference,2.0,16.7308,0.024934,0.646660,17.833945
full_traverse_handover,cad_reference,5.0,16.8116,0.024962,0.650770,17.917303
full_traverse_handover,cad_reference,10.0,16.8924,0.024962,0.652753,17.997793
full_traverse_handover,mono_depth,0.25,16.4882,0.025118,0.577441,17.692368
full_traverse_handover,mono_depth,0.5,16.4882,0.025118,0.569909,17.712116
full_traverse_handover,mono_depth,1.0,16.4882,0.025118,0.580647,17.693618
full_traverse_handover,mono_depth,2.0,16.4882,0.025118,0.570632,17.711830
full_traverse_handover,gp,0.25,16.4882,0.025258,0.602867,17.643340
full_traverse_handover,gp,0.5,16.4882,0.025258,0.601639,17.644513
full_traverse_handover,gp,2.0,16.4882,0.025258,0.604887,17.638588
full_traverse_handover,gp,20.0,16.4882,0.025258,0.604850,17.636940
full_traverse_handover,gp,50.0,16.4882,0.025258,0.604893,17.638910
full_traverse_handover,hybrid,0.25,16.4882,0.025110,0.598063,17.651658
full_traverse_handover,hybrid,50.0,16.7308,0.025006,0.628393,17.862523
mc_blind_L,fov_range,0.0,15.0492,0.025020,0.431916,16.738345
mc_blind_L,fov_range,20.0,15.2917,0.024983,0.477509,16.806026
mc_blind_L,fov_range,50.0,15.6151,0.025173,0.379246,17.496248
mc_blind_L,cad_reference,0.25,15.3726,0.024548,0.608898,16.512930
mc_blind_L,cad_reference,10.0,17.8032,0.024126,0.673545,19.045183
mc_blind_L,cad_reference,20.0,17.9649,0.024123,0.674979,19.213509
mc_blind_L,cad_reference,50.0,18.2074,0.024121,0.676266,19.468647
mc_blind_L,mono_depth,0.25,15.2109,0.025004,0.469132,16.803637
mc_blind_L,mono_depth,0.5,15.2917,0.024654,0.518773,16.637835
mc_blind_L,mono_depth,20.0,15.2917,0.024654,0.517572,16.637835
mc_blind_L,gp,0.25,15.2917,0.024642,0.556091,16.524038
mc_blind_L,gp,0.5,15.3726,0.024643,0.568306,16.582166
mc_blind_L,gp,1.0,15.3726,0.024643,0.568727,16.581561
mc_blind_L,gp,2.0,15.3726,0.024643,0.568002,16.581975
mc_blind_L,gp,5.0,15.3726,0.024627,0.567837,16.580768
mc_blind_L,gp,10.0,16.9409,0.024636,0.536443,18.321049
mc_blind_L,gp,20.0,16.9409,0.024636,0.536045,18.321395
mc_blind_L,gp,50.0,16.9409,0.024599,0.535906,18.321583
mc_blind_L,hybrid,0.25,15.3726,0.024548,0.606903,16.515840
mc_blind_L,hybrid,50.0,18.0457,0.024122,0.675469,19.298914
mc_m2_w2e_traverse,fov_range,0.0,22.3857,0.040813,0.341781,24.919689
mc_m2_w2e_traverse,fov_range,0.25,22.3857,0.040814,0.344376,24.898806
mc_m2_w2e_traverse,fov_range,20.0,31.8922,0.040796,0.630751,34.776946
mc_m2_w2e_traverse,fov_range,50.0,33.0367,0.040796,0.641817,35.967079
