task,source,label,needs_surveyed_model,chosen_lambda,length_m,detour_vs_shortest_m,trace_integral,terminal_sigma_m,objective_own_field,objective_reference_field,regret_vs_reference,regret_normalised,candidate_objective_range,mean_p_use_own,mean_p_use_reference,min_p_use_reference,exposure_m,unobserved_fraction,longest_unobserved_run_m,longest_unobserved_run_s,empirical_hit_rate,empirical_events
full_traverse_handover,availability_blind,Availability-blind shortest path,false,0.0,16.4882,0.0000,0.023396,0.025258,16.488218,17.658015,0.035751,0.095201,0.375529,,0.591888,0.395863,6.752443,0.000000,0.000000,0.000000,0.992308,130
full_traverse_handover,fov_range,FOV / range,false,0.25,16.4882,0.0000,0.023726,0.025081,17.539305,17.674533,0.052269,0.139187,0.375529,0.666186,0.581347,0.395863,6.877288,0.000000,0.000000,0.000000,0.992063,126
full_traverse_handover,cad_reference,CAD raycast,true,0.25,16.4882,0.0000,0.022681,0.024934,17.622264,17.622264,0.000000,0.000000,0.375529,0.620034,0.620034,0.439487,6.351371,0.000000,0.000000,0.000000,0.992308,130
full_traverse_handover,mono_depth,Monocular depth raycast,false,0.25,16.4882,0.0000,0.022681,0.024934,17.100603,17.622264,0.000000,0.000000,0.375529,0.999985,0.620034,0.439487,6.351371,0.000000,0.000000,0.000000,0.992308,130
full_traverse_handover,gp,"GP, no geometric prior mean",false,0.25,16.4882,0.0000,0.023102,0.025258,17.035305,17.643340,0.021076,0.056123,0.375529,0.999983,0.602867,0.395863,6.607544,0.000000,0.000000,0.000000,0.992188,128
full_traverse_handover,hybrid,GP on a geometric prior mean (operational),true,20.0,16.4882,0.0000,0.022974,0.025258,17.134141,17.636940,0.014676,0.039082,0.375529,0.980340,0.604850,0.395863,6.539297,0.000000,0.000000,0.000000,0.992188,128
mc_blind_L,availability_blind,Availability-blind shortest path,false,0.0,15.0492,0.0000,0.033783,0.025020,15.049180,16.738345,0.225414,0.076264,2.955717,,0.431916,0.010922,8.649546,0.222222,3.398202,5.600000,0.640625,128
mc_blind_L,fov_range,FOV / range,false,0.0,15.0492,0.0000,0.033783,0.025020,16.098521,16.738345,0.225414,0.076264,2.955717,0.652251,0.431916,0.010922,8.649546,0.222222,3.398202,5.600000,0.640625,128
mc_blind_L,cad_reference,CAD raycast,true,0.25,15.3726,0.3234,0.022807,0.024548,16.512930,16.512930,0.000000,0.000000,2.955717,0.608898,0.608898,0.443991,6.045805,0.000000,0.000000,0.000000,0.804348,92
mc_blind_L,mono_depth,Monocular depth raycast,false,0.25,15.2109,0.1617,0.031855,0.025004,15.919892,16.803637,0.290707,0.098354,2.955717,0.979470,0.469132,0.011509,8.180855,0.190476,2.944039,4.800000,0.765957,94
mc_blind_L,gp,"GP, no geometric prior mean",false,0.0,15.0492,0.0000,0.033783,0.025020,16.025518,16.738345,0.225414,0.076264,2.955717,0.777731,0.431916,0.010922,8.649546,0.222222,3.398202,5.600000,0.640625,128
mc_blind_L,hybrid,GP on a geometric prior mean (operational),true,0.25,15.2917,0.2425,0.024646,0.024642,16.210356,16.524038,0.011107,0.003758,2.955717,0.836409,0.556091,0.215344,6.786574,0.000000,0.000000,0.000000,0.857143,84
mc_m2_w2e_traverse,availability_blind,Availability-blind shortest path,false,0.0,22.3857,0.0000,0.050680,0.040813,22.385711,24.919689,0.027876,0.001990,14.007792,,0.341781,0.000116,14.943521,0.279570,1.459938,2.400000,0.668919,148
mc_m2_w2e_traverse,fov_range,FOV / range,false,0.25,22.3857,-0.0000,0.050262,0.040814,24.004245,24.898806,0.006993,0.000499,14.007792,0.569199,0.344376,0.000116,14.810449,0.279570,1.459938,2.400000,0.686667,150
mc_m2_w2e_traverse,cad_reference,CAD raycast,true,0.25,22.3857,-0.0000,0.050122,0.039189,24.891813,24.891813,0.000000,0.000000,14.007792,0.347250,0.347250,0.000116,14.761619,0.268817,1.216615,2.000000,0.690789,152
mc_m2_w2e_traverse,mono_depth,Monocular depth raycast,false,0.0,22.3857,0.0000,0.050680,0.040813,23.653599,24.919689,0.027876,0.001990,14.007792,0.703727,0.341781,0.000116,14.943521,0.279570,1.459938,2.400000,0.668919,148
mc_m2_w2e_traverse,gp,"GP, no geometric prior mean",false,0.25,22.3857,-0.0000,0.050262,0.040814,23.937363,24.898806,0.006993,0.000499,14.007792,0.692716,0.344376,0.000116,14.810449,0.279570,1.459938,2.400000,0.686667,150
