position_id,x_m,y_m,block_id,master_role,heading_degrees,camera_ids,geometry_visible_camera_ids
P0000,-7.6,-8.8,B01_00,detector_fit,0;15;30;45;60;75;90;105;120;135;150;165;180;195;210;225;240;255;270;285;300;315;330;345,camera_A;camera_B;camera_C;camera_D;camera_E,camera_B;camera_C
P0001,-6.8,-8.8,B01_00,detector_fit,0;15;30;45;60;75;90;105;120;135;150;165;180;195;210;225;240;255;270;285;300;315;330;345,camera_A;camera_B;camera_C;camera_D;camera_E,camera_B;camera_C
P0002,-6.0,-8.8,B01_00,detector_fit,0;15;30;45;60;75;90;105;120;135;150;165;180;195;210;225;240;255;270;285;300;315;330;345,camera_A;camera_B;camera_C;camera_D;camera_E,camera_A;camera_B;camera_C
P0003,-5.2,-8.8,B02_00,detector_fit,0;15;30;45;60;75;90;105;120;135;150;165;180;195;210;225;240;255;270;285;300;315;330;345,camera_A;camera_B;camera_C;camera_D;camera_E,camera_A
P0004,-1.2,-8.8,B03_00,detector_fit,0;15;30;45;60;75;90;105;120;135;150;165;180;195;210;225;240;255;270;285;300;315;330;345,camera_A;camera_B;camera_C;camera_D;camera_E,camera_E
P0005,-0.4,-8.8,B03_00,detector_fit,0;15;30;45;60;75;90;105;120;135;150;165;180;195;210;225;240;255;270;285;300;315;330;345,camera_A;camera_B;camera_C;camera_D;camera_E,camera_E
P0006,0.4,-8.8,B03_00,detector_fit,0;15;30;45;60;75;90;105;120;135;150;165;180;195;210;225;240;255;270;285;300;315;330;345,camera_A;camera_B;camera_C;camera_D;camera_E,camera_E
P0007,1.2,-8.8,B04_00,detector_validation,0;15;30;45;60;75;90;105;120;135;150;165;180;195;210;225;240;255;270;285;300;315;330;345,camera_A;camera_B;camera_C;camera_D;camera_E,camera_E
P0008,2.0,-8.8,B04_00,detector_validation,0;15;30;45;60;75;90;105;120;135;150;165;180;195;210;225;240;255;270;285;300;315;330;345,camera_A;camera_B;camera_C;camera_D;camera_E,camera_A
P0009,6.0,-8.8,B05_00,detector_fit,0;15;30;45;60;75;90;105;120;135;150;165;180;195;210;225;240;255;270;285;300;315;330;345,camera_A;camera_B;camera_C;camera_D;camera_E,camera_E
P0010,6.8,-8.8,B05_00,detector_fit,0;15;30;45;60;75;90;105;120;135;150;165;180;195;210;225;240;255;270;285;300;315;330;345,camera_A;camera_B;camera_C;camera_D;camera_E,camera_E
P0011,7.6,-8.8,B06_00,commissioning_fit,0;15;30;45;60;75;90;105;120;135;150;165;180;195;210;225;240;255;270;285;300;315;330;345,camera_A;camera_B;camera_C;camera_D;camera_E,camera_A;camera_E
P0012,8.4,-8.8,B06_00,commissioning_fit,0;15;30;45;60;75;90;105;120;135;150;165;180;195;210;225;240;255;270;285;300;315;330;345,camera_A;camera_B;camera_C;camera_D;camera_E,camera_A;camera_E
P0013,9.2,-8.8,B06_00,commissioning_fit,0;15;30;45;60;75;90;105;120;135;150;165;180;195;210;225;240;255;270;285;300;315;330;345,camera_A;camera_B;camera_C;camera_D;camera_E,camera_D;camera_E
P0014,10.0,-8.8,B06_00,commissioning_fit,0;15;30;45;60;75;90;105;120;135;150;165;180;195;210;225;240;255;270;285;300;315;330;345,camera_A;camera_B;camera_C;camera_D;camera_E,camera_D
P0015,10.8,-8.8,B07_00,detector_fit,0;15;30;45;60;75;90;105;120;135;150;165;180;195;210;225;240;255;270;285;300;315;330;345,camera_A;camera_B;camera_C;camera_D;camera_E,
P0016,-7.6,-8.0,B01_00,detector_fit,0;15;30;45;60;75;90;105;120;135;150;165;180;195;210;225;240;255;270;285;300;315;330;345,camera_A;camera_B;camera_C;camera_D;camera_E,camera_B;camera_C
P0017,-6.8,-8.0,B01_00,detector_fit,0;15;30;45;60;75;90;105;120;135;150;165;180;195;210;225;240;255;270;285;300;315;330;345,camera_A;camera_B;camera_C;camera_D;camera_E,camera_B;camera_C
P0018,-6.0,-8.0,B01_00,detector_fit,0;15;30;45;60;75;90;105;120;135;150;165;180;195;210;225;240;255;270;285;300;315;330;345,camera_A;camera_B;camera_C;camera_D;camera_E,camera_A;camera_B;camera_C
P0019,-5.2,-8.0,B02_00,detector_fit,0;15;30;45;60;75;90;105;120;135;150;165;180;195;210;225;240;255;270;285;300;315;330;345,camera_A;camera_B;camera_C;camera_D;camera_E,camera_A
P0020,-1.2,-8.0,B03_00,detector_fit,0;15;30;45;60;75;90;105;120;135;150;165;180;195;210;225;240;255;270;285;300;315;330;345,camera_A;camera_B;camera_C;camera_D;camera_E,camera_B;camera_E
P0021,-0.4,-8.0,B03_00,detector_fit,0;15;30;45;60;75;90;105;120;135;150;165;180;195;210;225;240;255;270;285;300;315;330;345,camera_A;camera_B;camera_C;camera_D;camera_E,camera_E
P0022,0.4,-8.0,B03_00,detector_fit,0;15;30;45;60;75;90;105;120;135;150;165;180;195;210;225;240;255;270;285;300;315;330;345,camera_A;camera_B;camera_C;camera_D;camera_E,camera_E
P0023,1.2,-8.0,B04_00,detector_validation,0;15;30;45;60;75;90;105;120;135;150;165;180;195;210;225;240;255;270;285;300;315;330;345,camera_A;camera_B;camera_C;camera_D;camera_E,camera_E
P0024,2.0,-8.0,B04_00,detector_validation,0;15;30;45;60;75;90;105;120;135;150;165;180;195;210;225;240;255;270;285;300;315;330;345,camera_A;camera_B;camera_C;camera_D;camera_E,camera_A
P0025,6.0,-8.0,B05_00,detector_fit,0;15;30;45;60;75;90;105;120;135;150;165;180;195;210;225;240;255;270;285;300;315;330;345,camera_A;camera_B;camera_C;camera_D;camera_E,camera_E
P0026,6.8,-8.0,B05_00,detector_fit,0;15;30;45;60;75;90;105;120;135;150;165;180;195;210;225;240;255;270;285;300;315;330;345,camera_A;camera_B;camera_C;camera_D;camera_E,camera_E
P0027,7.6,-8.0,B06_00,commissioning_fit,0;15;30;45;60;75;90;105;120;135;150;165;180;195;210;225;240;255;270;285;300;315;330;345,camera_A;camera_B;camera_C;camera_D;camera_E,camera_A;camera_E
P0028,8.4,-8.0,B06_00,commissioning_fit,0;15;30;45;60;75;90;105;120;135;150;165;180;195;210;225;240;255;270;285;300;315;330;345,camera_A;camera_B;camera_C;camera_D;camera_E,camera_A;camera_E
P0029,9.2,-8.0,B06_00,commissioning_fit,0;15;30;45;60;75;90;105;120;135;150;165;180;195;210;225;240;255;270;285;300;315;330;345,camera_A;camera_B;camera_C;camera_D;camera_E,camera_A;camera_D;camera_E
P0030,10.0,-8.0,B06_00,commissioning_fit,0;15;30;45;60;75;90;105;120;135;150;165;180;195;210;225;240;255;270;285;300;315;330;345,camera_A;camera_B;camera_C;camera_D;camera_E,camera_A;camera_D;camera_E
P0031,10.8,-8.0,B07_00,detector_fit,0;15;30;45;60;75;90;105;120;135;150;165;180;195;210;225;240;255;270;285;300;315;330;345,camera_A;camera_B;camera_C;camera_D;camera_E,camera_A
P0032,-7.6,-7.2,B01_00,detector_fit,0;15;30;45;60;75;90;105;120;135;150;165;180;195;210;225;240;255;270;285;300;315;330;345,camera_A;camera_B;camera_C;camera_D;camera_E,camera_B;camera_C;camera_E
P0033,-6.8,-7.2,B01_00,detector_fit,0;15;30;45;60;75;90;105;120;135;150;165;180;195;210;225;240;255;270;285;300;315;330;345,camera_A;camera_B;camera_C;camera_D;camera_E,camera_B;camera_C;camera_E
P0034,-6.0,-7.2,B01_00,detector_fit,0;15;30;45;60;75;90;105;120;135;150;165;180;195;210;225;240;255;270;285;300;315;330;345,camera_A;camera_B;camera_C;camera_D;camera_E,camera_A;camera_B;camera_C;camera_E
P0035,-5.2,-7.2,B02_00,detector_fit,0;15;30;45;60;75;90;105;120;135;150;165;180;195;210;225;240;255;270;285;300;315;330;345,camera_A;camera_B;camera_C;camera_D;camera_E,camera_A;camera_B;camera_E
P0036,-4.4,-7.2,B02_00,detector_fit,0;15;30;45;60;75;90;105;120;135;150;165;180;195;210;225;240;255;270;285;300;315;330;345,camera_A;camera_B;camera_C;camera_D;camera_E,camera_A;camera_B;camera_E
P0037,-3.6,-7.2,B02_00,detector_fit,0;15;30;45;60;75;90;105;120;135;150;165;180;195;210;225;240;255;270;285;300;315;330;345,camera_A;camera_B;camera_C;camera_D;camera_E,camera_A;camera_B;camera_E
P0038,-2.8,-7.2,B02_00,detector_fit,0;15;30;45;60;75;90;105;120;135;150;165;180;195;210;225;240;255;270;285;300;315;330;345,camera_A;camera_B;camera_C;camera_D;camera_E,camera_A;camera_B;camera_E
P0039,-2.0,-7.2,B03_00,detector_fit,0;15;30;45;60;75;90;105;120;135;150;165;180;195;210;225;240;255;270;285;300;315;330;345,camera_A;camera_B;camera_C;camera_D;camera_E,camera_A;camera_B;camera_E
P0040,-1.2,-7.2,B03_00,detector_fit,0;15;30;45;60;75;90;105;120;135;150;165;180;195;210;225;240;255;270;285;300;315;330;345,camera_A;camera_B;camera_C;camera_D;camera_E,camera_A;camera_B;camera_E
