task,method,n_runs,belief_rmse_m_mean,belief_rmse_m_median,belief_rmse_m_p05,belief_rmse_m_p95,belief_p95_error_m_mean,belief_p95_error_m_median,belief_p95_error_m_p05,belief_p95_error_m_p95,median_nees_2d_mean,median_nees_2d_median,median_nees_2d_p05,median_nees_2d_p95,coverage_95_fraction_mean,coverage_95_fraction_median,coverage_95_fraction_p05,coverage_95_fraction_p95,terminal_sigma_xy_m_mean,terminal_sigma_xy_m_median,terminal_sigma_xy_m_p05,terminal_sigma_xy_m_p95,longest_dropout_s_mean,longest_dropout_s_median,longest_dropout_s_p05,longest_dropout_s_p95,arrival_fraction_mean,arrival_fraction_median,arrival_fraction_p05,arrival_fraction_p95
full_traverse_handover,availability_blind_shortest,400,0.03558941981252645,0.03517967005282732,0.029487122237725514,0.04322258420317208,0.062088037984035706,0.061411125255034435,0.049374979310357774,0.07800569068296549,1.4346355715241452,1.3779820628347128,0.8152475306108486,2.2329909240473844,0.9496014492753625,0.9565217391304348,0.855072463768116,1.0,0.023809942593296197,0.023806278771523613,0.023806278771523613,0.02380628201108401,0.045,0.0,0.0,0.4,0.9981884057971016,1.0,0.9855072463768116,1.0
full_traverse_handover,r_over_p_shortcut,400,0.03558941981252645,0.03517967005282732,0.029487122237725514,0.04322258420317208,0.062088037984035706,0.061411125255034435,0.049374979310357774,0.07800569068296549,1.4346355715241452,1.3779820628347128,0.8152475306108486,2.2329909240473844,0.9496014492753625,0.9565217391304348,0.855072463768116,1.0,0.023809942593296197,0.023806278771523613,0.023806278771523613,0.02380628201108401,0.045,0.0,0.0,0.4,0.9981884057971016,1.0,0.9855072463768116,1.0
full_traverse_handover,explicit_hit_miss,400,0.03558941981252645,0.03517967005282732,0.029487122237725514,0.04322258420317208,0.062088037984035706,0.061411125255034435,0.049374979310357774,0.07800569068296549,1.4346355715241452,1.3779820628347128,0.8152475306108486,2.2329909240473844,0.9496014492753625,0.9565217391304348,0.855072463768116,1.0,0.023809942593296197,0.023806278771523613,0.023806278771523613,0.02380628201108401,0.045,0.0,0.0,0.4,0.9981884057971016,1.0,0.9855072463768116,1.0
mc_blind_L,availability_blind_shortest,400,0.04635947350907468,0.04413030919733992,0.03316167020313672,0.06627645967335735,0.08618746717011262,0.07868647568256268,0.055863357138931195,0.14598141401583142,1.4458193659199885,1.3675664964455612,0.7865207385910922,2.3253302187611142,0.9503174603174603,0.9682539682539683,0.8563492063492063,1.0,0.0250223274432852,0.02502071799447631,0.025020583508374435,0.02502453247444997,2.302,2.4000000000000004,2.0,2.8000000000000003,0.7914682539682539,0.7936507936507936,0.746031746031746,0.8261904761904755
mc_blind_L,r_over_p_shortcut,400,0.03738849570223493,0.037054292026617086,0.02978242013938722,0.04528960203261441,0.06472181728907495,0.06373825639373125,0.04935751110450438,0.08142193970882047,1.4483132216371524,1.3863735157044472,0.8248838992857379,2.2464755347260477,0.9507421875,0.953125,0.87421875,1.0,0.024644011995607683,0.024643999653701287,0.02464397466699065,0.024644077851029997,0.8670000000000002,0.8,0.4,1.6,0.9546484375,0.953125,0.921875,0.984375
mc_blind_L,explicit_hit_miss,400,0.03738849570223493,0.037054292026617086,0.02978242013938722,0.04528960203261441,0.06472181728907495,0.06373825639373125,0.04935751110450438,0.08142193970882047,1.4483132216371524,1.3863735157044472,0.8248838992857379,2.2464755347260477,0.9507421875,0.953125,0.87421875,1.0,0.024644011995607683,0.024643999653701287,0.02464397466699065,0.024644077851029997,0.8670000000000002,0.8,0.4,1.6,0.9546484375,0.953125,0.921875,0.984375
mc_m2_w2e_traverse,availability_blind_shortest,400,0.05508812828131798,0.05302581384496567,0.03929758807901825,0.0764808096062183,0.1110393443839909,0.10434382696554137,0.07050231631803819,0.1769011340508514,1.424039246215616,1.3678888995982852,0.8425083489574986,2.1400063645060152,0.9513829787234043,0.9574468085106383,0.8723404255319149,1.0,0.09965928556778436,0.10353010160620468,0.09112559007558399,0.10353414774192135,3.475000000000001,3.6,3.2,3.6,0.6961702127659575,0.6914893617021277,0.6808510638297872,0.7127659574468085
mc_m2_w2e_traverse,r_over_p_shortcut,400,0.05508812828131798,0.05302581384496567,0.03929758807901825,0.0764808096062183,0.1110393443839909,0.10434382696554137,0.07050231631803819,0.1769011340508514,1.424039246215616,1.3678888995982852,0.8425083489574986,2.1400063645060152,0.9513829787234043,0.9574468085106383,0.8723404255319149,1.0,0.09965928556778436,0.10353010160620468,0.09112559007558399,0.10353414774192135,3.475000000000001,3.6,3.2,3.6,0.6961702127659575,0.6914893617021277,0.6808510638297872,0.7127659574468085
mc_m2_w2e_traverse,explicit_hit_miss,400,0.05508812828131798,0.05302581384496567,0.03929758807901825,0.0764808096062183,0.1110393443839909,0.10434382696554137,0.07050231631803819,0.1769011340508514,1.424039246215616,1.3678888995982852,0.8425083489574986,2.1400063645060152,0.9513829787234043,0.9574468085106383,0.8723404255319149,1.0,0.09965928556778436,0.10353010160620468,0.09112559007558399,0.10353414774192135,3.475000000000001,3.6,3.2,3.6,0.6961702127659575,0.6914893617021277,0.6808510638297872,0.7127659574468085
route_tall_shadow_west,availability_blind_shortest,400,0.04372655902024136,0.04121400481475826,0.03205530934684883,0.06341973058338424,0.0809497223673306,0.07144216126556746,0.05351231751637488,0.14052858568325757,1.446382066823113,1.3677770993621847,0.84128593003084,2.2895410154849563,0.95175,0.9666666666666667,0.85,1.0,0.02531815343758727,0.025317792090311333,0.02531778858545671,0.025317828371543456,2.5970000000000004,2.4000000000000004,2.4000000000000004,3.2,0.8715416666666667,0.8666666666666667,0.8333333333333334,0.9
