task,method,candidate_count,planner_objective_m,path_length_m,integral_position_trace_m3,objective_m,terminal_sigma_xy_m,mean_planning_p_use,min_planning_p_use,steps_camera_A,steps_camera_B,steps_camera_C,steps_camera_D
mc_blind_L,availability_blind_shortest,8,16.60643313605935,15.049180327868854,0.037107854325354725,16.90457304413659,0.02502512793809412,0.7713936984961645,0.0012003175881904902,18,29,7,9
mc_blind_L,r_over_p_shortcut,8,16.257401198501825,15.176801716943288,0.02238018398200644,16.29581091604361,0.02464550397345385,0.94276766852048,0.05308081747315722,20,30,6,8
mc_blind_L,explicit_hit_miss,8,16.29581091604361,15.176801716943288,0.02238018398200644,16.29581091604361,0.02464550397345385,0.94276766852048,0.05308081747315722,20,30,6,8
mc_m2_w2e_traverse,availability_blind_shortest,7,25.542170945874396,22.203640305892037,0.07007388080422856,25.707334346103465,0.10142330078204413,0.6908069614452799,0.0001,14,13,25,42
mc_m2_w2e_traverse,r_over_p_shortcut,7,25.542170945874396,22.203640305892037,0.07007388080422856,25.707334346103465,0.10142330078204413,0.6908069614452799,0.0001,14,13,25,42
mc_m2_w2e_traverse,explicit_hit_miss,7,25.707334346103465,22.203640305892037,0.07007388080422856,25.707334346103465,0.10142330078204413,0.6908069614452799,0.0001,14,13,25,42
full_traverse_handover,availability_blind_shortest,8,17.377905858054714,16.33359652518078,0.02091111364922384,17.379152207641972,0.023807736464883322,0.9975443358938356,0.9627043383061865,12,1,28,28
full_traverse_handover,r_over_p_shortcut,8,17.377905858054714,16.33359652518078,0.02091111364922384,17.379152207641972,0.023807736464883322,0.9975443358938356,0.9627043383061865,12,1,28,28
full_traverse_handover,explicit_hit_miss,8,17.379152207641972,16.33359652518078,0.02091111364922384,17.379152207641972,0.023807736464883322,0.9975443358938356,0.9627043383061865,12,1,28,28
route_tall_shadow_west,availability_blind_shortest,9,15.678664331333094,14.30807065086262,0.030537923365729,15.83496681914907,0.025319879809229593,0.8629331651463318,0.0001,45,11,0,4
route_tall_shadow_west,r_over_p_shortcut,9,15.357361727823223,14.408184369502832,0.01898460913744775,15.35741482637522,0.024281472997972682,0.9998875787020011,0.9992376809471557,50,11,0,0
route_tall_shadow_west,explicit_hit_miss,9,15.35741482637522,14.408184369502832,0.01898460913744775,15.35741482637522,0.024281472997972682,0.9998875787020011,0.9992376809471557,50,11,0,0
