stamp,source,odom_x,odom_y,odom_yaw,cmd_v,cmd_w,pix_u,pix_v,pix_yaw
9.133,odom,4.0561542556187276e-12,-1.6876833592093235e-23,-4.946408783604637e-12,0.0,0.0,,,
9.153,odom,4.056154254222134e-12,-1.6876833585185113e-23,-4.9464087772796446e-12,0.0,0.0,,,
9.173,odom,4.05615425222793e-12,-1.6876833575320967e-23,-4.946408766791873e-12,0.0,0.0,,,
9.193,odom,4.056154249746575e-12,-1.6876833563047184e-23,-4.946408762888034e-12,0.0,0.0,,,
9.213,odom,4.0561542478218895e-12,-1.68768335535269e-23,-4.946408754091566e-12,0.0,0.0,,,
9.233,odom,4.056154247429029e-12,-1.687683355158365e-23,-4.946408758396496e-12,0.0,0.0,,,
9.253,odom,4.0561542453752e-12,-1.6876833541424582e-23,-4.946408758142126e-12,0.0,0.0,,,
9.273,odom,4.056154244517873e-12,-1.6876833537183892e-23,-4.946408749638045e-12,0.0,0.0,,,
9.293,odom,4.0561542427310816e-12,-1.6876833528345694e-23,-4.946408750534321e-12,0.0,0.0,,,
9.313,odom,4.056154241321982e-12,-1.6876833521375703e-23,-4.946408739086185e-12,0.0,0.0,,,
9.333,odom,4.0561542402350875e-12,-1.6876833515999503e-23,-4.946408729208935e-12,0.0,0.0,,,
9.353,odom,4.056154238565341e-12,-1.6876833507740245e-23,-4.9464087256715255e-12,0.0,0.0,,,
9.373,odom,4.056154236787113e-12,-1.6876833498944403e-23,-4.946408715010201e-12,0.0,0.0,,,
9.393,odom,4.056154236420595e-12,-1.6876833497131453e-23,-4.94640869733952e-12,0.0,0.0,,,
9.413,odom,4.056154234267787e-12,-1.6876833486482787e-23,-4.946408696725476e-12,0.0,0.0,,,
9.433,odom,4.056154233568112e-12,-1.6876833483021912e-23,-4.946408683846823e-12,0.0,0.0,,,
9.453,odom,4.056154232500184e-12,-1.6876833477739504e-23,-4.946408666722791e-12,0.0,0.0,,,
9.473,odom,4.05615423236955e-12,-1.6876833477093332e-23,-4.94640865659271e-12,0.0,0.0,,,
9.493,odom,4.056154231201887e-12,-1.687683347131759e-23,-4.946408659820835e-12,0.0,0.0,,,
9.513,odom,4.05615423073923e-12,-1.687683346902911e-23,-4.946408651612737e-12,0.0,0.0,,,
9.533,odom,4.056154229968988e-12,-1.6876833465219182e-23,-4.946408648928062e-12,0.0,0.0,,,
9.553,odom,4.056154229345864e-12,-1.687683346213695e-23,-4.946408645356459e-12,0.0,0.0,,,
9.573,odom,4.056154229016596e-12,-1.687683346050825e-23,-4.94640864462759e-12,0.0,0.0,,,
9.593,odom,4.056154228584815e-12,-1.687683345837248e-23,-4.946408635856738e-12,0.0,0.0,,,
9.613,odom,4.056154227997278e-12,-1.687683345546628e-23,-4.94640863111109e-12,0.0,0.0,,,
9.633,odom,4.05615422722821e-12,-1.6876833451662144e-23,-4.946408636207002e-12,0.0,0.0,,,
9.653,odom,4.05615422566287e-12,-1.6876833443919318e-23,-4.9464086213309945e-12,0.0,0.0,,,
9.673,odom,4.056154223720065e-12,-1.687683343430941e-23,-4.9464086093044726e-12,0.0,0.0,,,
9.693,odom,4.056154223577811e-12,-1.6876833433605763e-23,-4.946408610451115e-12,0.0,0.0,,,
9.713000000000001,odom,4.056154221267639e-12,-1.68768334221787e-23,-4.9464086045905334e-12,0.0,0.0,,,
9.733,odom,4.056154219209869e-12,-1.6876833412000127e-23,-4.946408600344716e-12,0.0,0.0,,,
9.753,odom,4.056154217813352e-12,-1.687683340509238e-23,-4.9464086062944334e-12,0.0,0.0,,,
9.773,odom,4.056154216792524e-12,-1.6876833400042948e-23,-4.946408600199171e-12,0.0,0.0,,,
9.793,odom,4.0561542159946105e-12,-1.6876833396096144e-23,-4.94640858942314e-12,0.0,0.0,,,
9.813,odom,4.056154214722382e-12,-1.687683338980317e-23,-4.9464085887324916e-12,0.0,0.0,,,
9.833,odom,4.056154214223553e-12,-1.6876833387335772e-23,-4.9464085772895545e-12,0.0,0.0,,,
9.853,odom,4.0561542130655616e-12,-1.687683338160788e-23,-4.94640857424392e-12,0.0,0.0,,,
9.873,odom,4.056154211932704e-12,-1.6876833376004295e-23,-4.946408567359671e-12,0.0,0.0,,,
9.893,odom,4.056154210220814e-12,-1.6876833367536592e-23,-4.946408563320896e-12,0.0,0.0,,,
9.913,odom,4.056154209085011e-12,-1.687683336191843e-23,-4.9464085631725484e-12,0.0,0.0,,,
9.933,odom,4.056154207296306e-12,-1.6876833353070776e-23,-4.9464085581788e-12,0.0,0.0,,,
9.953,odom,4.056154205560872e-12,-1.6876833344486614e-23,-4.9464085469844825e-12,0.0,0.0,,,
9.973,odom,4.056154204417926e-12,-1.6876833338833136e-23,-4.946408536495429e-12,0.0,0.0,,,
9.993,odom,4.056154204261767e-12,-1.68768333380607e-23,-4.946408534389773e-12,0.0,0.0,,,
10.013,odom,4.056154203816277e-12,-1.687683333585713e-23,-4.94640852828354e-12,0.0,0.0,,,
10.033,odom,4.056154201975703e-12,-1.6876833326752906e-23,-4.946408509447048e-12,0.0,0.0,,,
10.053,odom,4.056154200947621e-12,-1.6876833321667606e-23,-4.9464085064714605e-12,0.0,0.0,,,
10.073,odom,4.0561541999042254e-12,-1.687683331650655e-23,-4.946408499799403e-12,0.0,0.0,,,
10.093,odom,4.0561542004706365e-12,-1.6876833319308245e-23,-4.946408496210789e-12,0.0,0.0,,,
10.113,odom,4.056154198803203e-12,-1.687683331106044e-23,-4.9464084894307434e-12,0.0,0.0,,,
10.133,odom,4.056154198533641e-12,-1.6876833309727067e-23,-4.94640847731343e-12,0.0,0.0,,,
10.153,odom,4.056154196984925e-12,-1.687683330206648e-23,-4.9464084700199996e-12,0.0,0.0,,,
10.173,odom,4.0561541966742136e-12,-1.6876833300529582e-23,-4.946408463037926e-12,0.0,0.0,,,
10.193,odom,4.0561541956301145e-12,-1.6876833295365044e-23,-4.946408450861926e-12,0.0,0.0,,,
10.213,odom,4.0561541942715495e-12,-1.687683328864503e-23,-4.946408449802011e-12,0.0,0.0,,,
10.233,odom,4.056154192351135e-12,-1.6876833279145876e-23,-4.946408458550325e-12,0.0,0.0,,,
10.253,odom,0.00021988879437602504,6.991899968036206e-09,6.35948794809102e-05,0.21988879086475527,0.06359488424385311,,,
10.273,odom,0.004617663234204365,3.0834279171802655e-06,0.0013354925713446035,0.21988879086475527,0.06359488424385311,,,
10.293,odom,0.009015430207859207,1.175337908707292e-05,0.002607390254370974,0.21988879086475527,0.06359488424385311,,,
10.313,odom,0.013413182597915409,2.601683135983857e-05,0.0038792879366962127,0.21988879086475527,0.06359488424385311,,,
10.231,pixel,,,,,,556.0902099609375,629.87744140625,0.0
10.333,odom,0.017810913289151156,4.5873761659798646e-05,0.0051511856190163885,0.21988879086475527,0.06359488424385311,,,
10.264,pixel,,,,,,556.1558837890625,629.8372192382812,0.0
10.353,odom,0.02220861516725419,7.132413786385253e-05,0.006423083301331761,0.21988879086475527,0.06359488424385311,,,
10.373,odom,0.02660627867491411,0.00010236866665298894,0.007695677568242977,0.21988854712674574,0.06366454270402169,,,
10.297,pixel,,,,,,557.1387329101562,629.234619140625,0.0
