planner,task,seed,return_code,run_dir,log_path,samples,duration_s,min_goal_dist,final_goal_dist,success,time_to_goal_s,final_plan_length,mean_efe_total,mean_efe_risk,mean_efe_ambiguity,mean_cmd_v,mean_abs_cmd_w
efe1,T1_edge_hug,0,1,,/tmp/compare_batch_logs/01_efe1_T1_edge_hug_s0.log,,,,,,,,,,,,
efe2,T1_edge_hug,0,1,,/tmp/compare_batch_logs/02_efe2_T1_edge_hug_s0.log,,,,,,,,,,,,
mpc,T1_edge_hug,0,1,,/tmp/compare_batch_logs/03_mpc_T1_edge_hug_s0.log,,,,,,,,,,,,
efer,T1_edge_hug,0,1,,/tmp/compare_batch_logs/04_efer_T1_edge_hug_s0.log,,,,,,,,,,,,
efe1,T2_diag_far,0,1,,/tmp/compare_batch_logs/05_efe1_T2_diag_far_s0.log,,,,,,,,,,,,
efe2,T2_diag_far,0,1,,/tmp/compare_batch_logs/06_efe2_T2_diag_far_s0.log,,,,,,,,,,,,
mpc,T2_diag_far,0,1,,/tmp/compare_batch_logs/07_mpc_T2_diag_far_s0.log,,,,,,,,,,,,
efer,T2_diag_far,0,1,,/tmp/compare_batch_logs/08_efer_T2_diag_far_s0.log,,,,,,,,,,,,
efe1,T3_corners,0,1,,/tmp/compare_batch_logs/09_efe1_T3_corners_s0.log,,,,,,,,,,,,
efe2,T3_corners,0,1,,/tmp/compare_batch_logs/10_efe2_T3_corners_s0.log,,,,,,,,,,,,
mpc,T3_corners,0,1,,/tmp/compare_batch_logs/11_mpc_T3_corners_s0.log,,,,,,,,,,,,
efer,T3_corners,0,1,,/tmp/compare_batch_logs/12_efer_T3_corners_s0.log,,,,,,,,,,,,
efe1,T1_edge_hug,1,1,,/tmp/compare_batch_logs/13_efe1_T1_edge_hug_s1.log,,,,,,,,,,,,
efe2,T1_edge_hug,1,1,,/tmp/compare_batch_logs/14_efe2_T1_edge_hug_s1.log,,,,,,,,,,,,
mpc,T1_edge_hug,1,1,,/tmp/compare_batch_logs/15_mpc_T1_edge_hug_s1.log,,,,,,,,,,,,
efer,T1_edge_hug,1,1,,/tmp/compare_batch_logs/16_efer_T1_edge_hug_s1.log,,,,,,,,,,,,
efe1,T2_diag_far,1,1,,/tmp/compare_batch_logs/17_efe1_T2_diag_far_s1.log,,,,,,,,,,,,
efe2,T2_diag_far,1,1,,/tmp/compare_batch_logs/18_efe2_T2_diag_far_s1.log,,,,,,,,,,,,
mpc,T2_diag_far,1,1,,/tmp/compare_batch_logs/19_mpc_T2_diag_far_s1.log,,,,,,,,,,,,
efer,T2_diag_far,1,1,,/tmp/compare_batch_logs/20_efer_T2_diag_far_s1.log,,,,,,,,,,,,
efe1,T3_corners,1,1,,/tmp/compare_batch_logs/21_efe1_T3_corners_s1.log,,,,,,,,,,,,
efe2,T3_corners,1,1,,/tmp/compare_batch_logs/22_efe2_T3_corners_s1.log,,,,,,,,,,,,
mpc,T3_corners,1,1,,/tmp/compare_batch_logs/23_mpc_T3_corners_s1.log,,,,,,,,,,,,
efer,T3_corners,1,1,,/tmp/compare_batch_logs/24_efer_T3_corners_s1.log,,,,,,,,,,,,
