task,planner,n_runs,n_ok_rc,success_rate,min_goal_dist_mean,min_goal_dist_std,final_goal_dist_mean,time_to_goal_mean,time_to_goal_std
T1_edge_hug,efe1,2,2,1.0,0.0,0.0,1.7392940298587034,0.0,0.0
T1_edge_hug,efe2,2,2,1.0,0.0,0.0,2.77883182789812,0.0,0.0
T1_edge_hug,mpc,2,2,1.0,0.0,0.0,1.1506319173761255,0.0,0.0
T1_edge_hug,efer,2,2,1.0,0.0,0.0,3.8657255348779005,0.0,0.0
T2_diag_far,efe1,2,2,1.0,0.0,0.0,2.0739970574077047,0.0,0.0
T2_diag_far,efe2,2,2,1.0,0.0,0.0,4.551051244800627,0.0,0.0
T2_diag_far,mpc,2,2,1.0,0.0,0.0,2.368672640826864,0.0,0.0
T2_diag_far,efer,2,2,1.0,0.0,0.0,3.4760648102629674,0.0,0.0
T3_corners,efe1,2,2,1.0,0.0,0.0,2.2576525630055677,0.0,0.0
T3_corners,efe2,2,2,1.0,0.0,0.0,5.063803390598466,0.0,0.0
T3_corners,mpc,2,2,1.0,0.0,0.0,2.0667735481213514,0.0,0.0
T3_corners,efer,2,2,1.0,0.0,0.0,4.444707748194126,0.0,0.0
