task,planner,n_runs,success_rate,min_goal_dist_mean,min_goal_dist_std,final_goal_dist_mean,time_to_goal_mean,time_to_goal_std,mean_cmd_v,mean_abs_cmd_w,mean_efe_ambiguity
T1_edge_hug,efe1,2,0.0,1.7392940298587034,0.40124497857906083,1.7392940298587034,,,0.15771490685410283,0.0727056588446967,30.469330757101975
T1_edge_hug,efe2,2,0.0,2.77883182789812,0.18505466608298327,2.77883182789812,,,0.11007455747441779,0.03408360287411091,21.274461390204735
T1_edge_hug,mpc,2,0.0,1.1506319173761255,0.6974714335405563,1.1506319173761255,,,0.18670630651967635,0.05225872916247522,0.0
T1_edge_hug,efer,2,0.0,3.8657255348779005,0.27864548398789757,3.8657255348779005,,,0.06958581494028328,0.03064707061817342,0.0
T2_diag_far,efe1,2,0.0,2.0739970574077047,0.3038899059115402,2.0739970574077047,,,0.14897558813442674,0.06167850801333517,24.83755183765308
T2_diag_far,efe2,2,0.0,4.551051244800627,1.1058030046888863,4.551051244800627,,,0.046040199956196,0.017678345467677437,8.915785120389513
T2_diag_far,mpc,2,0.0,2.368672640826864,0.6062526329504312,2.368672640826864,,,0.15155758952598472,0.039730667120663817,0.0
T2_diag_far,efer,2,0.0,3.4760648102629674,0.31981576911937326,3.4760648102629674,,,0.09806099849248892,0.036953336487016306,0.0
T3_corners,efe1,2,0.0,2.2576525630055677,0.18334978276134284,2.2576525630055677,,,0.15245841337912813,0.0502609526985793,29.613719364740266
T3_corners,efe2,2,0.0,5.063803390598466,0.5930508588910484,5.063803390598466,,,0.03042123111860456,0.019622306022698478,6.019454176544925
T3_corners,mpc,2,0.0,2.0667735481213514,0.5311434835294186,2.0667735481213514,,,0.16415871308023416,0.0943080481158787,0.0
T3_corners,efer,2,0.0,4.444707748194126,1.0898094576448818,4.444707748194126,,,0.04992676144330448,0.02695326578632573,0.0
