planner,task,seed,return_code,run_dir,log_path,samples,duration_s,min_goal_dist,final_goal_dist,success,time_to_goal_s,final_plan_length,mean_efe_total,mean_efe_risk,mean_efe_ambiguity,mean_cmd_v,mean_abs_cmd_w
efe1,T1_edge_hug,0,124,/home/joostleliveld/UnembodiedNavigation/logs/experiments/experiment_20260213_142927,/tmp/compare_batch_logs/01_efe1_T1_edge_hug_s0.log,253,25.186999999999998,1.3380490512796426,1.3380490512796426,0,,2.434190414472458,73909.31197541689,73877.285668185,31.723026530851968,0.16459482220840155,0.046842556193037656
efe2,T1_edge_hug,0,124,/home/joostleliveld/UnembodiedNavigation/logs/experiments/experiment_20260213_143024,/tmp/compare_batch_logs/02_efe2_T1_edge_hug_s0.log,260,25.879999999999995,2.593777161815137,2.593777161815137,0,,5.488556140441725,80820.0400779358,80798.19137865484,21.608542225645362,0.1118746740833401,0.03211407944353135
mpc,T1_edge_hug,0,124,/home/joostleliveld/UnembodiedNavigation/logs/experiments/experiment_20260213_143121,/tmp/compare_batch_logs/03_mpc_T1_edge_hug_s0.log,239,23.795,1.8481033509166818,1.8481033509166818,0,,3.428819083210016,90639.22428106805,90638.91239394015,0.0,0.15361559651808582,0.06768192175227364
efer,T1_edge_hug,0,124,/home/joostleliveld/UnembodiedNavigation/logs/experiments/experiment_20260213_143219,/tmp/compare_batch_logs/04_efer_T1_edge_hug_s0.log,254,25.301000000000002,4.144371018865798,4.144371018865798,0,,5.4870552942015145,38541.06127951862,38540.94350631071,0.0,0.053115800499123796,0.029640179688376796
efe1,T2_diag_far,0,124,/home/joostleliveld/UnembodiedNavigation/logs/experiments/experiment_20260213_143315,/tmp/compare_batch_logs/05_efe1_T2_diag_far_s0.log,254,25.28,2.377886963319245,2.377886963319245,0,,3.452407016837027,216544.9279508659,3928.165638706627,17.861260288056688,0.13390148973207536,0.0863493798525915
efe2,T2_diag_far,0,124,/home/joostleliveld/UnembodiedNavigation/logs/experiments/experiment_20260213_143412,/tmp/compare_batch_logs/06_efe2_T2_diag_far_s0.log,282,28.096,5.6568542494895135,5.6568542494895135,0,,0.0,0.0,0.0,0.0,0.0,0.0
mpc,T2_diag_far,0,124,/home/joostleliveld/UnembodiedNavigation/logs/experiments/experiment_20260213_143509,/tmp/compare_batch_logs/07_mpc_T2_diag_far_s0.log,238,23.685000000000002,1.762420007876433,1.762420007876433,0,,4.722488396653467,5798.697766985938,5798.241290195825,0.0,0.16478862576405667,0.03805526992439803
efer,T2_diag_far,0,124,/home/joostleliveld/UnembodiedNavigation/logs/experiments/experiment_20260213_143606,/tmp/compare_batch_logs/08_efer_T2_diag_far_s0.log,222,22.1,3.7958805793823407,3.7958805793823407,0,,5.683095010215991,4082.7076085723174,4082.4482872744993,0.0,0.08541774332359052,0.037452139872036765
efe1,T3_corners,0,124,/home/joostleliveld/UnembodiedNavigation/logs/experiments/experiment_20260213_143704,/tmp/compare_batch_logs/09_efe1_T3_corners_s0.log,212,21.099,2.4410023457669108,2.4410023457669108,0,,4.363230059170635,109900.64622900407,109870.45292410559,29.88800538346157,0.153734336643682,0.05712779571105366
efe2,T3_corners,0,124,/home/joostleliveld/UnembodiedNavigation/logs/experiments/experiment_20260213_143801,/tmp/compare_batch_logs/10_efe2_T3_corners_s0.log,200,19.907999999999998,4.470752531707417,4.470752531707417,0,,5.682745415017017,54038.47001837396,54026.274608158186,12.03890835308985,0.06084246223720912,0.039244612045396955
mpc,T3_corners,0,124,/home/joostleliveld/UnembodiedNavigation/logs/experiments/experiment_20260213_143858,/tmp/compare_batch_logs/11_mpc_T3_corners_s0.log,205,20.4,2.59791703165077,2.59791703165077,0,,5.22822255781772,127323.66781309417,127323.34864053885,0.0,0.15497648687006785,0.1229259449443351
efer,T3_corners,0,124,/home/joostleliveld/UnembodiedNavigation/logs/experiments/experiment_20260213_143954,/tmp/compare_batch_logs/12_efer_T3_corners_s0.log,251,25.001999999999995,3.3548982905492446,3.3548982905492446,0,,5.682636001814932,80808.62588129686,80808.44753143143,0.0,0.09312692358600969,0.03383405515725738
efe1,T1_edge_hug,1,124,/home/joostleliveld/UnembodiedNavigation/logs/experiments/experiment_20260213_144051,/tmp/compare_batch_logs/13_efe1_T1_edge_hug_s1.log,227,22.598,2.1405390084377642,2.1405390084377642,0,,4.0074774591322155,87375.58076370483,87345.93040662003,29.215634983351983,0.1508349914998041,0.09856876149635574
efe2,T1_edge_hug,1,124,/home/joostleliveld/UnembodiedNavigation/logs/experiments/experiment_20260213_144147,/tmp/compare_batch_logs/14_efe2_T1_edge_hug_s1.log,234,23.302,2.9638864939811036,2.9638864939811036,0,,5.492200731141373,78327.24438992376,78305.99103689831,20.940380554764104,0.10827444086549547,0.03605312630469047
mpc,T1_edge_hug,1,124,/home/joostleliveld/UnembodiedNavigation/logs/experiments/experiment_20260213_144244,/tmp/compare_batch_logs/15_mpc_T1_edge_hug_s1.log,220,21.889000000000003,0.45316048383556917,0.45316048383556917,0,,2.50448419200569,53494.94443332066,53494.823957846376,0.0,0.21979701652126687,0.03683553657267679
