stamp,x,y,yaw,cov_x,cov_y,cov_yaw,cmd_v,cmd_w,goal_x,goal_y,goal_dist,plan_points,plan_length,seed
0.883,4.069607383439001e-12,0.0,-4.891676999328542e-12,0.0,0.0,1e-12,0.0,0.0,0.0,0.0,0.0,0,0.0,0
0.9850000000000001,4.069607383439001e-12,0.0,-4.891717535636852e-12,0.0,0.0,1e-12,0.0,0.0,0.0,0.0,0.0,0,0.0,0
1.089,4.069607383439001e-12,0.0,-4.891723027803048e-12,0.0,0.0,1e-12,0.0,0.0,0.0,0.0,0.0,0,0.0,0
1.189,4.069607383439001e-12,0.0,-4.891723795016223e-12,0.0,0.0,1e-12,0.0,0.0,0.0,0.0,0.0,0,0.0,0
1.288,4.069607383439001e-12,0.0,-4.8917239259168905e-12,0.0,0.0,1e-12,0.0,0.0,0.0,0.0,0.0,0,0.0,0
1.387,4.069607383439001e-12,0.0,-4.891723954890963e-12,0.0,0.0,1e-12,0.0,0.0,0.0,0.0,0.0,0,0.0,0
1.48,4.069607383439001e-12,0.0,-4.891723989909485e-12,0.0,0.0,1e-12,0.0,0.0,0.0,0.0,0.0,0,0.0,0
1.585,4.069607383439001e-12,0.0,-4.891724002874668e-12,0.0,0.0,1e-12,0.0,0.0,0.0,0.0,0.0,0,0.0,0
1.681,4.069607383439001e-12,0.0,-4.891724010462987e-12,0.0,0.0,1e-12,0.0,0.0,0.0,0.0,0.0,0,0.0,0
1.783,4.069607383439001e-12,0.0,-4.891724025686229e-12,0.0,0.0,1e-12,0.0,0.0,0.0,0.0,0.0,0,0.0,0
1.8820000000000001,4.069607383439001e-12,0.0,-4.891724017715001e-12,0.0,0.0,1e-12,0.0,0.0,0.0,0.0,0.0,0,0.0,0
1.98,4.069607383439001e-12,0.0,-4.8917240295180875e-12,0.0,0.0,1e-12,0.0,0.0,0.0,0.0,0.0,0,0.0,0
2.08,4.069607383439001e-12,0.0,-4.891724020943235e-12,0.0,0.0,1e-12,0.0,0.0,0.0,0.0,0.0,0,0.0,0
2.176,4.069607383439001e-12,0.0,-4.891724027502956e-12,0.0,0.0,1e-12,0.0,0.0,0.0,0.0,0.0,0,0.0,0
2.2640000000000002,4.069607383439001e-12,0.0,-4.891724018848791e-12,0.0,0.0,1e-12,0.0,0.0,0.0,0.0,0.0,0,0.0,0
2.367,4.069607383439001e-12,0.0,-4.891724013199847e-12,0.0,0.0,1e-12,0.0,0.0,0.0,0.0,0.0,0,0.0,0
2.474,4.069607383439001e-12,0.0,-4.891724028927789e-12,0.0,0.0,1e-12,0.0,0.0,0.0,0.0,0.0,0,0.0,0
2.568,4.069607383439001e-12,0.0,-4.891724027459439e-12,0.0,0.0,1e-12,0.0,0.0,0.0,0.0,0.0,0,0.0,0
2.661,4.069607383439001e-12,0.0,-4.891724038493023e-12,0.0,0.0,1e-12,0.0,0.0,0.0,0.0,0.0,0,0.0,0
2.761,4.069607383439001e-12,0.0,-4.89172405938461e-12,0.0,0.0,1e-12,0.0,0.0,0.0,0.0,0.0,0,0.0,0
2.894,4.069607383439001e-12,0.0,-4.891724009841331e-12,0.0,0.0,1e-12,0.0,0.0,3.0,3.0,4.242640687116407,0,0.0,0
2.964,4.069607383439001e-12,0.0,-4.8917239637097855e-12,0.0,0.0,1e-12,0.0,0.0,3.0,3.0,4.242640687116407,0,0.0,0
3.066,4.069607383439001e-12,0.0,-4.8917239069807916e-12,0.0,0.0,1e-12,0.0,0.0,3.0,3.0,4.242640687116407,0,0.0,0
3.169,4.069607383439001e-12,0.0,-4.8917238594464e-12,0.0,0.0,1e-12,0.0,0.0,3.0,3.0,4.242640687116407,0,0.0,0
3.268,4.069607383439001e-12,0.0,-4.891723843021777e-12,0.0,0.0,1e-12,0.0,0.0,3.0,3.0,4.242640687116407,0,0.0,0
3.392,4.069607383439001e-12,0.0,-4.891723788073021e-12,0.0,0.0,1e-12,0.0,0.0,3.0,3.0,4.242640687116407,0,0.0,0
3.498,4.069607383439001e-12,0.0,-4.891723749221525e-12,0.0,0.0,1e-12,0.0,0.0,3.0,3.0,4.242640687116407,0,0.0,0
3.59,4.069607383439001e-12,0.0,-4.891723707747157e-12,0.0,0.0,1e-12,0.0,0.0,3.0,3.0,4.242640687116407,0,0.0,0
3.684,4.069607383439001e-12,0.0,-4.891723678003705e-12,0.0,0.0,1e-12,0.0,0.0,3.0,3.0,4.242640687116407,0,0.0,0
3.7960000000000003,4.069607383439001e-12,0.0,-4.891723624483002e-12,0.0,0.0,1e-12,0.0,0.0,3.0,3.0,4.242640687116407,0,0.0,0
3.895,4.069607383439001e-12,0.0,-4.891723587258674e-12,0.0,0.0,1e-12,0.0,0.0,3.0,3.0,4.242640687116407,0,0.0,0
3.994,4.069607383439001e-12,0.0,-4.891723517850955e-12,0.0,0.0,1e-12,0.0,0.0,3.0,3.0,4.242640687116407,0,0.0,0
4.087,4.069607383439001e-12,0.0,-4.8917234721967286e-12,0.0,0.0,1e-12,0.0,0.0,3.0,3.0,4.242640687116407,0,0.0,0
4.192,4.069607383439001e-12,0.0,-4.891723415994348e-12,0.0,0.0,1e-12,0.0,0.0,3.0,3.0,4.242640687116407,0,0.0,0
4.287,4.069607383439001e-12,0.0,-4.891723372438412e-12,0.0,0.0,1e-12,0.0,0.0,3.0,3.0,4.242640687116407,0,0.0,0
