diag_stamp,log_stamp,detected,true_available,true_x,true_y,true_yaw,state_available,state_x,state_y,state_yaw,state_pos_error,state_yaw_error_deg,obs_u,obs_v,obs_yaw,obs_yaw_error_deg,pixel_pose_available,pixel_pose_stamp,pixel_pose_u,pixel_pose_v,pixel_pose_yaw,pixel_pose_age_s,u_red,v_red,red_area_px,u_blue,v_blue,blue_area_px,separation_px,border_margin_px,seed
5.275,0.0,1,0,nan,nan,nan,0,nan,nan,nan,nan,nan,125.9826962452227,319.69895176840464,-4.8917178250445305e-12,nan,1,5.305,125.9826962452227,319.69895176840464,-4.8917178250445305e-12,0.0,nan,nan,nan,nan,nan,nan,nan,125.9826962452227,0
5.295,0.0,1,0,nan,nan,nan,1,-4.999999999995933,2.4000000000000092,-4.8917178250445305e-12,nan,nan,125.98269624522268,319.6989517684045,-4.891719061214051e-12,nan,1,5.305,125.98269624522268,319.6989517684045,-4.891719061214051e-12,0.0,nan,nan,nan,nan,nan,nan,nan,125.98269624522268,0
5.315,0.0,1,0,nan,nan,nan,1,-4.99999999999593,2.4000000000000123,-4.891719061214051e-12,nan,nan,125.98269624522268,319.6989517684045,-4.891719898749639e-12,nan,1,5.315,125.98269624522268,319.6989517684045,-4.891719898749639e-12,0.0,nan,nan,nan,nan,nan,nan,nan,125.98269624522268,0
5.335,0.0,1,0,nan,nan,nan,1,-4.99999999999593,2.4000000000000123,-4.891719898749639e-12,nan,nan,125.98269624522268,319.6989517684045,-4.8917204647157636e-12,nan,1,5.335,125.98269624522268,319.6989517684045,-4.8917204647157636e-12,0.0,nan,nan,nan,nan,nan,nan,nan,125.98269624522268,0
5.355,0.0,1,0,nan,nan,nan,1,-4.99999999999593,2.4000000000000123,-4.8917208509198315e-12,nan,nan,125.98269624522268,319.6989517684045,-4.8917208509198315e-12,nan,1,5.356,125.98269624522268,319.6989517684045,-4.8917208509198315e-12,0.0,nan,nan,nan,nan,nan,nan,nan,125.98269624522268,0
5.375,0.0,1,0,nan,nan,nan,1,-4.99999999999593,2.4000000000000123,-4.8917208509198315e-12,nan,nan,125.98269624522268,319.6989517684045,-4.891721104696496e-12,nan,1,5.375,125.98269624522268,319.6989517684045,-4.891721104696496e-12,0.0,nan,nan,nan,nan,nan,nan,nan,125.98269624522268,0
5.395,0.0,1,0,nan,nan,nan,1,-4.99999999999593,2.4000000000000123,-4.891721267227933e-12,nan,nan,125.98269624522268,319.6989517684045,-4.891721267227933e-12,nan,1,5.396,125.98269624522268,319.6989517684045,-4.891721267227933e-12,0.0,nan,nan,nan,nan,nan,nan,nan,125.98269624522268,0
5.415,0.0,1,0,nan,nan,nan,1,-4.99999999999593,2.4000000000000123,-4.891721267227933e-12,nan,nan,125.98269624522268,319.6989517684045,-4.891721382264174e-12,nan,1,5.415,125.98269624522268,319.6989517684045,-4.891721382264174e-12,0.0,nan,nan,nan,nan,nan,nan,nan,125.98269624522268,0
5.4350000000000005,0.0,1,0,nan,nan,nan,1,-4.99999999999593,2.4000000000000123,-4.891721382264174e-12,nan,nan,125.98269624522268,319.6989517684045,-4.8917214606209996e-12,nan,1,5.4350000000000005,125.98269624522268,319.6989517684045,-4.8917214606209996e-12,0.0,nan,nan,nan,nan,nan,nan,nan,125.98269624522268,0
5.455,0.0,1,0,nan,nan,nan,1,-4.99999999999593,2.4000000000000123,-4.891721505852838e-12,nan,nan,125.98269624522268,319.6989517684045,-4.891721505852838e-12,nan,1,5.456,125.98269624522268,319.6989517684045,-4.891721505852838e-12,0.0,nan,nan,nan,nan,nan,nan,nan,125.98269624522268,0
5.475,0.0,1,0,nan,nan,nan,1,-4.99999999999593,2.4000000000000123,-4.891721505852838e-12,nan,nan,125.98269624522268,319.6989517684045,-4.891721546431696e-12,nan,1,5.475,125.98269624522268,319.6989517684045,-4.891721546431696e-12,0.0,nan,nan,nan,nan,nan,nan,nan,125.98269624522268,0
5.495,0.0,1,0,nan,nan,nan,1,-4.99999999999593,2.4000000000000123,-4.891721546431696e-12,nan,nan,125.98269624522268,319.6989517684045,-4.891721581700105e-12,nan,1,5.495,125.98269624522268,319.6989517684045,-4.891721581700105e-12,0.0,nan,nan,nan,nan,nan,nan,nan,125.98269624522268,0
5.515,0.0,1,0,nan,nan,nan,1,-4.99999999999593,2.4000000000000123,-4.891721581700105e-12,nan,nan,125.98269624522268,319.6989517684045,-4.891721593458574e-12,nan,1,5.515,125.98269624522268,319.6989517684045,-4.891721593458574e-12,0.0,nan,nan,nan,nan,nan,nan,nan,125.98269624522268,0
5.535,0.0,1,0,nan,nan,nan,1,-4.99999999999593,2.4000000000000123,-4.891721593458574e-12,nan,nan,125.98269624522268,319.6989517684045,-4.8917216013427e-12,nan,1,5.535,125.98269624522268,319.6989517684045,-4.8917216013427e-12,0.0,nan,nan,nan,nan,nan,nan,nan,125.98269624522268,0
5.555,0.0,1,0,nan,nan,nan,1,-4.99999999999593,2.4000000000000123,-4.891721598482662e-12,nan,nan,125.98269624522268,319.6989517684045,-4.891721598482662e-12,nan,1,5.555,125.98269624522268,319.6989517684045,-4.891721598482662e-12,0.0,nan,nan,nan,nan,nan,nan,nan,125.98269624522268,0
5.575,0.0,1,0,nan,nan,nan,1,-4.99999999999593,2.4000000000000123,-4.891721598482662e-12,nan,nan,125.98269624522268,319.6989517684045,-4.891721593112382e-12,nan,1,5.577,125.98269624522268,319.6989517684045,-4.891721593112382e-12,0.0,nan,nan,nan,nan,nan,nan,nan,125.98269624522268,0
5.595,0.0,1,0,nan,nan,nan,1,-4.99999999999593,2.4000000000000123,-4.891721596149678e-12,nan,nan,125.98269624522268,319.6989517684045,-4.891721596149678e-12,nan,1,5.595,125.98269624522268,319.6989517684045,-4.891721596149678e-12,0.0,nan,nan,nan,nan,nan,nan,nan,125.98269624522268,0
5.615,0.0,1,0,nan,nan,nan,1,-4.99999999999593,2.4000000000000123,-4.891721596149678e-12,nan,nan,125.98269624522268,319.6989517684045,-4.891721593212584e-12,nan,1,5.615,125.98269624522268,319.6989517684045,-4.891721593212584e-12,0.0,nan,nan,nan,nan,nan,nan,nan,125.98269624522268,0
5.635,0.0,1,0,nan,nan,nan,1,-4.99999999999593,2.4000000000000123,-4.891721593212584e-12,nan,nan,125.98269624522268,319.6989517684045,-4.891721596154774e-12,nan,1,5.636,125.98269624522268,319.6989517684045,-4.891721596154774e-12,0.0,nan,nan,nan,nan,nan,nan,nan,125.98269624522268,0
5.655,0.0,1,0,nan,nan,nan,1,-4.99999999999593,2.4000000000000123,-4.891721596154774e-12,nan,nan,125.98269624522268,319.6989517684045,-4.891721604021208e-12,nan,1,5.656,125.98269624522268,319.6989517684045,-4.891721604021208e-12,0.0,nan,nan,nan,nan,nan,nan,nan,125.98269624522268,0
5.675,0.0,1,0,nan,nan,nan,1,-4.99999999999593,2.4000000000000123,-4.891721604021208e-12,nan,nan,125.98269624522268,319.6989517684045,-4.891721613319509e-12,nan,1,5.679,125.98269624522268,319.6989517684045,-4.891721613319509e-12,0.0,nan,nan,nan,nan,nan,nan,nan,125.98269624522268,0
5.695,0.0,1,0,nan,nan,nan,1,-4.99999999999593,2.4000000000000123,-4.891721613319509e-12,nan,nan,125.98269624522268,319.6989517684045,-4.89172161652558e-12,nan,1,5.696,125.98269624522268,319.6989517684045,-4.89172161652558e-12,0.0,nan,nan,nan,nan,nan,nan,nan,125.98269624522268,0
5.715,0.0,1,0,nan,nan,nan,1,-4.99999999999593,2.4000000000000123,-4.89172161652558e-12,nan,nan,125.98269624522268,319.6989517684045,-4.891721601518702e-12,nan,1,5.715,125.98269624522268,319.6989517684045,-4.891721601518702e-12,0.0,nan,nan,nan,nan,nan,nan,nan,125.98269624522268,0
5.735,0.0,1,0,nan,nan,nan,1,-4.99999999999593,2.4000000000000123,-4.891721601518702e-12,nan,nan,125.98269624522268,319.6989517684045,-4.89172159572103e-12,nan,1,5.738,125.98269624522268,319.6989517684045,-4.89172159572103e-12,0.0,nan,nan,nan,nan,nan,nan,nan,125.98269624522268,0
5.755,0.0,1,0,nan,nan,nan,1,-4.99999999999593,2.4000000000000123,-4.89172159572103e-12,nan,nan,125.98269624522268,319.6989517684045,-4.891721590141434e-12,nan,1,5.755,125.98269624522268,319.6989517684045,-4.891721590141434e-12,0.0,nan,nan,nan,nan,nan,nan,nan,125.98269624522268,0
5.775,0.0,1,0,nan,nan,nan,1,-4.99999999999593,2.4000000000000123,-4.891721590141434e-12,nan,nan,125.98269624522268,319.6989517684045,-4.891721588653183e-12,nan,1,5.784,125.98269624522268,319.6989517684045,-4.891721588653183e-12,0.0,nan,nan,nan,nan,nan,nan,nan,125.98269624522268,0
