plan_stamp,point_idx,x,y
9.135,0,-4.99999999999593,2.400000000000009
9.135,1,-4.955999999995931,2.3999999999997934
9.135,2,-4.912863554192936,2.3913254946256943
9.135,3,-4.869821892604863,2.382192293229809
9.135,4,-4.826726324607687,2.37331693301172
9.135,5,-4.783656108697872,2.364319349920584
9.135,6,-4.7406437311719705,2.3550492161799443
9.135,7,-4.697675350880487,2.3455772419862275
9.135,8,-4.654727284358983,2.3360135825368076
9.135,9,-4.611786398126194,2.326417735021205
9.135,10,-4.568852443445025,2.3167909216629132
9.135,11,-4.525931647195398,2.307105610656138
9.135,12,-4.483031543074429,2.297329053674761
9.135,13,-4.440157254124621,2.287439900675218
9.135,14,-4.397309084952307,2.2774381808940625
9.135,15,-4.3544856361765465,2.2673311420126794
9.135,16,-4.3116831546352925,2.2571356737100174
9.135,17,-4.268899793312971,2.246860266469247
9.135,18,-4.2261345737187215,2.236509614651335
9.135,19,-4.183390403547319,2.2260723776434754
9.135,20,-4.140670941482783,2.2155344669911363
9.135,21,-4.097978857198081,2.204886183588266
9.135,22,-4.055313075725549,2.194132993766721
9.135,23,-4.012667285316971,2.183300793601122
9.135,24,-3.970026284381795,2.1724497549758905
9.35,0,-4.96985999999593,2.3999999999998565
9.35,1,-4.926265907988079,2.3940371867367203
9.35,2,-4.8831755186239425,2.385136717959905
9.35,3,-4.840212789247539,2.3756391454000396
9.35,4,-4.797243113609258,2.3661730492912465
9.35,5,-4.754257646041324,2.3567789246398427
9.35,6,-4.7112811435608135,2.3473438711401204
9.35,7,-4.668334803684456,2.337772461044197
9.35,8,-4.625427403458396,2.328027975124419
9.35,9,-4.582557471022518,2.318119953478133
9.35,10,-4.539718777771094,2.3080777246164494
9.35,11,-4.4969051949791,2.2979289745203504
9.35,12,-4.454111263662188,2.28769767731797
9.35,13,-4.411335191475562,2.277391967818643
9.35,14,-4.368576098491014,2.2670160357092475
9.35,15,-4.325834224948628,2.2565693976813117
9.35,16,-4.283111192383147,2.246045971983908
9.35,17,-4.240411341493245,2.2354288756774703
9.35,18,-4.1977420662667555,2.224689557652285
9.35,19,-4.155111970129754,2.2137957565089725
9.35,20,-4.112529972051888,2.202715438837685
9.35,21,-4.069999567430256,2.1914387069210233
9.35,22,-4.027510924248844,2.1800056320676564
9.35,23,-3.985048586850882,2.1684752416708997
9.35,24,-3.942598590795927,2.156899498285081
9.692,0,-4.904914712454608,2.386429262503692
9.692,1,-4.862520694341819,2.374650161169018
9.692,2,-4.819577176544933,2.36506609735305
9.692,3,-4.776600729071353,2.3556307933012137
9.692,4,-4.733685809830523,2.3459194748246617
9.692,5,-4.690821868928008,2.3359855647029746
9.692,6,-4.647985850912563,2.3259319305053126
9.692,7,-4.605166328299992,2.315808270928284
9.692,8,-4.562362936762753,2.305616623715501
9.692,9,-4.5195803986964895,2.295337789316176
9.692,10,-4.476822683594822,2.2849561806120957
9.692,11,-4.434093368146495,2.2744582950479755
9.692,12,-4.391392754735972,2.2638442659183275
9.692,13,-4.348720192073624,2.2531180179336876
9.692,14,-4.30607322062399,2.242290468526085
9.692,15,-4.263451331406594,2.231364601991115
9.692,16,-4.2208560151558085,2.2203355932643243
9.692,17,-4.178292037143797,2.209186253562215
9.692,18,-4.1357719665560335,2.1978706184845174
9.692,19,-4.093312608394054,2.1863292622179085
9.692,20,-4.050925485511678,2.174525372445705
9.692,21,-4.008614402845089,2.1624517531216947
9.692,22,-3.9663734189901203,2.1501351268399462
9.692,23,-3.9241744446652724,2.13767532885078
9.692,24,-3.8819877848520186,2.125173899580461
10.176,0,-4.795329057033604,2.3482299198339494
10.176,1,-4.753310546527793,2.33517446982742
10.176,2,-4.710503686407074,2.3249974011627588
10.176,3,-4.66765140414643,2.3150133185782615
10.176,4,-4.624871050168453,2.3047253978204525
10.176,5,-4.5821485385829845,2.2941998572723614
10.176,6,-4.539455908692291,2.2835537616022914
10.176,7,-4.496779921657114,2.2728411461152414
10.176,8,-4.454119876995512,2.2620652197295374
10.176,9,-4.4114827507091645,2.2511989663714544
10.176,10,-4.368875999486124,2.2402142155678213
10.176,11,-4.326305975534919,2.2290879825667638
10.176,12,-4.283776801679593,2.217806609814149
10.176,13,-4.241290469703868,2.206364949303172
10.176,14,-4.1988481642138,2.194761040276999
10.176,15,-4.156450567922693,2.182994824711392
10.176,16,-4.114104513093959,2.171044442272247
10.176,17,-4.071823446975954,2.158866123507945
10.176,18,-4.029622749027054,2.1464121645941803
10.176,19,-3.987515775070854,2.133644911786632
10.176,20,-3.945513712848258,2.120536640769859
10.176,21,-3.9035961809048385,2.1071605234044792
10.176,22,-3.861737661823849,2.0936008633664684
10.176,23,-3.819908109973454,2.0799521054744425
10.176,24,-3.778089046974229,2.0662712440298248
10.636,0,-4.699803667181753,2.3304900260368333
10.636,1,-4.6569416271241755,2.3205479175027937
10.636,2,-4.61415957817817,2.3102670475015907
10.636,3,-4.571443024087257,2.299717355250246
10.636,4,-4.528764421817634,2.289015163497558
10.636,5,-4.48611082737247,2.278213733920532
10.636,6,-4.443481416754214,2.267317250527251
10.636,7,-4.400882695645253,2.2563014001342494
10.636,8,-4.358321483062698,2.2451415084007866
10.636,9,-4.315803465508321,2.2338181615790385
10.636,10,-4.273332167649726,2.222320820225205
10.636,11,-4.23090904857927,2.210646961894134
10.636,12,-4.188534838919586,2.1987967992067636
10.636,13,-4.1462097710521215,2.1867722979691036
10.636,14,-4.103940322699031,2.1745537163850805
10.636,15,-4.061739721591584,2.1620994293251887
10.636,16,-4.019623239481016,2.149363576992888
10.636,17,-3.977604151570649,2.1363099854878316
10.636,18,-3.9356937005604253,2.122911698428672
10.636,19,-3.8938709521264485,2.109242107599818
10.636,20,-3.852109840866832,2.0953853552255444
10.636,21,-3.810379539726622,2.081436091203835
10.636,22,-3.7686609186077953,2.067451934027094
10.636,23,-3.72693776693742,2.0534813000153225
10.636,24,-3.6852097352668007,2.0395252485359183
11.16,0,-4.5956468817941944,2.317569503293933
11.16,1,-4.552778384898211,2.3076552724171036
11.16,2,-4.510053328528519,2.297140066370303
11.16,3,-4.467421775089317,2.28625196959628
11.16,4,-4.424856012825764,2.275109443719145
11.16,5,-4.3823432708514884,2.263766306153695
11.16,6,-4.339877398078065,2.2522489431919985
11.16,7,-4.297456222253307,2.2405680253494245
11.16,8,-4.255079529954086,2.2287267437558986
11.16,9,-4.212748000483555,2.216725010019243
11.16,10,-4.170463135811598,2.2045598869341987
11.16,11,-4.128226378666094,2.19222877401477
11.16,12,-4.086044739032408,2.1797104163823233
11.16,13,-4.043931446264426,2.166964021902383
11.16,14,-4.001901925152697,2.153944062028454
11.16,15,-3.9599699343697954,2.140613340030653
11.16,16,-3.918148430145376,2.126939943071343
11.16,17,-3.8764215638558293,2.112980407633003
