task,condition,label,seed,planner,run_dir,goal_reached,collision,completion_reason,path_length_m,min_goal_distance,final_goal_distance,elapsed_s,mean_loc_error_m,mean_loc_nll,mean_loc_nees,mean_overconf,f_shadow,mean_rho_plan,path_efficiency,mean_cov_trace,yolo_detection_rate,mean_solve_time_ms,p90_solve_time_ms,valid_run,is_clean_success,is_near_success,is_collision,is_penetration,is_timeout,is_interrupted,is_invalid,goal_region_entered,max_obstacle_penetration_m,max_wall_penetration_m,n_rows,outcome
F31_b1_apron_a3_mid,C1,C1,0,constant_R_efe,/home/joostleliveld/Thesis/UnembodiedNavigation/logs/visibility_comparison/robustness_campaign_v2/F31_b1_apron_a3_mid/C1/seed0/experiment_20260613_001617,1,0,goal_reached,5.396617,0.106654,0.211704,16.205000,0.163490,18.564179,47.675791,3.288654,0.426829,0.385748,0.664312,0.008086,0.655172,,0.000000,1,1,0,0,0,0,0,0,1,0.000000,0.000000,642,goal_reached
F31_b1_apron_a3_mid,C1,C1,1,constant_R_efe,/home/joostleliveld/Thesis/UnembodiedNavigation/logs/visibility_comparison/robustness_campaign_v2/F31_b1_apron_a3_mid/C1/seed1/experiment_20260613_001815,1,0,goal_reached,5.301784,0.098188,0.148832,20.295000,0.157537,22.410256,56.009171,3.537240,0.313725,0.398344,0.676195,0.005928,0.743590,,0.000000,1,1,0,0,0,0,0,0,1,0.000000,0.000000,691,goal_reached
F31_b1_apron_a3_mid,C1,C1,2,constant_R_efe,/home/joostleliveld/Thesis/UnembodiedNavigation/logs/visibility_comparison/robustness_campaign_v2/F31_b1_apron_a3_mid/C1/seed2/experiment_20260613_002042,1,0,goal_reached,5.708891,0.024457,0.049942,22.601000,0.124363,9.808667,30.927904,2.788028,0.543860,0.366899,0.627975,0.004725,0.779070,,0.000000,1,1,0,0,0,0,0,0,1,0.000000,0.000000,693,goal_reached
F31_b1_apron_a3_mid,C1,C1,3,constant_R_efe,/home/joostleliveld/Thesis/UnembodiedNavigation/logs/visibility_comparison/robustness_campaign_v2/F31_b1_apron_a3_mid/C1/seed3/experiment_20260613_002307,1,0,goal_reached,5.314462,0.115401,0.123350,15.700000,0.169551,21.625652,53.708637,3.303370,0.462025,0.379779,0.674582,0.008532,0.666667,,0.000000,1,1,0,0,0,0,0,0,1,0.000000,0.000000,669,goal_reached
F31_b1_apron_a3_mid,C1,C1,4,constant_R_efe,/home/joostleliveld/Thesis/UnembodiedNavigation/logs/visibility_comparison/robustness_campaign_v2/F31_b1_apron_a3_mid/C1/seed4/experiment_20260613_002608,1,0,goal_reached,5.489736,0.091032,0.202760,21.209000,0.149336,14.598571,40.343843,3.128064,0.457944,0.374699,0.653044,0.005796,0.740260,,0.000000,1,1,0,0,0,0,0,0,1,0.000000,0.000000,649,goal_reached
F31_b1_apron_a3_mid,C2,C2,0,visibility_aware_efe,/home/joostleliveld/Thesis/UnembodiedNavigation/logs/visibility_comparison/robustness_campaign_v2/F31_b1_apron_a3_mid/C2/seed0/experiment_20260613_002824,1,0,goal_reached,7.472254,0.150684,0.193951,19.100000,0.161788,31.537994,74.845319,4.815490,0.000000,0.756113,0.479780,0.001353,1.000000,,0.000000,1,1,0,0,0,0,0,0,1,0.000000,0.000000,773,goal_reached
F31_b1_apron_a3_mid,C2,C2,1,visibility_aware_efe,/home/joostleliveld/Thesis/UnembodiedNavigation/logs/visibility_comparison/robustness_campaign_v2/F31_b1_apron_a3_mid/C2/seed1/experiment_20260613_003145,1,0,goal_reached,7.499482,0.067496,0.092256,19.799000,0.116554,116.320226,244.794378,3.912923,0.000000,0.777096,0.478038,0.001067,1.000000,,0.000000,1,1,0,0,0,0,0,0,1,0.000000,0.000000,726,goal_reached
F31_b1_apron_a3_mid,C2,C2,2,visibility_aware_efe,/home/joostleliveld/Thesis/UnembodiedNavigation/logs/visibility_comparison/robustness_campaign_v2/F31_b1_apron_a3_mid/C2/seed2/experiment_20260613_003416,1,0,goal_reached,7.595902,0.143205,0.213964,19.000000,0.154392,35.430687,82.853952,4.929710,0.000000,0.768109,0.471970,0.001099,1.000000,,0.000000,1,1,0,0,0,0,0,0,1,0.000000,0.000000,666,goal_reached
F31_b1_apron_a3_mid,C2,C2,3,visibility_aware_efe,/home/joostleliveld/Thesis/UnembodiedNavigation/logs/visibility_comparison/robustness_campaign_v2/F31_b1_apron_a3_mid/C2/seed3/experiment_20260613_003633,1,0,goal_reached,7.907441,0.055991,0.055991,21.301000,0.137502,83.464065,178.873682,4.309144,0.000000,0.758644,0.453375,0.001211,1.000000,,0.000000,1,1,0,0,0,0,0,0,1,0.000000,0.000000,753,goal_reached
F31_b1_apron_a3_mid,C2,C2,4,visibility_aware_efe,/home/joostleliveld/Thesis/UnembodiedNavigation/logs/visibility_comparison/robustness_campaign_v2/F31_b1_apron_a3_mid/C2/seed4/experiment_20260613_003953,1,0,goal_reached,7.613531,0.027978,0.056456,20.503000,0.111468,101.530704,215.281062,3.779908,0.000000,0.766997,0.470877,0.000979,1.000000,,0.000000,1,1,0,0,0,0,0,0,1,0.000000,0.000000,715,goal_reached
