point_idx,x,y,theta
0,-5.247595,-0.741489,0.000000
1,-5.217681,-0.741489,-0.224867
2,-5.187288,-0.748441,-0.449773
3,-5.163452,-0.759949,-0.674706
4,-5.147307,-0.772864,-0.899658
5,-5.058446,-0.884764,-1.129592
6,-5.000476,-1.007516,-1.363842
7,-4.973693,-1.135077,-1.512160
8,-4.966130,-1.263902,-1.522018
9,-4.959765,-1.394300,-1.518331
10,-4.952817,-1.526604,-1.514919
11,-4.945301,-1.660972,-1.513350
12,-4.937446,-1.797557,-1.513671
13,-4.929499,-1.936520,-1.515709
14,-4.921696,-2.078029,-1.519252
15,-4.914255,-2.222258,-1.524077
16,-4.913616,-2.235925,-1.298226
17,-4.908338,-2.254808,-1.072366
18,-4.897156,-2.275352,-0.846487
19,-4.880878,-2.293752,-0.620581
20,-4.762801,-2.378151,-0.391419
21,-4.629481,-2.433174,-0.159132
22,-4.483912,-2.456537,0.057615
23,-4.348198,-2.448709,0.078098
24,-4.216152,-2.438375,0.085596
25,-4.085197,-2.427139,0.095061
26,-3.955038,-2.414728,0.108172
27,-3.827524,-2.400881,0.125451
28,-3.701540,-2.384992,0.147312
29,-3.577104,-2.366528,0.174157
30,-3.453471,-2.344776,0.205518
31,-3.326719,-2.318353,0.235933
32,-3.200790,-2.288078,0.256598
33,-3.080355,-2.256478,0.266641
34,-2.961129,-2.223912,0.266475
35,-2.961128,-2.223912,0.515475
36,-2.961128,-2.223912,0.764457
37,-2.957957,-2.220871,1.013379
38,-2.948591,-2.205845,1.262161
39,-2.903223,-2.063549,1.502665
40,-2.893011,-1.913899,1.736221
41,-2.917711,-1.765955,1.747042
42,-2.944009,-1.618292,1.728726
43,-2.967597,-1.470176,1.709701
44,-2.988363,-1.321642,1.691199
45,-3.006376,-1.172754,1.673554
46,-3.021760,-1.023575,1.656967
47,-3.034665,-0.874182,1.641461
48,-3.045252,-0.724616,1.626918
49,-3.053662,-0.574921,1.613225
50,-3.060021,-0.425134,1.600275
51,-3.064439,-0.275285,1.587965
52,-3.067013,-0.125400,1.576195
53,-3.067822,0.024499,1.564873
54,-3.066935,0.174392,1.553911
55,-3.064404,0.324259,1.543221
56,-3.060271,0.474086,1.532724
57,-3.054567,0.623853,1.522343
58,-3.047308,0.773547,1.511987
59,-3.038497,0.923187,1.501579
60,-3.028133,1.072687,1.492269
61,-3.016378,1.222064,1.486900
62,-3.003819,1.371413,1.489503
63,-2.991651,1.520767,1.504414
64,-2.981705,1.670380,1.531728
65,-2.975913,1.818543,1.556579
66,-2.973806,1.966742,1.578410
67,-2.974934,2.114906,1.597117
68,-2.978843,2.263370,1.612881
69,-2.985085,2.411610,1.626239
70,-2.993299,2.559604,1.637514
71,-3.003173,2.707389,1.646812
72,-3.014417,2.855020,1.654106
73,-3.026735,3.002529,1.659360
74,-3.039824,3.149938,1.662470
75,-3.053370,3.297288,1.663306
76,-3.067046,3.444701,1.661642
77,-3.080476,3.592124,1.657420
78,-3.093286,3.739631,1.648978
79,-3.093892,3.747371,1.398978
80,-3.093443,3.749956,1.148978
81,-3.093294,3.750288,0.898978
82,-3.092567,3.751203,0.648978
83,-3.092473,3.751274,0.398978
84,-3.092374,3.751316,0.148978
85,-3.092278,3.751331,-0.101022
86,-3.092200,3.751323,-0.351022
87,-3.092148,3.751303,-0.601022
88,-3.092120,3.751284,-0.851022
89,-3.010464,3.658141,-1.097651
90,-3.010449,3.658111,-1.344275
91,-3.010366,3.657750,-1.590897
92,-3.010387,3.656662,-1.837497
93,-3.012786,3.647881,-2.083999
94,-3.014936,3.644068,-2.330441
95,-3.022472,3.636133,-2.576870
96,-3.033749,3.628988,-2.823290
97,-3.048099,3.624260,-3.069707
98,-3.064110,3.623107,2.967059
99,-3.064110,3.623107,2.718511
100,-3.077069,3.628942,2.469959
101,-3.086152,3.636163,2.221402
102,-3.091255,3.642867,1.972842
103,-3.093522,3.648199,1.724282
104,-3.093522,3.648199,1.475726
105,-3.093522,3.648199,1.227172
106,-3.046460,3.779723,0.977172
107,-3.046460,3.779723,0.727172
108,-3.046460,3.779723,0.477172
109,-3.046460,3.779723,0.227172
110,-3.046460,3.779723,-0.022828
111,-3.046460,3.779723,-0.272828
112,-3.046460,3.779723,-0.522828
113,-3.046445,3.779715,-0.772828
114,-3.046435,3.779704,-1.022828
115,-2.972056,3.657834,-1.272828
116,-2.972034,3.657763,-1.522828
117,-2.972001,3.657085,-1.772828
118,-2.972575,3.654285,-2.022828
119,-2.973954,3.651445,-2.272828
120,-2.975411,3.649723,-2.522828
