wp_idx,x,y
0,3.334651,-0.827785
1,3.311759,-0.679542
2,3.279762,-0.532994
3,3.244495,-0.387199
4,3.208215,-0.241652
5,3.172138,-0.096056
6,3.136696,0.049697
7,3.102161,0.195667
8,3.068907,0.341935
9,3.037213,0.488548
10,3.007268,0.635529
11,2.979177,0.782875
12,2.952957,0.930566
13,2.928541,1.078565
14,2.905779,1.226828
15,2.884439,1.375302
16,2.818926,1.542601
17,2.643103,1.653581
18,2.497950,1.691405
19,2.347958,1.692932
20,2.197959,1.692209
21,2.047960,1.691665
22,1.897962,1.691005
23,1.747965,1.690003
24,1.597972,1.688540
25,1.447985,1.686588
26,1.298004,1.684201
27,1.150426,1.681460
28,1.006509,1.678419
29,0.866116,1.675086
30,0.729106,1.671445
31,0.595336,1.667458
32,0.464664,1.663066
33,0.336943,1.658188
34,0.212025,1.652727
35,0.089784,1.646565
36,-0.147717,1.631601
37,-0.378028,1.612281
38,-0.602645,1.588139
39,-0.822750,1.559616
40,-0.988268,1.436096
41,-1.016938,1.314123
42,-1.016430,1.180524
43,-1.009759,1.045591
44,-1.003370,0.913750
45,-0.997771,0.783791
46,-0.992874,0.655489
47,-0.988501,0.528583
48,-0.984461,0.402788
49,-0.980570,0.277786
50,-0.976647,0.153206
51,-0.972508,0.028616
52,-0.873109,0.152580
53,-0.928759,0.240393
54,-1.054619,0.199107
55,-0.998361,0.087869
56,-0.933461,0.230954
57,-1.076287,0.246797
58,-1.000000,0.000000
