diag_stamp,log_stamp,detected,true_available,true_x,true_y,true_yaw,state_available,state_x,state_y,state_yaw,state_age_s,state_fresh,state_pos_error,state_yaw_error_deg,obs_u,obs_v,obs_yaw,obs_yaw_error_deg,pixel_pose_available,pixel_pose_stamp,pixel_pose_u,pixel_pose_v,pixel_pose_yaw,pixel_pose_age_s,pixel_pose_fresh,pred_world_x,pred_world_y,localization_error_m,pred_world_x_calibrated,pred_world_y_calibrated,localization_error_calibrated_m,bev_y_calibration_offset_m,u_red,v_red,red_area_px,u_blue,v_blue,blue_area_px,separation_px,border_margin_px,yolo_score_raw,yolo_score_selected,yolo_detected_after_threshold,yolo_best_class_id,yolo_target_candidate_count,bbox_area_px,bbox_xmin,bbox_ymin,bbox_xmax,bbox_ymax,logit_margin,class_entropy,mask_area_px,mask_bottom_u,mask_bottom_v,mask_used,mask_polygon_points,confidence_logit,mask_compactness,mask_border_frac,mask_score,selected_pixel_source_code,yolo_raw_best_score,yolo_selected_score,yolo_num_target_candidates,yolo_selected_class_id,yolo_selected_pixel_source,yolo_bbox_area,yolo_mask_area,yolo_inference_ms,detector_callback_ms,yolo_receive_stamp,yolo_start_stamp,yolo_finish_stamp,yolo_publish_stamp,yolo_latency_s,frame_age_at_publish_s,detector_total_latency_s,camera_relative_bearing_deg,seed
6.568,8.114,1,1,-5.249999999995931,-0.75,-4.891722196035357e-12,0,nan,nan,nan,nan,0.0,nan,nan,132.3886238978512,281.93976403319306,nan,nan,0,nan,nan,nan,nan,nan,0.0,nan,nan,nan,nan,nan,nan,0.05,nan,nan,nan,nan,nan,nan,nan,132.3886238978512,0.9608537554740906,0.9608537554740906,1.0,0.0,299.0,644.7549128066748,118.58964538574219,258.49462890625,145.93614196777344,282.0718688964844,nan,nan,nan,nan,nan,0.0,nan,3.2005177252907693,nan,nan,nan,1.0,0.9608537554740906,0.9608537554740906,299.0,0.0,bbox_bottom,644.7549128066748,nan,2271.823564020451,2307.1598039823584,6.6240000000000006,6.627000000000001,7.767,8.113000000000001,1.1399999999999997,1.5450000000000017,1.5450000000000017,42.13759477363007,0
8.053,8.540000000000001,1,1,-5.249999999995931,-0.75,-4.8917221752403955e-12,1,-5.254563597692747,-0.7380901445926342,4.5542200090556555e-43,1.9720000000000013,0.0,0.012754257319136278,2.8027503519182913e-10,132.90331632720108,282.1767690136374,nan,nan,1,8.053,132.90331632720108,282.1767690136374,0.0,0.4870000000000001,1.0,-5.268140384307826,-0.8288042472250282,0.08086521454671726,-5.268140384307826,-0.7788042472250282,0.03404053761596297,0.05,nan,nan,nan,nan,nan,nan,nan,132.90331632720108,0.9608537554740906,0.9608537554740906,1.0,0.0,299.0,644.7549128066748,118.58964538574219,258.49462890625,145.93614196777344,282.0718688964844,nan,nan,nan,nan,nan,0.0,nan,3.2005177252907693,nan,nan,nan,1.0,0.9608537554740906,0.9608537554740906,299.0,0.0,bbox_bottom,644.7549128066748,nan,210.53241202025674,229.17980802594684,8.086,8.119,8.218,8.539,0.0990000000000002,0.4859999999999989,0.4859999999999989,42.13759477363007,0
8.482,8.958,1,1,-5.249999999995931,-0.75,-4.891722146561389e-12,1,-5.247594983216422,-0.7414892595415912,4.5542200090556555e-43,0.9049999999999994,1.0,0.008844026733344727,2.802750335486431e-10,131.7272243035967,282.43346395139383,nan,nan,1,8.482,131.7272243035967,282.43346395139383,0.0,0.47600000000000087,1.0,-5.278581903504464,-0.832496939486777,0.08730790475584692,-5.278581903504464,-0.782496939486777,0.04327789602300843,0.05,nan,nan,nan,nan,nan,nan,nan,131.7272243035967,0.9608537554740906,0.9608537554740906,1.0,0.0,299.0,644.7549128066748,118.58964538574219,258.49462890625,145.93614196777344,282.0718688964844,nan,nan,nan,nan,nan,0.0,nan,3.2005177252907693,nan,nan,nan,1.0,0.9608537554740906,0.9608537554740906,299.0,0.0,bbox_bottom,644.7549128066748,nan,192.13693699566647,212.2623999894131,8.515,8.547,8.641,8.957,0.09399999999999942,0.4750000000000014,0.4750000000000014,42.13759477363007,0
8.911,9.373000000000001,1,1,-5.249999999995931,-0.75,-4.891722085127734e-12,1,-5.257986230299433,-0.7451214793420924,4.5542200090556555e-43,0.8910000000000018,1.0,0.009358410028963033,2.8027503002875396e-10,133.56689372188794,283.0189498596136,nan,nan,1,8.482,131.7272243035967,282.43346395139383,0.0,0.8910000000000018,1.0,-5.278581903504464,-0.832496939486777,0.08730790475584692,-5.278581903504464,-0.782496939486777,0.04327789602300843,0.05,nan,nan,nan,nan,nan,nan,nan,133.56689372188794,0.9608537554740906,0.9608537554740906,1.0,0.0,299.0,644.7549128066748,118.58964538574219,258.49462890625,145.93614196777344,282.0718688964844,nan,nan,nan,nan,nan,0.0,nan,3.2005177252907693,nan,nan,nan,1.0,0.9608537554740906,0.9608537554740906,299.0,0.0,bbox_bottom,644.7549128066748,nan,184.585003007669,205.37732998491265,8.944,8.967,9.043000000000001,9.373000000000001,0.07600000000000051,0.4620000000000015,0.4620000000000015,42.13759477363007,0
9.307,9.802000000000001,1,1,-5.249999999995931,-0.75,-4.891722002315881e-12,1,-5.234914030364354,-0.7535192003277156,4.5542200090556555e-43,0.8910000000000018,1.0,0.015491005476451538,2.802750252839843e-10,131.55915844095082,280.8064474254383,nan,nan,1,9.307,131.55915844095082,280.8064474254383,0.0,0.495000000000001,1.0,-5.2916123647948,-0.8090496090420242,0.07223880696806988,-5.2916123647948,-0.7590496090420241,0.042585024691405834,0.05,nan,nan,nan,nan,nan,nan,nan,131.55915844095082,0.9608537554740906,0.9608537554740906,1.0,0.0,299.0,644.7549128066748,118.58964538574219,258.49462890625,145.93614196777344,282.0718688964844,nan,nan,nan,nan,nan,0.0,nan,3.2005177252907693,nan,nan,nan,1.0,0.9608537554740906,0.9608537554740906,299.0,0.0,bbox_bottom,644.7549128066748,nan,191.38662298792042,210.86964101414196,9.351,9.382000000000001,9.463000000000001,9.799000000000001,0.08099999999999952,0.4920000000000009,0.4920000000000009,42.13759477363007,0
9.736,10.198,1,1,-5.249999999995931,-0.75,-4.891721912830956e-12,1,-5.271029845098964,-0.7218511549505053,4.5542200090556555e-43,0.891,1.0,0.035137044023053454,2.8027502015687577e-10,131.63961921422046,282.1131948758316,nan,nan,1,9.307,131.55915844095082,280.8064474254383,0.0,0.891,1.0,-5.2916123647948,-0.8090496090420242,0.07223880696806988,-5.2916123647948,-0.7590496090420241,0.042585024691405834,0.05,nan,nan,nan,nan,nan,nan,nan,131.63961921422046,0.9608537554740906,0.9608537554740906,1.0,0.0,299.0,644.7549128066748,118.58964538574219,258.49462890625,145.93614196777344,282.0718688964844,nan,nan,nan,nan,nan,0.0,nan,3.2005177252907693,nan,nan,nan,1.0,0.9608537554740906,0.9608537554740906,299.0,0.0,bbox_bottom,644.7549128066748,nan,196.33393600815907,214.74079601466656,9.766,9.802000000000001,9.885,10.198,0.08299999999999841,0.46199999999999974,0.46199999999999974,42.13759477363007,0
10.132,10.623000000000001,1,1,-5.249999999995931,-0.75,-4.89172179081346e-12,1,-5.261113675473444,-0.740547219799889,4.5542200090556555e-43,0.8870000000000005,1.0,0.014590025227225727,2.802750131657882e-10,129.93786290211898,281.8530772325518,nan,nan,1,10.132,129.93786290211898,281.8530772325518,0.0,0.49100000000000144,1.0,-5.301197832643339,-0.8241443947256321,0.09010332589323403,-5.301197832643339,-0.774144394725632,0.056605387238840885,0.05,nan,nan,nan,nan,nan,nan,nan,129.93786290211898,0.9608537554740906,0.9608537554740906,1.0,0.0,299.0,644.7549128066748,118.58964538574219,258.49462890625,145.93614196777344,282.0718688964844,nan,nan,nan,nan,nan,0.0,nan,3.2005177252907693,nan,nan,nan,1.0,0.9608537554740906,0.9608537554740906,299.0,0.0,bbox_bottom,644.7549128066748,nan,184.43432499771006,204.65160298044793,10.165000000000001,10.198,10.282,10.619000000000002,0.08399999999999963,0.4870000000000019,0.4870000000000019,42.13759477363007,0
10.561,11.055000000000001,1,1,-5.249999999995931,-0.75,-4.891721769383176e-12,1,-5.280537500817268,-0.7367850941721297,4.5542200090556555e-43,0.9230000000000018,1.0,0.033274204610368154,2.802750119379234e-10,131.01698272950475,281.33960154178095,nan,nan,1,10.561,131.01698272950475,281.33960154178095,0.0,0.49400000000000155,1.0,-5.293547819954012,-0.8167440775450998,0.07969431918554594,-5.293547819954012,-0.7667440775450998,0.04665594019991123,0.05,nan,nan,nan,nan,nan,nan,nan,131.01698272950475,0.9608537554740906,0.9608537554740906,1.0,0.0,299.0,644.7549128066748,118.58964538574219,258.49462890625,145.93614196777344,282.0718688964844,nan,nan,nan,nan,nan,0.0,nan,3.2005177252907693,nan,nan,nan,1.0,0.9608537554740906,0.9608537554740906,299.0,0.0,bbox_bottom,644.7549128066748,nan,196.83299300959334,219.16786101064645,10.594000000000001,10.627,10.719000000000001,11.052000000000001,0.09200000000000053,0.49100000000000144,0.49100000000000144,42.13759477363007,0
10.99,11.497,1,1,-5.249999999995931,-0.75,-4.891721670122984e-12,1,-5.2729370197348695,-0.7294713313290115,4.5542200090556555e-43,0.9359999999999999,1.0,0.030782025792784752,2.802750062507333e-10,131.7186346939005,281.7555687401152,nan,nan,1,10.99,131.7186346939005,281.7555687401152,0.0,0.5069999999999997,1.0,-5.283365687910712,-0.8227397890270508,0.08002715812601635,-5.283365687910712,-0.7727397890270508,0.0403778049802282,0.05,nan,nan,nan,nan,nan,nan,nan,131.7186346939005,0.9608537554740906,0.9608537554740906,1.0,0.0,299.0,644.7549128066748,118.58964538574219,258.49462890625,145.93614196777344,282.0718688964844,nan,nan,nan,nan,nan,0.0,nan,3.2005177252907693,nan,nan,nan,1.0,0.9608537554740906,0.9608537554740906,299.0,0.0,bbox_bottom,644.7549128066748,nan,216.16456998162903,236.80540701025166,11.023000000000001,11.057,11.155000000000001,11.496,0.09800000000000075,0.5060000000000002,0.5060000000000002,42.13759477363007,0
11.452,11.939,1,1,-5.249999999995931,-0.75,-4.891721584671216e-12,1,-5.2627779519574345,-0.7354396525858373,4.5542200090556555e-43,0.9489999999999998,1.0,0.01937213909591808,2.8027500135470765e-10,132.67452421313195,283.1143822659271,nan,nan,1,10.99,131.7186346939005,281.7555687401152,0.0,0.9489999999999998,1.0,-5.283365687910712,-0.8227397890270508,0.08002715812601635,-5.283365687910712,-0.7727397890270508,0.0403778049802282,0.05,nan,nan,nan,nan,nan,nan,nan,132.67452421313195,0.9608537554740906,0.9608537554740906,1.0,0.0,299.0,644.7549128066748,118.58964538574219,258.49462890625,145.93614196777344,282.0718688964844,nan,nan,nan,nan,nan,0.0,nan,3.2005177252907693,nan,nan,nan,1.0,0.9608537554740906,0.9608537554740906,299.0,0.0,bbox_bottom,644.7549128066748,nan,207.30156399076805,231.58348200377077,11.485000000000001,11.507000000000001,11.601,11.938,0.09399999999999942,0.48600000000000065,0.48600000000000065,42.13759477363007,0
