plan_stamp,point_idx,x,y
76.792,0,-5.247594983216422,-0.7414892595415912
76.792,1,-5.120081401180458,-0.7414892595415912
76.792,2,-5.0453396234276155,-0.7589931735394992
76.792,3,-5.0216468593359815,-0.7708243521762754
76.792,4,-5.0216006968150095,-0.770863069330548
76.792,5,-4.955485638154272,-0.860119232217722
76.792,6,-4.928410019899202,-0.9262232005139184
76.792,7,-4.9195118913013935,-0.9897436717099295
76.792,8,-4.921851808185373,-1.061440295253986
76.792,9,-4.927021861386992,-1.1427378433163915
76.792,10,-4.933889932960022,-1.235055722482714
76.792,11,-4.94188525805056,-1.3403206253987445
76.792,12,-4.949933625884216,-1.460766989592819
76.792,13,-4.956114216012202,-1.60001963941037
76.792,14,-4.957765639403693,-1.749987941269808
76.792,15,-4.95683492982576,-1.8994151860380515
76.792,16,-4.957400838988632,-1.962431426395454
76.792,17,-4.929936612957635,-2.074171798498052
76.792,18,-4.859210725764702,-2.206451233334962
76.792,19,-4.757957914248113,-2.3171213203503167
76.792,20,-4.6330960619986215,-2.398893868987586
76.792,21,-4.491469287100617,-2.447378805493247
76.792,22,-4.341947570348085,-2.4593435409734172
76.792,23,-4.192867043996335,-2.4427605176457723
76.792,24,-4.043775461996443,-2.4262771873763915
76.792,25,-3.894558968554599,-2.4109658162777525
76.792,26,-3.7454279497091267,-2.3952303225785445
76.792,27,-3.5965658168647634,-2.3767894602064352
76.792,28,-3.466650966415769,-2.3558371025999416
76.792,29,-3.3590962365537673,-2.331996795393505
76.792,30,-3.273363441670724,-2.3054004271198907
76.792,31,-3.187852061671397,-2.2682422829000792
76.792,32,-3.116816699987239,-2.2296263327595875
76.792,33,-3.057453137375022,-2.192844800460999
76.792,34,-3.0076323563812566,-2.1599681287297727
76.792,35,-2.9979872376856567,-2.153557171622404
76.792,36,-2.9870478144582195,-2.143030260460015
76.792,37,-2.976354329055841,-2.1282118318137155
76.792,38,-2.967199979532351,-2.109050822148637
76.792,39,-2.9277026681596436,-1.9643443523750732
76.792,40,-2.919352483251711,-1.8145769513426613
76.792,41,-2.9398842660845848,-1.6754128921302047
76.792,42,-2.9592402711337766,-1.5598712449739356
76.792,43,-2.9792053525658018,-1.4116296387462643
76.792,44,-2.993898685520747,-1.269154166979961
76.792,45,-3.0041765388170116,-1.1374271061189085
76.792,46,-3.011466954937303,-1.0145157220124568
76.792,47,-3.0168612711290574,-0.8984459998621435
76.792,48,-3.0212051898933066,-0.7871833300633082
76.792,49,-3.025185243244765,-0.6786560957498486
76.792,50,-3.0294083849846687,-0.5707777904991197
76.792,51,-3.0295764993863856,-0.5671517205962221
76.792,52,-3.030433006937359,-0.5643454615369115
76.792,53,-3.031859388436576,-0.5619991657721739
76.792,54,-3.031859388436576,-0.5619991657721739
76.792,55,-3.033582142290256,-0.5610022603057813
76.792,56,-3.036088069146516,-0.5602963199676945
76.792,57,-3.043257263977594,-0.5601199191614906
76.792,58,-3.047825037728958,-0.5611672756550417
76.792,59,-3.049985350814138,-0.5622793272779189
76.792,60,-3.0664654030848864,-0.5768913095759852
76.792,61,-3.132742894189247,-0.6747293036174923
76.792,62,-3.134756006971029,-0.6802744649263317
76.792,63,-3.136491391940141,-0.697646836638035
76.792,64,-3.1333260759554666,-0.7186967924457421
76.792,65,-3.125137142399853,-0.7381451911009428
76.792,66,-3.114580034309735,-0.7520988577431567
76.792,67,-3.1067834985810485,-0.7583260934400394
76.792,68,-3.0809717667340966,-0.770002061039379
76.792,69,-2.9517064338843766,-0.7929397089803912
76.792,70,-2.9416437087317564,-0.7921924570183054
76.792,71,-2.925757941680264,-0.7868587833223273
76.792,72,-2.925757941680264,-0.7868587833223273
76.792,73,-2.925065219932057,-0.7861106337581333
76.792,74,-2.924686357700339,-0.7854121129433049
76.792,75,-2.9241959678760887,-0.7834675118576993
76.792,76,-2.9242029881822402,-0.7810568453280533
76.792,77,-2.9512243541409475,-0.6764780431838666
76.792,78,-2.952580619405,-0.6740099827215883
76.792,79,-2.9544901677144573,-0.6719692582706828
76.792,80,-2.9579100502626376,-0.6697824916451699
76.792,81,-2.961596582267616,-0.6685639345643296
76.792,82,-2.967887274216581,-0.6681258527275962
76.792,83,-2.973131902523771,-0.669081186390805
76.792,84,-2.9793760977341446,-0.6719439687047716
76.792,85,-3.0653984684202773,-0.7414389575897732
76.792,86,-3.0746215568851234,-0.7537804735953684
76.792,87,-3.0746546916973596,-0.7538605215339699
76.792,88,-3.075089327780895,-0.7568713224574954
76.792,89,-3.0743545736903655,-0.7638088075272614
76.792,90,-3.0724277876200596,-0.7690181679042033
76.792,91,-3.0724064460490137,-0.7690491656965973
76.792,92,-3.066633852073137,-0.7741034240262039
76.792,93,-3.064692328571024,-0.775090664915235
76.792,94,-2.9551502819554516,-0.7997771198201664
76.792,95,-2.954514226522914,-0.7997592673062723
76.792,96,-2.954514226522914,-0.7997592673062723
76.792,97,-2.954514226522914,-0.7997592673062723
76.792,98,-2.950229049157219,-0.7955469688456357
76.792,99,-2.948073180458309,-0.7919826371547402
76.792,100,-2.9477991180938954,-0.7910773831392803
76.792,101,-2.947751447843024,-0.7899940386680907
76.792,102,-2.9719348343862326,-0.6742790117733406
76.792,103,-2.9732287611101667,-0.6716410790378037
76.792,104,-2.978894453901182,-0.6649956933223894
76.792,105,-2.981958032648705,-0.6628322428167027
76.792,106,-2.9844925146358032,-0.6618639919957663
76.792,107,-2.989608903289341,-0.6612731507358742
76.792,108,-3.0014208585650075,-0.6628773625594975
76.792,109,-3.005700502212536,-0.6646113348845025
76.792,110,-3.005700502212536,-0.6646113348845025
76.792,111,-3.077366928906633,-0.7521716808990087
76.792,112,-3.077366928906633,-0.7521716808990087
76.792,113,-3.077366928906633,-0.7521716808990087
76.792,114,-3.077366928906633,-0.7521716808990087
76.792,115,-3.07695634966084,-0.7534467162654215
76.792,116,-3.075757080861258,-0.755356041128983
76.792,117,-3.075757080861258,-0.755356041128983
76.792,118,-3.075757080861258,-0.755356041128983
76.792,119,-2.960093024448433,-0.7863841174629146
76.792,120,-2.960093024448433,-0.7863841174629146
