point_idx,x,y,theta
0,3.310289,-1.010920,-0.000000
1,3.310289,-1.010920,0.249662
2,3.310289,-1.010920,0.499325
3,3.310289,-1.010920,0.748989
4,3.310296,-1.010913,0.998650
5,3.310296,-1.010913,1.248182
6,3.321531,-0.977305,1.462940
7,3.337678,-0.828176,1.688806
8,3.320018,-0.679220,1.757010
9,3.292247,-0.531813,1.789529
10,3.259698,-0.385387,1.804846
11,3.224910,-0.239476,1.811241
12,3.189190,-0.093792,1.812921
13,3.153324,0.051431,1.811007
14,3.117872,0.196171,1.805066
15,3.083394,0.340638,1.795855
16,3.050342,0.485010,1.784113
17,3.019059,0.629431,1.770560
18,2.989790,0.773993,1.755895
19,2.962676,0.918801,1.740808
20,2.937764,1.063918,1.725976
21,2.915008,1.209382,1.712067
22,2.893976,1.357263,1.696330
23,2.888512,1.400564,1.926200
24,2.873499,1.441011,2.155769
25,2.852469,1.472764,2.385235
26,2.831467,1.492581,2.614712
27,2.701837,1.567991,2.850451
28,2.558149,1.611048,3.092020
29,2.422234,1.617791,3.122875
30,2.291549,1.620238,3.132453
31,2.165902,1.621386,-3.140890
32,2.044573,1.621301,-3.130332
33,1.926808,1.619975,-3.118649
34,1.812346,1.617348,-3.105602
35,1.700913,1.613336,-3.091014
36,1.592183,1.607832,-3.074820
37,1.485744,1.600714,-3.057274
38,1.380917,1.591854,-3.041992
39,1.278671,1.581636,-3.029904
40,1.177427,1.570281,-3.020640
41,1.076782,1.558048,-3.013822
42,1.076782,1.558048,-2.775076
43,1.076782,1.558048,-2.536343
44,1.075781,1.557356,-2.297637
45,1.073274,1.554536,-2.058966
46,1.014257,1.443400,-1.823569
47,0.980849,1.314061,-1.592248
48,0.977813,1.172563,-1.533338
49,0.983123,1.030876,-1.537294
50,0.987750,0.892814,-1.546601
51,0.991015,0.757864,-1.554633
52,0.993154,0.625584,-1.560624
53,0.994475,0.495682,-1.564466
54,0.995285,0.367812,-1.566145
55,0.995872,0.241566,-1.565667
56,0.996514,0.116468,-1.563048
57,0.997478,-0.008032,-1.566073
58,0.997634,-0.041042,-1.322103
59,1.005274,-0.071125,-1.077937
60,1.017482,-0.093855,-0.833634
61,1.029358,-0.106936,-0.589264
62,1.035301,-0.110910,-0.344889
63,1.035900,-0.111125,-0.100545
64,1.047262,-0.112271,0.143744
65,1.047314,-0.112263,0.387974
66,1.058377,-0.107742,0.632122
67,1.059998,-0.106555,0.876176
68,1.151050,0.002734,1.123917
69,1.156984,0.015117,1.371510
70,1.160640,0.033217,1.618952
71,1.159726,0.052186,1.866326
72,1.154002,0.070986,2.113653
73,1.144615,0.086545,2.360966
74,1.134146,0.096915,2.608289
75,1.125807,0.101838,2.855637
76,1.122495,0.102812,3.103010
77,1.118142,0.102980,-2.932778
78,0.983773,0.074506,-2.684160
79,0.983773,0.074506,-2.435539
80,0.981958,0.072958,-2.186929
81,0.980679,0.071153,-1.938332
82,0.980153,0.069785,-1.689742
83,0.980150,0.069762,-1.441137
84,0.982349,0.052899,-1.192065
85,1.026098,-0.057040,-0.947189
86,1.031834,-0.065014,-0.702208
87,1.033980,-0.066830,-0.457196
88,1.034042,-0.066860,-0.212195
89,1.046975,-0.069646,0.032766
90,1.059430,-0.069238,0.277648
91,1.062162,-0.068460,0.522446
92,1.062790,-0.068098,0.767173
93,1.063274,-0.067631,1.011827
94,1.136872,0.050029,1.261020
95,1.137637,0.052420,1.510110
96,1.137932,0.057265,1.759161
97,1.136473,0.064920,2.008176
98,1.132579,0.073247,2.257162
99,1.126884,0.080199,2.506132
100,1.120946,0.084578,2.755096
101,1.116615,0.086340,3.004059
102,0.971519,0.106423,-3.029368
103,0.971334,0.106402,-2.779613
104,0.971334,0.106402,-2.529860
105,0.970208,0.105612,-2.280110
106,0.968963,0.104162,-2.030361
107,0.968611,0.103450,-1.780611
108,0.968611,0.103450,-1.530859
109,0.969223,0.088137,-1.281087
110,0.971920,0.079092,-1.031295
111,1.041581,-0.037252,-0.781295
112,1.041581,-0.037252,-0.531295
113,1.041581,-0.037252,-0.281295
114,1.041581,-0.037252,-0.031295
115,1.041581,-0.037252,0.218705
116,1.041581,-0.037252,0.468705
117,1.041581,-0.037252,0.718705
118,1.041581,-0.037252,0.968705
119,1.041581,-0.037252,1.218705
120,1.093001,0.102703,1.468705
