wp_idx,x,y
0,3.319828,-1.145428
1,3.296622,-1.273533
2,3.258023,-1.408927
3,3.217007,-1.531991
4,3.171280,-1.660195
5,3.124951,-1.789278
6,3.080225,-1.919980
7,3.000634,-2.104475
8,2.827704,-2.273954
9,2.695006,-2.343891
10,2.550652,-2.384654
11,2.401386,-2.399416
12,2.251734,-2.409623
13,2.102216,-2.414282
14,1.958210,-2.412235
15,1.822983,-2.403604
16,1.696066,-2.388832
17,1.576860,-2.368291
18,1.357624,-2.310402
19,1.168416,-2.238127
20,1.051845,-2.167133
21,0.996500,-2.029565
22,0.972358,-1.881520
23,0.976761,-1.731705
24,0.981681,-1.611598
25,0.985145,-1.461638
26,0.985815,-1.314648
27,0.984297,-1.174823
28,0.981226,-1.041584
29,0.977134,-0.914227
30,0.972496,-0.792041
31,0.963444,-0.560435
32,0.957532,-0.341261
33,0.958058,-0.129147
34,0.962896,-0.008177
35,1.108961,-0.020002
36,1.072296,-0.159496
37,0.968166,-0.025604
38,1.110076,0.045363
39,1.072001,-0.120468
40,0.988851,-0.014784
41,1.119043,-0.016304
42,1.119726,-0.024113
43,1.000000,0.000000
