point_idx,x,y,theta
0,3.311814,-1.004245,-0.000000
1,3.311814,-1.004245,-0.250000
2,3.311814,-1.004245,-0.500000
3,3.311814,-1.004245,-0.750000
4,3.311814,-1.004245,-1.000000
5,3.312026,-1.004575,-1.250000
6,3.312026,-1.004575,-1.500000
7,3.320479,-1.123777,-1.750000
8,3.299386,-1.240216,-1.811196
9,3.268005,-1.368230,-1.841192
10,3.235171,-1.486685,-1.852729
11,3.202306,-1.600151,-1.849806
12,3.167810,-1.720563,-1.834064
13,3.133023,-1.849632,-1.806830
14,3.102228,-1.977667,-2.004419
15,3.039204,-2.113784,-2.199952
16,2.950935,-2.235063,-2.394314
17,2.840904,-2.337010,-2.598100
18,2.712517,-2.414579,-2.817990
19,2.570303,-2.462277,-3.008669
20,2.421626,-2.482157,-3.061644
21,2.272105,-2.494136,-3.129414
22,2.137325,-2.495778,3.075426
23,1.993079,-2.486220,2.993904
24,1.846650,-2.464435,2.911864
25,1.700991,-2.430372,2.830912
26,1.567696,-2.387574,2.750622
27,1.446633,-2.337673,2.670809
28,1.334951,-2.280832,2.592899
29,1.223066,-2.212436,2.542650
30,1.126377,-2.146437,2.522102
31,1.033219,-2.080002,2.529387
32,1.024030,-2.073550,2.309147
33,1.009433,-2.057511,2.089497
34,0.978317,-2.003000,1.871331
35,0.954521,-1.926219,1.654669
36,0.941954,-1.776746,1.449514
37,0.960102,-1.627848,1.251921
38,1.007127,-1.485410,1.261838
39,1.052737,-1.342512,1.309712
40,1.091456,-1.197596,1.358793
41,1.123019,-1.050954,1.405714
42,1.147669,-0.902993,1.449284
43,1.165851,-0.754099,1.489285
44,1.178064,-0.604597,1.525507
45,1.184855,-0.454751,1.557890
46,1.186791,-0.304764,1.586627
47,1.184417,-0.154782,1.612129
48,1.178304,-0.006976,1.634927
49,1.169258,0.133881,1.655545
50,1.157848,0.268189,1.674424
51,1.144502,0.396525,1.691833
52,1.129553,0.519425,1.708023
53,1.113276,0.637292,1.723216
54,1.095886,0.750501,1.737592
55,1.077536,0.859496,1.751305
56,1.058328,0.964745,1.764483
57,1.038317,1.066765,1.777271
58,1.017504,1.166133,1.789828
59,0.995823,1.263530,1.802312
60,0.973598,1.357807,1.812149
61,0.950721,1.450745,1.819294
62,0.927308,1.543015,1.823789
63,0.903485,1.635162,1.825659
64,0.879359,1.727769,1.824917
65,0.877191,1.736114,1.576193
66,0.877144,1.744947,1.327456
67,0.879187,1.753180,1.078701
68,0.884112,1.762367,0.829916
69,0.890559,1.769415,0.581101
70,0.897335,1.773865,0.332256
71,0.903585,1.776021,0.083382
72,0.912872,1.776797,-0.165513
73,0.915899,1.776292,-0.414520
74,0.928336,1.770820,-0.663251
75,1.040983,1.682805,-0.910707
76,1.056101,1.663329,-1.158184
77,1.067007,1.638415,-1.405693
78,1.071477,1.611588,-1.653238
79,1.069444,1.586990,-1.900814
80,1.062995,1.568161,-2.148411
81,0.987858,1.452880,-2.398411
82,0.982403,1.447867,-2.648408
83,0.980675,1.446938,-2.898406
84,0.980675,1.446938,3.134781
85,0.980635,1.446938,2.884782
86,0.979704,1.447183,2.634784
87,0.977205,1.448570,2.384785
88,0.973909,1.451683,2.134787
89,0.906507,1.558243,1.885481
90,0.904298,1.565029,1.636175
91,0.903796,1.572701,1.386865
92,0.905173,1.580103,1.137550
93,0.908912,1.588187,0.888218
94,0.913759,1.594149,0.638870
95,0.918579,1.597729,0.389508
96,0.922269,1.599244,0.140136
97,1.065210,1.619407,-0.109344
98,1.065358,1.619391,-0.358811
99,1.069173,1.617960,-0.608280
100,1.074763,1.614067,-0.857761
101,1.080070,1.607931,-1.107262
102,1.083589,1.600891,-1.356786
103,1.084891,1.594901,-1.606334
104,1.084781,1.591809,-1.855906
105,1.045222,1.456840,-2.105906
106,1.045222,1.456840,-2.355906
107,1.045222,1.456840,-2.605906
108,1.045047,1.456736,-2.855906
109,1.045047,1.456736,-3.105906
110,1.045030,1.456736,2.927280
111,1.045009,1.456740,2.677280
112,1.044998,1.456746,2.427280
113,0.941919,1.546121,2.177281
114,0.941780,1.546321,1.927283
115,0.941224,1.547813,1.677285
116,0.940971,1.550184,1.427287
117,0.941395,1.553117,1.177289
118,0.942458,1.555677,0.927289
119,0.943750,1.557400,0.677290
120,0.944831,1.558269,0.427290
