wp_idx,x,y
0,3.299386,-1.240216
1,3.268005,-1.368230
2,3.235171,-1.486685
3,3.167810,-1.720563
4,3.133023,-1.849632
5,3.102228,-1.977667
6,3.039204,-2.113784
7,2.950935,-2.235063
8,2.840904,-2.337010
9,2.712517,-2.414579
10,2.570303,-2.462277
11,2.421626,-2.482157
12,2.272105,-2.494136
13,2.137325,-2.495778
14,1.993079,-2.486220
15,1.846650,-2.464435
16,1.700991,-2.430372
17,1.567696,-2.387574
18,1.446633,-2.337673
19,1.334951,-2.280832
20,1.223066,-2.212436
21,1.033219,-2.080002
22,0.954521,-1.926219
23,0.941954,-1.776746
24,0.960102,-1.627848
25,1.007127,-1.485410
26,1.052737,-1.342512
27,1.091456,-1.197596
28,1.123019,-1.050954
29,1.147669,-0.902993
30,1.165851,-0.754099
31,1.178064,-0.604597
32,1.184855,-0.454751
33,1.186791,-0.304764
34,1.184417,-0.154782
35,1.178304,-0.006976
36,1.169258,0.133881
37,1.157848,0.268189
38,1.144502,0.396525
39,1.129553,0.519425
40,1.095886,0.750501
41,1.058328,0.964745
42,1.017504,1.166133
43,0.973598,1.357807
44,0.927308,1.543015
45,0.879359,1.727769
46,1.040983,1.682805
47,1.062995,1.568161
48,0.987858,1.452880
49,0.906507,1.558243
50,1.065210,1.619407
51,1.045222,1.456840
52,0.941919,1.546121
53,0.944831,1.558269
54,1.000000,1.750000
