point_idx,x,y,theta
0,3.311814,-1.004245,-0.000000
1,3.311962,-1.004245,-0.248108
2,3.312399,-1.004355,-0.496217
3,3.313048,-1.004707,-0.744325
4,3.313813,-1.005411,-0.992434
5,3.314602,-1.006620,-1.240543
6,3.315166,-1.008264,-1.488646
7,3.323970,-1.115203,-1.736706
8,3.302081,-1.245926,-1.954297
9,3.250655,-1.373384,-1.995775
10,3.193208,-1.500321,-2.006161
11,3.134250,-1.627077,-1.988799
12,3.077477,-1.754894,-1.945516
13,3.026359,-1.884864,-1.877809
14,2.988548,-2.004129,-2.103257
15,2.914574,-2.129673,-2.324962
16,2.811872,-2.238999,-2.542959
17,2.687956,-2.323527,-2.757462
18,2.549017,-2.379687,-2.982922
19,2.400943,-2.403381,-3.033467
20,2.251886,-2.419561,-3.005010
21,2.103283,-2.439985,-2.996242
22,1.955160,-2.461667,-3.010486
23,1.806447,-2.481277,-3.036238
24,1.657314,-2.497047,-3.065259
25,1.509159,-2.508379,-3.093736
26,1.362155,-2.515419,-3.120733
27,1.216478,-2.518458,3.138007
28,1.072468,-2.517942,3.116669
29,0.930501,-2.514403,3.098785
30,0.789971,-2.508383,3.084276
31,0.650606,-2.500387,3.071979
32,0.513025,-2.490794,3.060737
33,0.372080,-2.479373,3.049348
34,0.231833,-2.466399,3.036641
35,0.096007,-2.452091,3.021455
36,-0.034071,-2.436388,3.002519
37,-0.159842,-2.418783,2.978402
38,-0.280437,-2.398927,2.947614
39,-0.397252,-2.375978,2.908969
40,-0.510640,-2.349115,2.862266
41,-0.621111,-2.317429,2.810562
42,-0.733641,-2.278756,2.763766
43,-0.840958,-2.236162,2.736297
44,-0.938697,-2.194227,2.731808
45,-1.036061,-2.151935,2.748864
46,-1.036061,-2.151935,2.511891
47,-1.036276,-2.151778,2.274935
48,-1.051203,-2.134204,2.038555
49,-1.071986,-2.093061,1.803154
50,-1.106527,-1.947093,1.575208
51,-1.107189,-1.797094,1.353078
52,-1.074788,-1.650635,1.336400
53,-1.039950,-1.504737,1.362622
54,-1.008949,-1.357975,1.386873
55,-0.981516,-1.210505,1.407234
56,-0.957091,-1.062507,1.424021
57,-0.935153,-0.914120,1.442054
58,-0.915895,-0.765361,1.461038
59,-0.899465,-0.616264,1.480691
60,-0.885967,-0.466873,1.500750
61,-0.875613,-0.319296,1.520965
62,-0.868541,-0.177489,1.541089
63,-0.864493,-0.041277,1.560886
64,-0.863198,0.089417,1.580133
65,-0.864371,0.215094,1.598631
66,-0.867741,0.336119,1.616195
67,-0.873042,0.452812,1.632554
68,-0.880016,0.565587,1.647342
69,-0.888399,0.674887,1.660129
70,-0.897917,0.781159,1.670599
71,-0.908302,0.884867,1.678619
72,-0.919307,0.986532,1.684187
73,-0.930718,1.086737,1.687891
74,-0.942353,1.185646,1.690168
75,-0.954098,1.283572,1.691769
76,-0.965989,1.381388,1.692614
77,-0.978017,1.479629,1.692628
78,-0.990165,1.578847,1.691762
79,-0.990743,1.583606,1.441777
80,-0.990208,1.587735,1.191792
81,-0.989019,1.590719,0.941806
82,-0.987851,1.592324,0.691821
83,-0.987412,1.592687,0.441834
84,-0.987389,1.592698,0.191848
85,-0.987384,1.592699,-0.058138
86,-0.987384,1.592699,-0.308124
87,-0.986477,1.592411,-0.558110
88,-0.978327,1.587323,-0.808097
89,-0.879165,1.483554,-1.055698
90,-0.867659,1.463228,-1.303230
91,-0.860394,1.436728,-1.550659
92,-0.859805,1.407466,-1.797966
93,-0.866198,1.379812,-2.045300
94,-0.876490,1.359773,-2.292739
95,-0.971214,1.252195,-2.542739
96,-0.980381,1.245939,-2.792739
97,-0.985398,1.244114,-3.042739
98,-0.985398,1.244114,2.990447
99,-0.985398,1.244114,2.740447
100,-0.985398,1.244114,2.490447
101,-0.985398,1.244114,2.240447
102,-0.985485,1.244223,1.990447
103,-1.038462,1.362964,1.740620
104,-1.038673,1.364196,1.490794
105,-1.038508,1.366245,1.240968
106,-1.037699,1.368609,0.991141
107,-1.036286,1.370768,0.741315
108,-1.034555,1.372352,0.491488
109,-1.032919,1.373228,0.241661
110,-1.031760,1.373513,-0.008166
111,-0.887650,1.372337,-0.258055
112,-0.887098,1.372191,-0.507942
113,-0.886341,1.371770,-0.757829
114,-0.884198,1.369742,-1.007716
115,-0.882003,1.366263,-1.257604
116,-0.880659,1.362115,-1.507492
117,-0.880419,1.358332,-1.757382
118,-0.880900,1.355786,-2.007273
119,-0.944109,1.220285,-2.257273
120,-0.944373,1.219963,-2.507273
