wp_idx,x,y
0,3.302081,-1.245926
1,3.250655,-1.373384
2,3.193208,-1.500321
3,3.134250,-1.627077
4,3.077477,-1.754894
5,3.026359,-1.884864
6,2.988548,-2.004129
7,2.914574,-2.129673
8,2.811872,-2.238999
9,2.687956,-2.323527
10,2.549017,-2.379687
11,2.400943,-2.403381
12,2.251886,-2.419561
13,2.103283,-2.439985
14,1.955160,-2.461667
15,1.806447,-2.481277
16,1.657314,-2.497047
17,1.509159,-2.508379
18,1.362155,-2.515419
19,1.216478,-2.518458
20,1.072468,-2.517942
21,0.930501,-2.514403
22,0.789971,-2.508383
23,0.650606,-2.500387
24,0.513025,-2.490794
25,0.372080,-2.479373
26,0.231833,-2.466399
27,0.096007,-2.452091
28,-0.034071,-2.436388
29,-0.159842,-2.418783
30,-0.280437,-2.398927
31,-0.510640,-2.349115
32,-0.733641,-2.278756
33,-0.938697,-2.194227
34,-1.051203,-2.134204
35,-1.106527,-1.947093
36,-1.107189,-1.797094
37,-1.074788,-1.650635
38,-1.039950,-1.504737
39,-1.008949,-1.357975
40,-0.981516,-1.210505
41,-0.957091,-1.062507
42,-0.935153,-0.914120
43,-0.915895,-0.765361
44,-0.899465,-0.616264
45,-0.885967,-0.466873
46,-0.875613,-0.319296
47,-0.868541,-0.177489
48,-0.864493,-0.041277
49,-0.863198,0.089417
50,-0.864371,0.215094
51,-0.867741,0.336119
52,-0.880016,0.565587
53,-0.897917,0.781159
54,-0.919307,0.986532
55,-0.942353,1.185646
56,-0.965989,1.381388
57,-0.990165,1.578847
58,-0.879165,1.483554
59,-0.876490,1.359773
60,-0.971214,1.252195
61,-1.038462,1.362964
62,-0.887650,1.372337
63,-0.944109,1.220285
64,-1.000000,1.750000
