point_idx,x,y,theta
0,-5.253519,-0.737818,0.000000
1,-5.247247,-0.737818,0.243054
2,-5.242449,-0.736628,0.486041
3,-5.238245,-0.734407,0.728977
4,-5.235061,-0.731564,0.971876
5,-5.150498,-0.607672,1.215594
6,-5.098627,-0.467834,1.459976
7,-5.082298,-0.321089,1.553172
8,-5.079704,-0.173926,1.554418
9,-5.077296,-0.026886,1.553318
10,-5.074727,0.120049,1.552597
11,-5.072055,0.266890,1.552330
12,-5.069344,0.413650,1.552507
13,-5.066661,0.560344,1.553115
14,-5.064068,0.706983,1.554139
15,-5.061626,0.853578,1.555563
16,-5.059393,1.000143,1.557369
17,-5.057425,1.146688,1.559538
18,-5.055775,1.293224,1.562049
19,-5.054493,1.439761,1.564879
20,-5.053626,1.586310,1.568004
21,-5.053217,1.732879,1.571398
22,-5.053305,1.879478,1.575032
23,-5.053926,2.026116,1.578875
24,-5.055111,2.172799,1.582894
25,-5.056886,2.319537,1.587054
26,-5.059273,2.466338,1.591317
27,-5.062287,2.613208,1.595642
28,-5.065939,2.760155,1.599986
29,-5.070232,2.907188,1.604302
30,-5.075164,3.054313,1.608539
31,-5.080723,3.201540,1.612646
32,-5.086893,3.348877,1.616564
33,-5.093646,3.496334,1.620234
34,-5.100948,3.643922,1.623591
35,-5.108755,3.791651,1.626566
36,-5.117017,3.939650,1.629086
37,-5.125671,4.087944,1.631073
38,-5.134640,4.236555,1.632445
39,-5.143834,4.385507,1.633115
40,-5.144032,4.388675,1.387758
41,-5.143677,4.390591,1.142388
42,-5.143469,4.391048,0.897025
43,-5.141194,4.393897,0.651678
44,-5.027104,4.480931,0.404738
45,-4.896407,4.536920,0.156549
46,-4.756830,4.558951,0.038107
47,-4.614843,4.564364,0.027041
48,-4.473127,4.568197,0.022831
49,-4.331642,4.571428,0.018096
50,-4.190354,4.573985,0.012498
51,-4.049260,4.575748,0.005968
52,-3.908388,4.576589,-0.002125
53,-3.767471,4.576290,-0.008854
54,-3.626203,4.575039,0.000203
55,-3.484872,4.575068,-0.062972
56,-3.336018,4.565682,-0.086230
57,-3.188146,4.552899,-0.094438
58,-3.040242,4.538890,-0.093914
59,-3.040242,4.538890,-0.340578
60,-3.033848,4.536624,-0.587221
61,-3.027282,4.532254,-0.833850
62,-3.023468,4.528051,-1.080475
63,-2.953952,4.397824,-1.326963
64,-2.918186,4.254059,-1.573312
65,-2.918563,4.104059,-1.713520
66,-2.939895,3.955612,-1.745016
67,-2.965836,3.808223,-1.754733
68,-2.993195,3.661166,-1.759794
69,-3.021290,3.514285,-1.762429
70,-3.049768,3.367501,-1.767863
71,-3.049884,3.366921,-2.016463
72,-3.049884,3.366921,-2.265066
73,-3.049884,3.366921,-2.513670
74,-3.050187,3.366702,-2.762279
75,-3.051227,3.366287,-3.010893
76,-3.051227,3.366287,3.023676
77,-3.051227,3.366287,2.775061
78,-3.051227,3.366287,2.526448
79,-3.052644,3.367289,2.277840
80,-3.052644,3.367289,2.029236
81,-3.117724,3.499160,1.779500
82,-3.117724,3.499160,1.529766
83,-3.117724,3.499160,1.280031
84,-3.117423,3.500164,1.030297
85,-3.116232,3.502148,0.780563
86,-3.113806,3.504551,0.530829
87,-3.110107,3.506723,0.281096
88,-3.105406,3.508080,0.031364
89,-2.955582,3.512781,-0.218357
90,-2.950288,3.511606,-0.468077
91,-2.945566,3.509219,-0.717798
92,-2.941968,3.506077,-0.967519
93,-2.939762,3.502875,-1.217241
94,-2.938841,3.500380,-1.466963
95,-2.938722,3.499236,-1.716686
96,-2.938722,3.499234,-1.966409
97,-2.995627,3.362978,-2.216409
98,-2.995635,3.362967,-2.466409
99,-2.995635,3.362967,-2.716409
100,-2.995635,3.362967,-2.966409
101,-2.995635,3.362967,3.066776
102,-2.995635,3.362967,2.816776
103,-2.995635,3.362967,2.566776
104,-2.995635,3.362967,2.316776
105,-3.093876,3.469275,2.066776
106,-3.093876,3.469275,1.816776
107,-3.093876,3.469275,1.566776
108,-3.093876,3.469275,1.316776
109,-3.093720,3.469872,1.066776
110,-3.093212,3.470795,0.816776
111,-3.092508,3.471544,0.566776
112,-3.091995,3.471870,0.316776
113,-2.949630,3.518540,0.066776
114,-2.949630,3.518540,-0.183224
115,-2.949630,3.518540,-0.433224
116,-2.949630,3.518540,-0.683224
117,-2.949630,3.518540,-0.933224
118,-2.949624,3.518531,-1.183224
119,-2.949616,3.518513,-1.433224
120,-2.949614,3.518498,-1.683224
