wp_idx,x,y
0,-5.067079,-0.880449
1,-5.005646,-1.008061
2,-4.976586,-1.140704
3,-4.967434,-1.275098
4,-4.959623,-1.410950
5,-4.951385,-1.548620
6,-4.942814,-1.688282
7,-4.934225,-1.830098
8,-4.925948,-1.974237
9,-4.918301,-2.120877
10,-4.911589,-2.270066
11,-4.760660,-2.410951
12,-4.625652,-2.462687
13,-4.477275,-2.481811
14,-4.339716,-2.470275
15,-4.205371,-2.456379
16,-4.073377,-2.441710
17,-3.943646,-2.425910
18,-3.816178,-2.408432
19,-3.691008,-2.388691
20,-3.568212,-2.366077
21,-3.447343,-2.339841
22,-3.322675,-2.307874
23,-3.200372,-2.271862
24,-3.083221,-2.234456
25,-2.967782,-2.196380
26,-2.899394,-2.019940
27,-2.893059,-1.870074
28,-2.920495,-1.722770
29,-2.948893,-1.575679
30,-2.973992,-1.428008
31,-2.995884,-1.279847
32,-3.014823,-1.131298
33,-3.031028,-0.982445
34,-3.044676,-0.833354
35,-3.055921,-0.684080
36,-3.064902,-0.534670
37,-3.071737,-0.385164
38,-3.076530,-0.235597
39,-3.079366,-0.085997
40,-3.080316,0.063610
41,-3.079434,0.213201
42,-3.076761,0.362757
43,-3.072325,0.512257
44,-3.066138,0.661684
45,-3.058202,0.811017
46,-3.048504,0.960235
47,-3.037018,1.109316
48,-3.023917,1.258256
49,-3.009898,1.407124
50,-2.996369,1.556058
51,-2.985386,1.705357
52,-2.978661,1.854191
53,-2.975743,2.003111
54,-2.976192,2.152053
55,-2.979560,2.301151
56,-2.985401,2.450046
57,-2.993348,2.598728
58,-3.003076,2.747230
59,-3.014269,2.895586
60,-3.026613,3.043824
61,-3.039782,3.191960
62,-3.053452,3.340043
63,-3.067301,3.488191
64,-3.080940,3.636342
65,-3.093992,3.784573
66,-3.007795,3.697999
67,-3.052963,3.826828
68,-2.972843,3.711134
69,-2.976717,3.700288
70,-3.000000,3.500000
