diag_stamp,log_stamp,detected,true_available,true_x,true_y,true_yaw,state_available,state_x,state_y,state_yaw,state_age_s,state_fresh,state_pos_error,state_yaw_error_deg,obs_u,obs_v,obs_yaw,obs_yaw_error_deg,pixel_pose_available,pixel_pose_stamp,pixel_pose_u,pixel_pose_v,pixel_pose_yaw,pixel_pose_age_s,pixel_pose_fresh,pred_world_x,pred_world_y,localization_error_m,pred_world_x_calibrated,pred_world_y_calibrated,localization_error_calibrated_m,bev_y_calibration_offset_m,u_red,v_red,red_area_px,u_blue,v_blue,blue_area_px,separation_px,border_margin_px,yolo_score_raw,yolo_score_selected,yolo_detected_after_threshold,yolo_best_class_id,yolo_target_candidate_count,bbox_area_px,bbox_xmin,bbox_ymin,bbox_xmax,bbox_ymax,logit_margin,class_entropy,mask_area_px,mask_bottom_u,mask_bottom_v,mask_used,mask_polygon_points,confidence_logit,mask_compactness,mask_border_frac,mask_score,selected_pixel_source_code,yolo_raw_best_score,yolo_selected_score,yolo_num_target_candidates,yolo_selected_class_id,yolo_selected_pixel_source,yolo_bbox_area,yolo_mask_area,yolo_inference_ms,detector_callback_ms,yolo_receive_stamp,yolo_start_stamp,yolo_finish_stamp,yolo_publish_stamp,yolo_latency_s,frame_age_at_publish_s,detector_total_latency_s,camera_relative_bearing_deg,seed
5.71,6.745,1,1,-5.249999999995931,-0.75,-4.891722404475177e-12,0,nan,nan,nan,nan,0.0,nan,nan,132.50242394667933,281.9205074413962,nan,nan,0,nan,nan,nan,nan,nan,0.0,nan,nan,nan,nan,nan,nan,0.05,nan,nan,nan,nan,nan,nan,nan,132.50242394667933,0.9314048290252686,0.9314048290252686,1.0,0.0,291.0,638.5264704376459,118.6630859375,258.7718505859375,146.09030151367188,282.0526123046875,nan,nan,nan,nan,nan,0.0,nan,2.6084718769304907,nan,nan,nan,1.0,0.9314048290252686,0.9314048290252686,291.0,0.0,bbox_bottom,638.5264704376459,nan,1491.768850988592,1507.2299199964618,1781599861.0947065,1781599861.1113515,1781599862.603077,1781599862.9272316,1.4917254447937012,1781599857.2172315,1781599857.2172315,42.13759477363007,0
6.7,6.946000000000001,1,1,-5.249999999995931,-0.75,-4.8917223921723505e-12,1,-5.253518991578973,-0.7378180880513996,8.758115402030107e-44,1.2360000000000007,1.0,0.01267999528726151,2.802750476211146e-10,133.0171163760292,282.1575124218405,nan,nan,1,5.71,132.50242394667933,281.9205074413962,0.0,1.2360000000000007,1.0,-5.2740773189485735,-0.8251153689820054,0.07887988302000763,-5.2740773189485735,-0.7751153689820054,0.03479222681935639,0.05,nan,nan,nan,nan,nan,nan,nan,133.0171163760292,0.9314048290252686,0.9314048290252686,1.0,0.0,291.0,638.5264704376459,118.6630859375,258.7718505859375,146.09030151367188,282.0526123046875,nan,nan,nan,nan,nan,0.0,nan,2.6084718769304907,nan,nan,nan,1.0,0.9314048290252686,0.9314048290252686,291.0,0.0,bbox_bottom,638.5264704376459,nan,74.45956800074782,86.65981100057252,1781599862.9246364,1781599862.9419858,1781599863.0163388,1781599863.311179,0.07435297966003418,1781599856.6111789,1781599856.6111789,42.13759477363007,0
6.898,7.1530000000000005,1,1,-5.249999999995931,-0.75,-4.891722378779891e-12,1,-5.246550525776481,-0.7412173733737701,8.758115402030107e-44,0.4530000000000003,1.0,0.009435751313298438,2.802750468537832e-10,131.84102435242482,282.41420735959696,nan,nan,1,6.898,131.84102435242482,282.41420735959696,0.0,0.2550000000000008,1.0,-5.277533265038988,-0.832220008483339,0.08670761488434307,-5.277533265038988,-0.782220008483339,0.04238171339855965,0.05,nan,nan,nan,nan,nan,nan,nan,131.84102435242482,0.9314048290252686,0.9314048290252686,1.0,0.0,291.0,638.5264704376459,118.6630859375,258.7718505859375,146.09030151367188,282.0526123046875,nan,nan,nan,nan,nan,0.0,nan,2.6084718769304907,nan,nan,nan,1.0,0.9314048290252686,0.9314048290252686,291.0,0.0,bbox_bottom,638.5264704376459,nan,74.73502799984999,86.22308100166265,1781599863.2958724,1781599863.327873,1781599863.402551,1781599863.7227974,0.07467794418334961,1781599856.8247974,1781599856.8247974,42.13759477363007,0
7.096,7.378,1,1,-5.249999999995931,-0.75,-4.891722339899026e-12,1,-5.25694238657952,-0.7448497763385107,8.758115402030107e-44,0.4800000000000004,1.0,0.008644161916539788,2.8027504462607377e-10,133.68069377071606,282.9996932678167,nan,nan,1,7.096,133.68069377071606,282.9996932678167,0.0,0.28200000000000003,1.0,-5.254394773839314,-0.8406334942689174,0.09073998192929271,-5.254394773839314,-0.7906334942689174,0.040870464808179297,0.05,nan,nan,nan,nan,nan,nan,nan,133.68069377071606,0.9314048290252686,0.9314048290252686,1.0,0.0,291.0,638.5264704376459,118.6630859375,258.7718505859375,146.09030151367188,282.0526123046875,nan,nan,nan,nan,nan,0.0,nan,2.6084718769304907,nan,nan,nan,1.0,0.9314048290252686,0.9314048290252686,291.0,0.0,bbox_bottom,638.5264704376459,nan,87.11061099893413,97.0858239888912,1781599863.6922598,1781599863.734378,1781599863.821418,1781599864.1370888,0.08703994750976562,1781599857.0410888,1781599857.0410888,42.13759477363007,0
7.327,7.5760000000000005,1,1,-5.249999999995931,-0.75,-4.891722313926084e-12,1,-5.233870405199845,-0.7532479174890447,8.758115402030107e-44,0.4800000000000004,1.0,0.016453352129629437,2.802750431379338e-10,131.67295848977895,280.78719083364143,nan,nan,1,7.327,131.67295848977895,280.78719083364143,0.0,0.24900000000000055,1.0,-5.290561814754784,-0.8087714930666463,0.07140972772539,-5.290561814754784,-0.7587714930666463,0.041499396467294586,0.05,nan,nan,nan,nan,nan,nan,nan,131.67295848977895,0.9314048290252686,0.9314048290252686,1.0,0.0,291.0,638.5264704376459,118.6630859375,258.7718505859375,146.09030151367188,282.0526123046875,nan,nan,nan,nan,nan,0.0,nan,2.6084718769304907,nan,nan,nan,1.0,0.9314048290252686,0.9314048290252686,291.0,0.0,bbox_bottom,638.5264704376459,nan,76.16269499703776,86.39867200690787,1781599864.1203861,1781599864.148075,1781599864.224108,1781599864.523866,0.07603287696838379,1781599857.196866,1781599857.196866,42.13759477363007,0
7.525,7.78,1,1,-5.249999999995931,-0.75,-4.891722288563694e-12,1,-5.269984100384715,-0.7215782826258443,8.758115402030107e-44,0.4530000000000003,1.0,0.034744183496599246,2.802750416847759e-10,131.75341926304858,282.0939382840347,nan,nan,1,7.327,131.67295848977895,280.78719083364143,0.0,0.4530000000000003,1.0,-5.290561814754784,-0.8087714930666463,0.07140972772539,-5.290561814754784,-0.7587714930666463,0.041499396467294586,0.05,nan,nan,nan,nan,nan,nan,nan,131.75341926304858,0.9314048290252686,0.9314048290252686,1.0,0.0,291.0,638.5264704376459,118.6630859375,258.7718505859375,146.09030151367188,282.0526123046875,nan,nan,nan,nan,nan,0.0,nan,2.6084718769304907,nan,nan,nan,1.0,0.9314048290252686,0.9314048290252686,291.0,0.0,bbox_bottom,638.5264704376459,nan,68.62820699461736,83.48495200334582,1781599864.5190704,1781599864.5395887,1781599864.6080496,1781599864.946814,0.06846094131469727,1781599857.421814,1781599857.421814,42.13759477363007,0
7.723,7.973000000000001,1,1,-5.249999999995931,-0.75,-4.891722242505393e-12,1,-5.260069472332795,-0.7402752871773732,8.758115402030107e-44,0.4480000000000004,1.0,0.013998725392885629,2.802750390458296e-10,130.0516629509471,281.83382064075494,nan,nan,1,7.525,131.75341926304858,282.0939382840347,0.0,0.4480000000000004,1.0,-5.2806599494492685,-0.8276122112747478,0.08344871382734002,-5.2806599494492685,-0.7776122112747478,0.041260958689328886,0.05,nan,nan,nan,nan,nan,nan,nan,130.0516629509471,0.9314048290252686,0.9314048290252686,1.0,0.0,291.0,638.5264704376459,118.6630859375,258.7718505859375,146.09030151367188,282.0526123046875,nan,nan,nan,nan,nan,0.0,nan,2.6084718769304907,nan,nan,nan,1.0,0.9314048290252686,0.9314048290252686,291.0,0.0,bbox_bottom,638.5264704376459,nan,65.32700499519706,76.22069401259068,1781599864.9091213,1781599864.961382,1781599865.0266492,1781599865.3287146,0.06526732444763184,1781599857.6057146,1781599857.6057146,42.13759477363007,0
7.921,8.174000000000001,1,1,-5.249999999995931,-0.75,-4.891722215149218e-12,1,-5.279493432031067,-0.7365129737278544,8.758115402030107e-44,0.4510000000000014,1.0,0.032430886680396794,2.8027503747843624e-10,131.13078277833287,281.3203449499841,nan,nan,1,7.921,131.13078277833287,281.3203449499841,0.0,0.253000000000001,1.0,-5.292498054070759,-0.8164663507080411,0.0788914467898217,-5.292498054070759,-0.766466350708041,0.045576587254720594,0.05,nan,nan,nan,nan,nan,nan,nan,131.13078277833287,0.9314048290252686,0.9314048290252686,1.0,0.0,291.0,638.5264704376459,118.6630859375,258.7718505859375,146.09030151367188,282.0526123046875,nan,nan,nan,nan,nan,0.0,nan,2.6084718769304907,nan,nan,nan,1.0,0.9314048290252686,0.9314048290252686,291.0,0.0,bbox_bottom,638.5264704376459,nan,100.03146799863316,113.65764299989678,1781599865.3072171,1781599865.3469057,1781599865.446796,1781599865.7572312,0.09989023208618164,1781599857.8362312,1781599857.8362312,42.13759477363007,0
8.119,8.407,1,1,-5.249999999995931,-0.75,-4.891722195584163e-12,1,-5.261733300934089,-0.7351674633391998,8.758115402030107e-44,0.28800000000000026,1.0,0.01891228422743666,2.802750363574411e-10,131.83243474272862,281.73631214831835,nan,nan,1,8.119,131.83243474272862,281.73631214831835,0.0,0.28800000000000026,1.0,-5.282316237676989,-0.8224623652279858,0.0793418779226495,-5.282316237676989,-0.7724623652279857,0.03935602964596452,0.05,nan,nan,nan,nan,nan,nan,nan,131.83243474272862,0.9314048290252686,0.9314048290252686,1.0,0.0,291.0,638.5264704376459,118.6630859375,258.7718505859375,146.09030151367188,282.0526123046875,nan,nan,nan,nan,nan,0.0,nan,2.6084718769304907,nan,nan,nan,1.0,0.9314048290252686,0.9314048290252686,291.0,0.0,bbox_bottom,638.5264704376459,nan,76.99696799681988,90.33078099309932,1781599865.7349463,1781599865.7716074,1781599865.8484619,1781599866.1763356,0.07685446739196777,1781599858.0573356,1781599858.0573356,42.13759477363007,0
8.35,8.609,1,1,-5.249999999995931,-0.75,-4.891722188970999e-12,1,-5.261733300934089,-0.7351674633391998,8.758115402030107e-44,0.4900000000000002,1.0,0.01891228422743666,2.802750359785348e-10,132.78832426196007,283.0951256741302,nan,nan,1,8.119,131.83243474272862,281.73631214831835,0.0,0.4900000000000002,1.0,-5.282316237676989,-0.8224623652279858,0.0793418779226495,-5.282316237676989,-0.7724623652279857,0.03935602964596452,0.05,nan,nan,nan,nan,nan,nan,nan,132.78832426196007,0.9314048290252686,0.9314048290252686,1.0,0.0,291.0,638.5264704376459,118.6630859375,258.7718505859375,146.09030151367188,282.0526123046875,nan,nan,nan,nan,nan,0.0,nan,2.6084718769304907,nan,nan,nan,1.0,0.9314048290252686,0.9314048290252686,291.0,0.0,bbox_bottom,638.5264704376459,nan,81.69029100099578,96.22746700188145,1781599866.1628046,1781599866.1919823,1781599866.273335,1781599866.5711515,0.08135271072387695,1781599858.2211516,1781599858.2211516,42.13759477363007,0
8.548,8.83,1,1,-5.249999999995931,-0.75,-4.891722177173853e-12,1,-5.242436305195974,-0.754583337302901,8.758115402030107e-44,0.4800000000000004,1.0,0.008844007002431925,2.802750353026081e-10,132.2481590626419,283.41907577523716,nan,nan,1,8.548,132.2481590626419,283.41907577523716,0.0,0.28200000000000003,1.0,-5.2663682128531635,-0.8466522362838302,0.09802843042100089,-5.2663682128531635,-0.7966522362838302,0.049440363494031726,0.05,nan,nan,nan,nan,nan,nan,nan,132.2481590626419,0.9314048290252686,0.9314048290252686,1.0,0.0,291.0,638.5264704376459,118.6630859375,258.7718505859375,146.09030151367188,282.0526123046875,nan,nan,nan,nan,nan,0.0,nan,2.6084718769304907,nan,nan,nan,1.0,0.9314048290252686,0.9314048290252686,291.0,0.0,bbox_bottom,638.5264704376459,nan,89.9166029994376,103.81380299804732,1781599866.5380352,1781599866.5861454,1781599866.675939,1781599866.9960613,0.08979368209838867,1781599858.4480612,1781599858.4480612,42.13759477363007,0
