point_idx,x,y,theta
0,-5.253519,-0.737818,0.000000
1,-5.153598,-0.737818,-0.229389
2,-5.091558,-0.752304,-0.462317
3,-5.068438,-0.763826,-0.697490
4,-5.068438,-0.763826,-0.933750
5,-5.028971,-0.817163,-1.176901
6,-4.992113,-0.905844,-1.423152
7,-4.978445,-0.997745,-1.583807
8,-4.979735,-1.096876,-1.606615
9,-4.983522,-1.202563,-1.607180
10,-4.987638,-1.315619,-1.596042
11,-4.990713,-1.437406,-1.572054
12,-4.990879,-1.569523,-1.532470
13,-4.985330,-1.714239,-1.476783
14,-4.971249,-1.863576,-1.420024
15,-4.948718,-2.011874,-1.382658
16,-4.940238,-2.056416,-1.178499
17,-4.901428,-2.150217,-0.975244
18,-4.823915,-2.264606,-0.772983
19,-4.716541,-2.369347,-0.571705
20,-4.590674,-2.450327,-0.363063
21,-4.450815,-2.503460,-0.161664
22,-4.317591,-2.525187,0.068597
23,-4.167954,-2.514906,0.115713
24,-4.018975,-2.497590,0.152168
25,-3.870734,-2.474857,0.195040
26,-3.723578,-2.445786,0.248324
27,-3.579775,-2.409324,0.314772
28,-3.443312,-2.364892,0.396879
29,-3.328443,-2.316748,0.496975
30,-3.233652,-2.265335,0.615439
31,-3.132959,-2.194140,0.703854
32,-3.056432,-2.129177,0.747688
33,-2.990294,-2.067848,0.749308
34,-2.931279,-2.012946,0.710936
35,-2.929403,-2.011330,0.904722
36,-2.926800,-2.008018,1.098499
37,-2.920016,-1.994737,1.292227
38,-2.913952,-1.973538,1.485893
39,-2.904507,-1.862557,1.656038
40,-2.916833,-1.718308,1.811929
41,-2.939464,-1.626280,1.786687
42,-2.963368,-1.517285,1.715209
43,-2.980080,-1.402363,1.649001
44,-2.989415,-1.283249,1.593472
45,-2.992183,-1.161189,1.548912
46,-2.989468,-1.037161,1.515041
47,-2.982479,-0.911936,1.491562
48,-2.972485,-0.786065,1.478243
49,-2.960738,-0.659504,1.474926
50,-2.948583,-0.533108,1.481527
51,-2.945958,-0.503782,1.731527
52,-2.948390,-0.488783,1.981527
53,-2.948390,-0.488783,2.231527
54,-2.948390,-0.488783,2.481527
55,-2.948390,-0.488783,2.731527
56,-2.948390,-0.488783,2.981527
57,-2.948390,-0.488783,-3.051658
58,-2.948390,-0.488783,-2.801658
59,-2.998254,-0.506418,-2.551658
60,-3.048997,-0.540388,-2.301661
61,-3.104545,-0.602351,-2.053059
62,-3.128073,-0.647295,-1.805390
63,-3.137478,-0.686649,-1.558103
64,-3.137161,-0.711590,-1.310415
65,-3.135666,-0.717204,-1.061904
66,-3.132860,-0.722233,-0.812423
67,-3.126065,-0.729405,-0.562673
68,-3.118475,-0.734192,-0.313245
69,-2.998343,-0.773104,-0.064213
70,-2.989993,-0.773641,0.184900
71,-2.973405,-0.770538,0.434109
72,-2.954045,-0.761563,0.683388
73,-2.936520,-0.747293,0.932687
74,-2.928868,-0.736975,1.181954
75,-2.922674,-0.721857,1.431152
76,-2.920792,-0.708466,1.680258
77,-2.935551,-0.574165,1.930215
78,-2.937376,-0.569309,2.180174
79,-2.937460,-0.569189,2.430137
80,-2.938430,-0.568353,2.680099
81,-2.938885,-0.568127,2.930061
82,-2.939289,-0.568040,-3.103162
83,-2.941955,-0.568142,-2.853198
84,-2.944394,-0.568866,-2.603235
85,-3.004920,-0.605013,-2.353935
86,-3.048549,-0.648839,-2.105006
87,-3.073447,-0.690925,-1.856374
88,-3.083924,-0.726609,-1.607883
89,-3.084962,-0.754580,-1.359359
90,-3.080391,-0.775874,-1.110660
91,-3.072153,-0.792495,-0.861720
92,-3.060568,-0.805999,-0.612563
93,-3.060568,-0.805999,-0.363285
94,-2.966137,-0.841898,-0.113318
95,-2.966137,-0.841898,0.136650
96,-2.966137,-0.841898,0.386619
97,-2.965977,-0.841832,0.636589
98,-2.965513,-0.841489,0.886560
99,-2.964817,-0.840637,1.136533
100,-2.964746,-0.840484,1.386511
101,-2.964718,-0.840335,1.636494
102,-2.973556,-0.706004,1.885804
103,-2.973873,-0.705034,2.135100
104,-2.975314,-0.702757,2.384396
105,-2.976401,-0.701729,2.633699
106,-2.976416,-0.701721,2.883013
107,-2.976416,-0.701721,3.132336
108,-2.976416,-0.701721,-2.901524
109,-2.976416,-0.701721,-2.652201
110,-2.976416,-0.701721,-2.402882
111,-3.061412,-0.779129,-2.152891
112,-3.061412,-0.779129,-1.902902
113,-3.061412,-0.779129,-1.652912
114,-3.061412,-0.779129,-1.402920
115,-3.061412,-0.779129,-1.152930
116,-3.061412,-0.779129,-0.902941
117,-3.055746,-0.786311,-0.652955
118,-3.055746,-0.786311,-0.402969
119,-2.942723,-0.834493,-0.152970
120,-2.942723,-0.834493,0.097030
