wp_idx,x,y
0,-5.091558,-0.752304
1,-4.992113,-0.905844
2,-4.979735,-1.096876
3,-4.987638,-1.315619
4,-4.990713,-1.437406
5,-4.990879,-1.569523
6,-4.985330,-1.714239
7,-4.971249,-1.863576
8,-4.948718,-2.011874
9,-4.901428,-2.150217
10,-4.823915,-2.264606
11,-4.716541,-2.369347
12,-4.590674,-2.450327
13,-4.450815,-2.503460
14,-4.317591,-2.525187
15,-4.167954,-2.514906
16,-4.018975,-2.497590
17,-3.870734,-2.474857
18,-3.723578,-2.445786
19,-3.579775,-2.409324
20,-3.443312,-2.364892
21,-3.328443,-2.316748
22,-3.132959,-2.194140
23,-2.990294,-2.067848
24,-2.913952,-1.973538
25,-2.916833,-1.718308
26,-2.963368,-1.517285
27,-2.989415,-1.283249
28,-2.992183,-1.161189
29,-2.989468,-1.037161
30,-2.982479,-0.911936
31,-2.972485,-0.786065
32,-2.960738,-0.659504
33,-2.948583,-0.533108
34,-3.048997,-0.540388
35,-3.128073,-0.647295
36,-2.998343,-0.773104
37,-2.935551,-0.574165
38,-3.048549,-0.648839
39,-3.080391,-0.775874
40,-2.966137,-0.841898
41,-2.973556,-0.706004
42,-3.061412,-0.779129
43,-2.942723,-0.834493
44,-3.000000,-0.750000
