point_idx,x,y,theta
0,3.249545,-0.990572,-0.000000
1,3.249545,-0.990572,-0.399296
2,3.249545,-0.990572,-0.798597
3,3.255544,-0.996732,-1.197898
4,3.266459,-1.024633,-1.597223
5,3.261791,-1.201235,-1.842545
6,3.204010,-1.408600,-1.962166
7,3.113796,-1.627220,-2.003919
8,3.013100,-1.844983,-1.982317
9,2.917104,-2.064936,-1.905648
10,2.893618,-2.132435,-2.222366
11,2.810022,-2.242043,-2.541086
12,2.665208,-2.341223,-2.863635
13,2.434419,-2.407077,-3.065211
14,2.195119,-2.425391,-3.033557
15,1.956518,-2.451269,-3.003992
16,1.722992,-2.483607,-2.990797
17,1.516157,-2.515035,-3.000037
18,1.284485,-2.548050,-3.036338
19,1.045813,-2.573265,-3.089462
20,0.806139,-2.585771,-3.139997
21,0.569442,-2.586148,3.091198
22,0.347039,-2.574931,3.033780
23,0.137991,-2.552305,2.967019
24,-0.059641,-2.517449,2.899340
25,-0.245391,-2.471549,2.834393
26,-0.420685,-2.415938,2.770816
27,-0.586896,-2.351323,2.705879
28,-0.746284,-2.277119,2.644728
29,-0.891906,-2.198158,2.624597
30,-1.036142,-2.116148,2.641241
31,-1.036142,-2.116148,2.314561
32,-1.054248,-2.096468,1.988242
33,-1.070547,-2.059717,1.662410
34,-1.091825,-1.828119,1.325317
35,-1.033500,-1.595314,1.351213
36,-0.981222,-1.361077,1.393572
37,-0.938913,-1.124852,1.435963
38,-0.906658,-0.887076,1.476111
39,-0.883972,-0.648203,1.513310
40,-0.870713,-0.417812,1.546720
41,-0.865384,-0.196522,1.576838
42,-0.866672,0.016701,1.603502
43,-0.873427,0.223172,1.626600
44,-0.884638,0.423854,1.646038
45,-0.899387,0.619507,1.661632
46,-0.916841,0.811132,1.673235
47,-0.936233,0.999766,1.680726
48,-0.956892,1.186941,1.683990
49,-0.978120,1.373678,1.685723
50,-0.999656,1.560239,1.685897
51,-1.021311,1.747545,1.684531
52,-1.021468,1.748921,1.284793
53,-1.021293,1.749514,0.884955
54,-1.020992,1.749883,0.485033
55,-1.019782,1.750520,0.085096
56,-1.015643,1.750873,-0.314639
57,-1.000524,1.745953,-0.714624
58,-0.981485,1.729435,-1.114542
59,-0.876644,1.515820,-1.453953
60,-0.872749,1.482632,-1.851744
61,-0.880999,1.454045,-2.249536
62,-0.894179,1.437704,-2.647347
63,-0.902030,1.433474,-3.045173
64,-0.903162,1.433364,2.840184
65,-1.116398,1.499655,2.440436
66,-1.118176,1.501156,2.040688
67,-1.119124,1.503022,1.640940
68,-1.119228,1.504513,1.241192
69,-1.119028,1.505099,0.841444
70,-0.969284,1.672644,0.441444
71,-0.969284,1.672644,0.041444
72,-0.969047,1.672654,-0.358556
73,-0.969031,1.672648,-0.758556
74,-0.969000,1.672619,-1.158556
75,-0.873749,1.454800,-1.558556
