point_idx,x,y,theta
0,-5.276399,-0.727749,0.000000
1,-5.188134,-0.727749,-0.360952
2,-5.142842,-0.744847,-0.723697
3,-5.137281,-0.749761,-1.087170
4,-5.040757,-0.933536,-1.424674
5,-5.012682,-1.124300,-1.466196
6,-4.992275,-1.318679,-1.469196
7,-4.971930,-1.518235,-1.468722
8,-4.950828,-1.724252,-1.468286
9,-4.928818,-1.938201,-1.465910
10,-4.905307,-2.161541,-1.487392
11,-4.903966,-2.177577,-1.131475
12,-4.885612,-2.216632,-0.776477
13,-4.846843,-2.254715,-0.421665
14,-4.628140,-2.352820,-0.061537
15,-4.395124,-2.367177,-0.007196
16,-4.166105,-2.368825,-0.002667
17,-3.939409,-2.369430,0.006512
18,-3.721273,-2.368009,0.029398
19,-3.514700,-2.361935,0.069249
20,-3.312420,-2.347904,0.108964
21,-3.128150,-2.327746,0.138864
22,-2.950124,-2.302864,0.160729
23,-2.948808,-2.302651,0.558768
24,-2.945931,-2.300852,0.956804
25,-2.944844,-2.299309,1.354835
26,-2.898635,-2.088680,1.609672
27,-2.907537,-1.859807,1.641291
28,-2.923228,-1.637600,1.641129
29,-2.938580,-1.419677,1.635180
30,-2.952438,-1.204734,1.627738
31,-2.964585,-0.991643,1.619544
32,-2.974942,-0.779354,1.597171
33,-2.980553,-0.566636,1.576116
34,-2.980568,-0.563901,1.946195
35,-2.980721,-0.563513,2.316258
36,-2.982848,-0.561209,2.686276
37,-2.995294,-0.555115,3.056263
38,-2.997693,-0.554909,-2.856999
39,-3.005104,-0.557077,-2.487193
40,-3.014269,-0.564109,-2.117572
41,-3.135681,-0.763577,-1.809333
42,-3.139326,-0.778569,-1.441527
43,-3.138695,-0.783428,-1.073727
44,-3.137704,-0.785253,-0.705925
45,-3.034678,-0.873080,-0.310706
46,-2.997179,-0.885121,0.084634
47,-2.969001,-0.882731,0.479655
48,-2.956061,-0.875999,0.873992
49,-2.944665,-0.862381,1.267969
50,-2.944665,-0.862381,1.662063
51,-2.951527,-0.787406,2.061040
52,-2.951917,-0.786675,2.460015
53,-2.952408,-0.786277,2.858990
54,-2.952929,-0.786126,-3.025221
55,-2.953334,-0.786173,-2.626250
56,-2.954572,-0.786874,-2.263635
57,-2.958095,-0.791119,-1.863778
58,-2.961922,-0.803803,-1.463790
59,-2.960833,-0.813935,-1.063942
60,-2.940275,-0.850962,-0.663989
61,-2.913256,-0.872104,-0.264054
62,-2.913256,-0.872104,0.135939
63,-2.912689,-0.872027,0.535934
64,-2.912527,-0.871931,0.935929
65,-2.912504,-0.871900,1.335925
66,-2.912038,-0.869952,1.735923
67,-2.913174,-0.863140,2.135922
68,-3.033074,-0.674057,2.402528
69,-3.033074,-0.674057,2.802528
70,-3.033074,-0.674057,-3.080658
71,-3.033074,-0.674057,-2.680658
72,-3.033074,-0.674057,-2.280658
73,-3.033074,-0.674057,-1.880658
74,-3.103947,-0.895415,-1.480658
75,-3.103947,-0.895415,-1.080658
