plan_stamp,point_idx,x,y
39.12,0,-5.276399197943865,-0.7277492739540099
39.12,1,-5.188134123017766,-0.7277492739540099
39.12,2,-5.142842023034234,-0.7448466005436835
39.12,3,-5.1372805025334065,-0.7497609295409557
39.12,4,-5.040756677392299,-0.9335355934621329
39.12,5,-5.012681590571249,-1.124300264173994
39.12,6,-4.992275111771101,-1.3186788885487044
39.12,7,-4.971930118738556,-1.5182345777286472
39.12,8,-4.950827626408773,-1.7242521714164447
39.12,9,-4.928818413986071,-1.938201172157486
39.12,10,-4.90530683032196,-2.1615409559369505
39.12,11,-4.903966236017958,-2.1775770766644347
39.12,12,-4.885612195666691,-2.216632255772103
39.12,13,-4.846843394186241,-2.254715451564471
39.12,14,-4.628139575821603,-2.3528196984946717
39.12,15,-4.39512395008325,-2.36717697078304
39.12,16,-4.166105201329537,-2.368825055368452
39.12,17,-3.939409290150205,-2.369429586846127
39.12,18,-3.7212729013840695,-2.3680090679339427
39.12,19,-3.5147000039128615,-2.361934509343569
39.12,20,-3.3124197229320917,-2.347904299739106
39.12,21,-3.128150261351941,-2.327745806575028
39.12,22,-2.950123823948993,-2.3028641532648204
39.12,23,-2.9488078180323947,-2.3026507918445733
39.12,24,-2.9459312698019335,-2.3008522729504897
39.12,25,-2.9448435058406965,-2.299309078899616
39.12,26,-2.8986352305736336,-2.0886804400639742
39.12,27,-2.907537273797365,-1.8598073326499849
39.12,28,-2.9232276181645833,-1.6376003298145696
39.12,29,-2.938580059594105,-1.4196766242657446
39.12,30,-2.952437942795014,-1.2047336803471973
39.12,31,-2.964584862390003,-0.9916429332818004
39.12,32,-2.9749416043056467,-0.7793542982884529
39.12,33,-2.9805531974820894,-0.5666361938638527
39.12,34,-2.9805677480044017,-0.5639008196272477
39.12,35,-2.9807206778164317,-0.5635127585625989
39.12,36,-2.9828478048523825,-0.561208564633303
39.12,37,-2.995293726471155,-0.555114684110068
39.12,38,-2.997692937281784,-0.5549094619057047
39.12,39,-3.005104048921267,-0.5570774686254716
39.12,40,-3.0142692409536282,-0.5641087225473771
39.12,41,-3.135680861678959,-0.763576563588923
39.12,42,-3.1393264245628125,-0.7785686159879348
39.12,43,-3.1386947292201595,-0.7834280293444966
39.12,44,-3.137704488038297,-0.785253348652535
39.12,45,-3.034678434106219,-0.8730797531010923
39.12,46,-2.9971790580156354,-0.8851210214568566
39.12,47,-2.9690013345705597,-0.8827305227393768
39.12,48,-2.956060970479003,-0.8759993041844668
39.12,49,-2.94466493932631,-0.8623813775508564
39.12,50,-2.94466493932631,-0.8623813775508564
39.12,51,-2.951526708418878,-0.7874064764879481
39.12,52,-2.9519168441231805,-0.7866754761036768
39.12,53,-2.9524077787509495,-0.7862771937032793
39.12,54,-2.952929082906549,-0.7861258202607473
39.12,55,-2.9533337827380906,-0.7861731297468488
39.12,56,-2.9545717457631033,-0.786874304772633
39.12,57,-2.958095095024858,-0.7911186887322934
39.12,58,-2.961921513913519,-0.8038031234194986
39.12,59,-2.9608331631078717,-0.8139351731798792
39.12,60,-2.940274725302542,-0.8509616221723162
39.12,61,-2.913255888597499,-0.8721043131024615
39.12,62,-2.913255888597499,-0.8721043131024615
39.12,63,-2.9126886880440908,-0.8720267298704941
39.12,64,-2.9125272980290013,-0.8719308778498229
39.12,65,-2.912504492420964,-0.8718999170462144
39.12,66,-2.9120384348492445,-0.869952228539187
39.12,67,-2.913173578908235,-0.863140435372643
39.12,68,-3.0330736595482026,-0.6740572900838122
39.12,69,-3.0330736595482026,-0.6740572900838122
39.12,70,-3.0330736595482026,-0.6740572900838122
39.12,71,-3.0330736595482026,-0.6740572900838122
39.12,72,-3.0330736595482026,-0.6740572900838122
39.12,73,-3.0330736595482026,-0.6740572900838122
39.12,74,-3.1039468386203684,-0.8954151222420739
39.12,75,-3.1039468386203684,-0.8954151222420739
