wp_idx,x,y
0,-5.158238,-0.744479
1,-5.047302,-0.947872
2,-5.017349,-1.149882
3,-4.994539,-1.353663
4,-4.971282,-1.560712
5,-4.947335,-1.772024
6,-4.923441,-1.988631
7,-4.899989,-2.214107
8,-4.651100,-2.356438
9,-4.416621,-2.369586
10,-4.188798,-2.369668
11,-3.970131,-2.368749
12,-3.759590,-2.366640
13,-3.556385,-2.361591
14,-3.358005,-2.351492
15,-3.169210,-2.335701
16,-2.984375,-2.315590
17,-2.906270,-2.091564
18,-2.905403,-1.858376
19,-2.912198,-1.628418
20,-2.919579,-1.401296
21,-2.926646,-1.176092
22,-2.933487,-0.952120
23,-2.940369,-0.728759
24,-2.941521,-0.505210
25,-3.110798,-0.650284
26,-2.995434,-0.796008
27,-2.924735,-0.639715
28,-3.066282,-0.636951
29,-3.014408,-0.746648
30,-3.038882,-0.540232
31,-3.138658,-0.749713
32,-3.000000,-0.750000
