wp_idx,x,y
0,3.340362,-0.882577
1,3.350973,-0.732953
2,3.324236,-0.585355
3,3.266236,-0.447022
4,3.196275,-0.314337
5,3.124919,-0.182396
6,3.058528,-0.047888
7,3.001296,0.090764
8,2.957274,0.234159
9,2.928127,0.381300
10,2.913765,0.530611
11,2.912290,0.680603
12,2.919690,0.830421
13,2.929631,0.980091
14,2.932893,1.130055
15,2.916891,1.279199
16,2.866186,1.420369
17,2.793353,1.551501
18,2.691548,1.661663
19,2.565653,1.743214
20,2.425454,1.796544
21,2.277455,1.820960
22,2.127470,1.818778
23,1.979777,1.792572
24,1.831753,1.768304
25,1.683590,1.744902
26,1.535555,1.720706
27,1.387780,1.694965
28,1.240400,1.667403
29,1.100894,1.639573
30,0.958905,1.609081
31,0.936686,1.682181
32,1.019703,1.598909
33,0.961983,1.611343
34,0.998415,1.669092
35,1.010158,1.651913
36,1.000000,1.750000
