point_idx,x,y,theta
0,3.269113,-1.072086,-0.000000
1,3.269113,-1.072086,-0.249093
2,3.271530,-1.072701,-0.498204
3,3.271530,-1.072701,-0.747332
4,3.271530,-1.072701,-0.996461
5,3.274856,-1.077840,-1.245568
6,3.279353,-1.091178,-1.494627
7,3.280931,-1.111853,-1.627132
8,3.272556,-1.260365,-1.808761
9,3.239871,-1.395114,-1.921410
10,3.188350,-1.535988,-1.988914
11,3.127444,-1.673067,-2.017874
12,3.062594,-1.808324,-2.012663
13,2.998450,-1.943917,-1.977318
14,2.939137,-2.081692,-2.168851
15,2.854682,-2.205657,-2.361413
16,2.748064,-2.311168,-2.557406
17,2.622940,-2.393896,-2.763370
18,2.483541,-2.449287,-2.974130
19,2.335640,-2.474289,3.119713
20,2.185676,-2.471007,3.097381
21,2.038059,-2.464477,3.063428
22,1.888517,-2.452764,3.005729
23,1.739899,-2.432447,2.922427
24,1.593487,-2.399834,2.811318
25,1.451594,-2.351189,2.669370
26,1.326925,-2.287513,2.494722
27,1.232507,-2.216201,2.288915
28,1.159514,-2.132660,2.070492
29,1.093605,-2.011927,1.927293
30,1.051849,-1.899804,1.861184
31,1.019633,-1.791997,1.867034
32,0.975844,-1.648531,1.735013
33,0.959872,-1.552141,1.607832
34,0.954318,-1.402244,1.496578
35,0.965440,-1.252657,1.402624
36,0.990547,-1.104773,1.324801
37,1.027076,-0.959289,1.202589
38,1.081067,-0.819343,1.296016
39,1.121767,-0.674970,1.388145
40,1.149013,-0.527465,1.464964
41,1.164858,-0.378304,1.527105
42,1.171410,-0.228447,1.576031
43,1.170625,-0.078450,1.613628
44,1.164202,0.071413,1.641784
45,1.153563,0.221035,1.661307
46,1.140005,0.370421,1.672927
47,1.124744,0.519319,1.677570
48,1.115358,0.606896,1.676689
49,1.102175,0.730926,1.673988
50,1.087760,0.870124,1.673185
51,1.075012,0.994186,1.676535
52,1.063386,1.103725,1.686198
53,1.052259,1.199720,1.702975
54,1.041151,1.283269,1.726820
55,1.029780,1.355558,1.757048
56,1.018038,1.417870,1.792213
57,1.005890,1.471833,1.829735
58,0.993512,1.518563,1.866036
59,0.981010,1.559672,1.897153
60,0.968602,1.596332,1.919435
61,0.956763,1.628904,1.934139
62,0.944873,1.660174,1.941390
63,0.932604,1.691752,1.941257
64,0.919590,1.725258,1.933767
65,0.918340,1.728549,1.688710
66,0.916773,1.741778,1.443861
67,0.919490,1.763071,1.199126
68,0.929374,1.788428,0.954414
69,0.946062,1.811982,0.709656
70,0.969150,1.831814,0.464823
71,1.000495,1.847532,0.219897
72,1.016755,1.851167,-0.025069
73,1.033711,1.850741,-0.270002
74,1.042926,1.848191,-0.514971
75,1.163872,1.779748,-0.759783
76,1.192816,1.752250,-1.004526
77,1.221065,1.707812,-1.249404
78,1.239689,1.651876,-1.494616
79,1.244125,1.593749,-1.740304
80,1.235528,1.543515,-1.986421
81,1.195873,1.453663,-2.235271
82,1.178694,1.431731,-2.484024
83,1.166984,1.422689,-2.732750
84,1.163171,1.421037,-2.981481
85,1.058488,1.404131,3.054993
86,1.045719,1.405240,2.808177
87,0.992101,1.423810,2.561297
88,0.989247,1.425681,2.314332
89,0.919644,1.501370,2.065094
90,0.913079,1.513553,1.815825
91,0.909261,1.528818,1.566474
92,0.909335,1.545795,1.317009
93,0.913247,1.560878,1.067421
94,0.918943,1.571221,0.817729
95,0.925300,1.578003,0.567955
96,0.927243,1.579243,0.318147
97,1.027777,1.612352,0.068150
98,1.029444,1.612466,-0.181847
99,1.030588,1.612256,-0.431845
100,1.031744,1.611723,-0.681842
101,1.036838,1.607588,-0.931842
102,1.043761,1.598270,-1.181842
103,1.048454,1.586819,-1.431842
104,1.049692,1.577968,-1.681842
105,1.036070,1.455804,-1.931842
106,1.034924,1.452770,-2.181842
107,1.033581,1.450852,-2.431842
108,1.031848,1.449364,-2.681842
109,1.030212,1.448554,-2.931842
110,1.020388,1.446462,3.101343
111,1.001845,1.447209,2.851343
112,1.001845,1.447209,2.601343
113,0.901910,1.507147,2.351343
114,0.891138,1.518025,2.101351
115,0.891104,1.518081,1.851358
116,0.889558,1.523447,1.601362
117,0.889297,1.531986,1.351363
118,0.891201,1.540521,1.101363
119,0.894498,1.547022,0.851366
120,0.896551,1.549365,0.601366
