point_idx,x,y,theta
0,3.251211,-1.002835,-0.000000
1,3.251211,-1.002835,0.250000
2,3.251211,-1.002835,0.500000
3,3.251211,-1.002835,0.750000
4,3.251211,-1.002835,1.000000
5,3.293831,-0.936458,1.250000
6,3.337685,-0.804477,1.500000
7,3.348295,-0.654853,1.667359
8,3.333834,-0.505552,1.715316
9,3.312231,-0.357115,1.747510
10,3.285862,-0.209451,1.775746
11,3.255334,-0.062591,1.801319
12,3.221061,0.083441,1.818040
13,3.184351,0.228880,1.828861
14,3.146070,0.373913,1.834675
15,3.106946,0.518721,1.836298
16,3.067587,0.663465,1.834481
17,3.028491,0.808280,1.829921
18,2.990055,0.953272,1.823274
19,2.952585,1.098517,1.815159
20,2.916294,1.244061,1.806169
21,2.881313,1.389925,1.796869
22,2.847691,1.536108,1.784444
23,2.842058,1.562068,2.019722
24,2.830788,1.585464,2.254903
25,2.816641,1.602811,2.490114
26,2.803586,1.612766,2.725417
27,2.666390,1.673406,2.962767
28,2.521722,1.699556,-3.081105
29,2.380816,1.691022,-3.054244
30,2.244423,1.679078,-3.057744
31,2.112101,1.667957,-3.062797
32,1.982843,1.657751,-3.067230
33,1.857195,1.648390,-3.070975
34,1.734231,1.639692,-3.074116
35,1.613673,1.631545,-3.076732
36,1.495207,1.623850,-3.079023
37,1.378506,1.616539,-3.081026
38,1.263464,1.609563,-3.082764
39,1.149688,1.602862,-3.084243
40,1.036688,1.596374,-3.085460
41,0.923942,1.590039,3.058237
42,0.810523,1.599515,2.808400
43,0.810523,1.599515,2.558567
44,0.810523,1.599515,2.308736
45,0.810523,1.599515,2.058905
46,0.810523,1.599515,1.809071
47,0.810515,1.599546,1.559234
48,0.810539,1.601638,1.309440
49,0.812821,1.610170,1.059788
50,0.819771,1.622564,0.810306
51,0.832352,1.635788,0.560982
52,0.958952,1.715334,0.313225
53,0.979913,1.722122,0.065530
54,1.001906,1.723566,-0.182166
55,1.022130,1.719840,-0.429921
56,1.038284,1.712433,-0.677770
57,1.049112,1.703717,-0.925722
58,1.054672,1.696328,-1.173758
59,1.112380,1.558701,-1.423758
60,1.112380,1.558701,-1.673758
61,1.112380,1.558701,-1.923758
62,1.112380,1.558701,-2.173758
63,1.112380,1.558701,-2.423758
64,1.112380,1.558701,-2.673758
65,1.112380,1.558701,-2.923758
66,1.112380,1.558701,3.109427
67,1.112380,1.558701,2.859427
68,0.985283,1.595547,2.609427
69,0.985283,1.595547,2.359429
70,0.985283,1.595547,2.109432
71,0.985283,1.595547,1.859434
72,0.985283,1.595547,1.609434
73,0.985268,1.595937,1.359434
74,0.985588,1.597430,1.109434
75,0.986208,1.598677,0.859434
