wp_idx,x,y
0,3.234582,-1.249055
1,3.196609,-1.384530
2,3.151497,-1.517535
3,3.102031,-1.649276
4,3.050171,-1.781459
5,2.997952,-1.914914
6,2.950718,-2.041149
7,2.879042,-2.160416
8,2.789622,-2.261771
9,2.672885,-2.353696
10,2.540912,-2.420968
11,2.401405,-2.457394
12,2.266925,-2.465615
13,2.135610,-2.467550
14,2.010850,-2.463263
15,1.891154,-2.452620
16,1.665620,-2.412523
17,1.460239,-2.346877
18,1.261971,-2.247040
19,1.072951,-2.128942
20,0.980879,-1.971708
21,0.960252,-1.823133
22,0.969947,-1.673447
23,1.007876,-1.528321
24,1.046584,-1.383402
25,1.080042,-1.237181
26,1.108157,-1.089839
27,1.130989,-0.941587
28,1.148738,-0.792641
29,1.161765,-0.643210
30,1.170538,-0.493476
31,1.175579,-0.343591
32,1.177407,-0.193639
33,1.176495,-0.043685
34,1.173284,0.106013
35,1.168157,0.255925
36,1.161590,0.403243
37,1.153963,0.547532
38,1.145537,0.689585
39,1.136514,0.830258
40,1.127077,0.969940
41,1.117557,1.106474
42,1.108070,1.240412
43,1.098701,1.372470
44,1.089526,1.503274
45,1.080535,1.634403
46,1.071579,1.766474
47,1.062726,1.898564
48,1.053932,2.031228
49,1.045142,2.165040
50,1.146627,2.049597
51,1.000000,1.750000
