point_idx,x,y,theta
0,3.251471,-1.002384,-0.000000
1,3.251471,-1.002384,-0.249961
2,3.251471,-1.002384,-0.499922
3,3.251471,-1.002384,-0.749884
4,3.251471,-1.002384,-0.999845
5,3.251471,-1.002384,-1.249809
6,3.256955,-1.018877,-1.499773
7,3.264676,-1.127412,-1.718589
8,3.242588,-1.275777,-1.792947
9,3.209662,-1.421546,-1.834356
10,3.170584,-1.566366,-1.860594
11,3.129552,-1.703967,-1.875016
12,3.084685,-1.846873,-1.879025
13,3.039293,-1.989447,-1.873759
14,3.014910,-2.067450,-2.069457
15,2.973850,-2.142850,-2.264413
16,2.918947,-2.208884,-2.459070
17,2.802627,-2.303434,-2.661815
18,2.669562,-2.372671,-2.876953
19,2.524784,-2.411905,-3.059878
20,2.378082,-2.423920,-3.106598
21,2.232581,-2.429013,3.132013
22,2.090239,-2.427650,3.084825
23,1.952882,-2.419844,3.035309
24,1.821520,-2.405830,2.982295
25,1.696166,-2.385690,2.924271
26,1.576973,-2.359371,2.859773
27,1.462987,-2.326369,2.790209
28,1.350670,-2.285194,2.723729
29,1.243434,-2.237580,2.679000
30,1.139908,-2.185953,2.654711
31,1.039203,-2.132641,2.649565
32,1.030508,-2.127981,2.426623
33,1.020645,-2.119418,2.203780
34,1.000932,-2.092550,1.981203
35,0.980482,-2.045551,1.758983
36,0.952421,-1.898199,1.547725
37,0.955881,-1.748239,1.344901
38,0.989478,-1.602050,1.320704
39,1.026602,-1.456717,1.338349
40,1.061156,-1.310751,1.365039
41,1.091802,-1.163915,1.397151
42,1.117718,-1.016171,1.431382
43,1.138563,-0.867626,1.465308
44,1.154357,-0.718460,1.497274
45,1.165375,-0.568865,1.526359
46,1.171974,-0.420458,1.552367
47,1.174656,-0.274942,1.575532
48,1.173980,-0.132221,1.596066
49,1.170441,0.007829,1.614158
50,1.164576,0.142984,1.629987
51,1.156860,0.273196,1.643731
52,1.147673,0.398930,1.655578
53,1.137339,0.520531,1.665700
54,1.126127,0.638316,1.674241
55,1.114256,0.752668,1.681316
56,1.101901,0.863999,1.687030
57,1.089202,0.972759,1.691470
58,1.076263,1.079461,1.694711
59,1.063174,1.184555,1.697188
60,1.049970,1.288466,1.699730
61,1.036635,1.391313,1.701322
62,1.023187,1.493758,1.702000
63,1.009663,1.596242,1.701783
64,0.996096,1.699227,1.700681
65,0.995159,1.706402,1.450703
66,0.995900,1.712543,1.200719
67,0.997715,1.717220,0.950726
68,1.000269,1.720798,0.700726
69,1.003232,1.723297,0.450726
70,1.006023,1.724648,0.200726
71,1.006024,1.724648,-0.049274
72,1.009505,1.724476,-0.299274
73,1.017874,1.721894,-0.549274
74,1.031818,1.713359,-0.799257
75,1.130055,1.612360,-1.046701
76,1.143848,1.588499,-1.294110
77,1.152127,1.559342,-1.541475
78,1.153019,1.528935,-1.788792
79,1.146978,1.501664,-2.036065
80,1.136611,1.481013,-2.283302
81,1.041919,1.371402,-2.533159
82,1.033661,1.365650,-2.782973
83,1.029238,1.363992,-3.032772
84,1.028945,1.363960,3.000611
85,1.025969,1.364383,2.750812
86,1.022162,1.365951,2.501020
87,1.018162,1.368933,2.251234
88,1.014651,1.373271,2.001454
89,0.962532,1.486717,1.751826
90,0.961485,1.492434,1.502200
91,0.961870,1.498037,1.252572
92,0.963453,1.502843,1.002944
93,0.965914,1.506701,0.753315
94,0.969037,1.509630,0.503684
95,0.972818,1.511713,0.254052
96,0.974587,1.512172,0.004420
97,1.120020,1.512815,-0.244698
98,1.122168,1.512279,-0.493819
99,1.127774,1.509261,-0.742952
100,1.134619,1.502974,-0.992101
101,1.140500,1.493972,-1.241271
102,1.143943,1.483904,-1.490465
103,1.144665,1.474933,-1.739684
104,1.143652,1.468991,-1.988922
105,1.085227,1.337500,-2.238922
106,1.084535,1.336623,-2.488922
107,1.084535,1.336622,-2.738922
108,1.084531,1.336621,-2.988922
109,1.084309,1.336587,3.044263
110,1.084115,1.336606,2.794263
111,1.083966,1.336660,2.544263
112,1.083871,1.336724,2.294263
113,0.992799,1.439838,2.044264
114,0.992783,1.439869,1.794266
115,0.992578,1.440772,1.544269
116,0.992617,1.442273,1.294270
117,0.993095,1.443956,1.044272
118,0.994001,1.445514,0.794272
119,0.995051,1.446583,0.544272
120,0.995867,1.447077,0.294272
