wp_idx,x,y
0,3.264676,-1.127412
1,3.242588,-1.275777
2,3.209662,-1.421546
3,3.170584,-1.566366
4,3.129552,-1.703967
5,3.084685,-1.846873
6,3.039293,-1.989447
7,2.973850,-2.142850
8,2.802627,-2.303434
9,2.669562,-2.372671
10,2.524784,-2.411905
11,2.378082,-2.423920
12,2.232581,-2.429013
13,2.090239,-2.427650
14,1.952882,-2.419844
15,1.821520,-2.405830
16,1.696166,-2.385690
17,1.576973,-2.359371
18,1.350670,-2.285194
19,1.139908,-2.185953
20,1.030508,-2.127981
21,0.952421,-1.898199
22,0.955881,-1.748239
23,0.989478,-1.602050
24,1.026602,-1.456717
25,1.061156,-1.310751
26,1.091802,-1.163915
27,1.117718,-1.016171
28,1.138563,-0.867626
29,1.154357,-0.718460
30,1.165375,-0.568865
31,1.171974,-0.420458
32,1.174656,-0.274942
33,1.173980,-0.132221
34,1.170441,0.007829
35,1.164576,0.142984
36,1.156860,0.273196
37,1.147673,0.398930
38,1.137339,0.520531
39,1.114256,0.752668
40,1.089202,0.972759
41,1.063174,1.184555
42,1.036635,1.391313
43,1.009663,1.596242
44,0.997715,1.717220
45,1.130055,1.612360
46,1.136611,1.481013
47,1.041919,1.371402
48,0.962532,1.486717
49,1.120020,1.512815
50,1.085227,1.337500
51,0.992799,1.439838
52,0.995867,1.447077
53,1.000000,1.750000
