point_idx,x,y,theta
0,3.259521,-1.004615,-0.000000
1,3.259521,-1.004615,0.400000
2,3.259521,-1.004615,0.800000
3,3.268410,-0.995462,1.200000
4,3.355376,-0.771772,1.596692
5,3.349162,-0.531853,1.755025
6,3.305196,-0.295914,1.795649
7,3.251685,-0.061956,1.819119
8,3.192699,0.170683,1.829920
9,3.131203,0.402670,1.830252
10,3.069629,0.634637,1.822880
11,3.009768,0.867052,1.810204
12,2.952858,1.100207,1.794354
13,2.899650,1.334234,1.777217
14,2.850460,1.569139,1.754394
15,2.835482,1.649798,2.152005
16,2.814388,1.681910,2.549695
17,2.795166,1.694833,2.947464
18,2.562720,1.740533,-3.068798
19,2.328481,1.723452,-3.049080
20,2.097091,1.701984,-3.055037
21,1.868199,1.682122,-3.062650
22,1.641466,1.664186,-3.069402
23,1.433103,1.649118,-3.075170
24,1.228211,1.635488,-3.080156
25,1.034186,1.623553,-3.084459
26,0.846400,1.612812,-3.088084
27,0.659949,1.602826,2.982418
28,0.659949,1.602826,2.582418
29,0.659949,1.602826,2.182418
30,0.659949,1.602826,1.782418
31,0.659949,1.602826,1.382418
32,0.660183,1.604052,0.982418
33,0.672601,1.622666,0.582418
34,0.872888,1.754580,0.252277
35,0.902585,1.762235,-0.147506
36,0.930484,1.758090,-0.547218
37,0.952683,1.744564,-0.946986
38,0.959973,1.734435,-1.346829
39,0.960898,1.730371,-1.746696
40,0.921308,1.507622,-2.146692
41,0.921235,1.507510,-2.546688
42,0.921105,1.507422,-2.946684
43,0.921053,1.507412,2.936506
44,0.921031,1.507417,2.536511
45,0.921025,1.507421,2.136517
46,0.797413,1.702102,1.839560
47,0.797258,1.702665,1.440057
48,0.798986,1.715807,1.040607
49,0.809369,1.733520,0.641217
50,0.827788,1.747269,0.241855
51,0.850422,1.752852,-0.157235
52,1.087157,1.715320,-0.556564
53,1.102248,1.705930,-0.955798
54,1.109175,1.696125,-1.355018
55,1.111157,1.687081,-1.754249
56,1.109960,1.680628,-2.153492
57,1.107862,1.677445,-2.552741
58,0.933789,1.561183,-2.946273
59,0.933637,1.561153,2.936919
60,0.933490,1.561183,2.536925
61,0.933490,1.561183,2.136932
62,0.933490,1.561183,1.736938
63,0.933441,1.561476,1.336944
64,0.987758,1.789495,1.077451
65,0.991161,1.795824,0.677451
66,0.998103,1.801408,0.277451
67,0.999821,1.801898,-0.122549
68,0.999821,1.801898,-0.522549
69,0.999821,1.801898,-0.922549
70,1.138466,1.618853,-1.322173
71,1.138737,1.617785,-1.721799
72,1.138509,1.616288,-2.121426
73,1.138026,1.615501,-2.521054
74,1.138026,1.615501,-2.920682
75,0.914088,1.565210,2.962503
