point_idx,x,y,theta
0,3.251803,-0.985235,-0.000000
1,3.252050,-0.985235,-0.396792
2,3.252050,-0.985235,-0.793582
3,3.252050,-0.985235,-1.190368
4,3.314259,-1.140793,-1.581458
5,3.312138,-1.339685,-1.690474
6,3.287268,-1.546504,-1.733217
7,3.252652,-1.757752,-1.750164
8,3.213516,-1.973595,-1.750721
9,3.173267,-2.194874,-1.738634
10,3.171619,-2.204599,-2.103827
11,3.157776,-2.228063,-2.469064
12,3.130592,-2.249712,-2.834353
13,2.908317,-2.320236,-3.065403
14,2.677004,-2.337894,-3.088839
15,2.445982,-2.350093,-3.095638
16,2.215551,-2.360690,-3.107829
17,1.985552,-2.368458,-3.123975
18,1.755934,-2.372504,3.136791
19,1.526698,-2.371403,3.106180
20,1.297244,-2.363274,3.091301
21,1.068200,-2.351745,3.090331
22,1.063301,-2.351494,2.692372
23,1.046383,-2.343338,2.294430
24,1.029988,-2.324781,1.896503
25,0.953490,-2.098277,1.572862
26,0.952994,-1.858277,1.557201
27,0.956257,-1.618300,1.559131
28,0.959057,-1.378316,1.560841
29,0.961435,-1.139438,1.561248
30,0.963681,-0.904204,1.560561
31,0.966054,-0.672357,1.559017
32,0.968742,-0.444188,1.556830
33,0.971884,-0.219202,1.554185
34,0.975578,0.003173,1.551267
35,0.979881,0.223445,1.548320
36,0.984791,0.441866,1.545583
37,0.990261,0.658793,1.543251
38,0.996209,0.874647,1.541494
39,1.002520,1.089971,1.540473
40,1.009042,1.304988,1.539934
41,1.015676,1.519896,1.539899
42,1.022325,1.734996,1.540371
43,1.022325,1.734996,1.140882
44,1.022325,1.734996,0.741386
45,1.022325,1.734996,0.341883
46,1.022325,1.734996,-0.057622
47,1.025489,1.734813,-0.457122
48,1.035084,1.730094,-0.856606
49,1.046006,1.717494,-1.256069
50,1.120298,1.489287,-1.595938
51,1.119795,1.469287,-1.994221
52,1.112716,1.453579,-2.392530
53,1.104240,1.445697,-2.790870
54,1.100423,1.444301,3.093959
55,1.095331,1.444544,2.695599
56,0.888852,1.543266,2.295599
57,0.888837,1.543283,1.895599
58,0.888837,1.543283,1.495599
59,0.888837,1.543283,1.095599
60,0.888837,1.543283,0.695599
61,1.066172,1.691322,0.296591
62,1.066172,1.691322,-0.102419
63,1.069639,1.690965,-0.501425
64,1.075853,1.687559,-0.900422
65,1.081684,1.680205,-1.299411
66,1.146020,1.448989,-1.698239
67,1.144972,1.440809,-2.097071
68,1.142398,1.436378,-2.495910
69,1.141690,1.435845,-2.894753
70,1.141690,1.435845,2.989589
71,0.911644,1.471084,2.589589
72,0.911644,1.471084,2.189589
73,0.911644,1.471084,1.789589
74,0.911644,1.471084,1.389589
75,0.911644,1.471084,0.989589
