wp_idx,x,y
0,3.314259,-1.140793
1,3.312138,-1.339685
2,3.287268,-1.546504
3,3.252652,-1.757752
4,3.213516,-1.973595
5,3.173267,-2.194874
6,2.908317,-2.320236
7,2.677004,-2.337894
8,2.445982,-2.350093
9,2.215551,-2.360690
10,1.985552,-2.368458
11,1.755934,-2.372504
12,1.526698,-2.371403
13,1.297244,-2.363274
14,1.068200,-2.351745
15,0.953490,-2.098277
16,0.952994,-1.858277
17,0.956257,-1.618300
18,0.959057,-1.378316
19,0.961435,-1.139438
20,0.963681,-0.904204
21,0.966054,-0.672357
22,0.968742,-0.444188
23,0.971884,-0.219202
24,0.975578,0.003173
25,0.979881,0.223445
26,0.984791,0.441866
27,0.990261,0.658793
28,0.996209,0.874647
29,1.002520,1.089971
30,1.009042,1.304988
31,1.015676,1.519896
32,1.022325,1.734996
33,1.120298,1.489287
34,0.888852,1.543266
35,1.066172,1.691322
36,1.146020,1.448989
37,0.911644,1.471084
38,1.000000,1.750000
