point_idx,x,y,theta
0,3.255700,-1.005627,-0.000000
1,3.255700,-1.005627,0.250000
2,3.255700,-1.005627,0.500000
3,3.255700,-1.005627,0.750000
4,3.255700,-1.005627,1.000000
5,3.293269,-0.947116,1.250000
6,3.340568,-0.804768,1.498763
7,3.351363,-0.655157,1.695653
8,3.332683,-0.506325,1.760976
9,3.304328,-0.359029,1.800086
10,3.270235,-0.212955,1.823595
11,3.232718,-0.067723,1.834047
12,3.193685,0.077110,1.832577
13,3.154865,0.221999,1.824739
14,3.117181,0.367189,1.813482
15,3.081135,0.512793,1.801332
16,3.046860,0.658825,1.790616
17,3.014152,0.805215,1.783503
18,2.982486,0.951835,1.782037
19,2.951035,1.098501,1.788165
20,2.918686,1.244971,1.803745
21,2.884059,1.390919,1.829515
22,2.846474,1.532935,1.837359
23,2.824984,1.611638,2.081268
24,2.781858,1.688651,2.326527
25,2.722456,1.751686,2.569364
26,2.657177,1.793734,2.810652
27,2.515317,1.842474,3.051000
28,2.365932,1.856044,-2.991351
29,2.217622,1.833592,-2.959702
30,2.082920,1.808818,-2.956072
31,1.935494,1.781149,-2.953419
32,1.796114,1.754607,-2.950220
33,1.667626,1.729713,-2.946852
34,1.549126,1.706340,-2.943738
35,1.439594,1.684382,-2.941207
36,1.337943,1.663735,-2.939491
37,1.243104,1.644303,-2.938738
38,1.153626,1.625899,-2.939351
39,1.068232,1.608389,-2.941350
40,0.985421,1.591582,-2.944701
41,0.903585,1.575257,-2.949328
42,0.820993,1.559179,3.085142
43,0.819394,1.559270,2.836419
44,0.817569,1.559844,2.587689
45,0.816457,1.560532,2.338955
46,0.816320,1.560674,2.090222
47,0.815552,1.562017,1.841497
48,0.814260,1.566672,1.592805
49,0.814029,1.577188,1.344140
50,0.814029,1.577188,1.095493
51,0.816948,1.582860,0.846843
52,0.913835,1.692449,0.597154
53,0.925478,1.700367,0.347166
54,0.940658,1.705859,0.097166
55,0.957469,1.707498,-0.152834
56,0.973387,1.705046,-0.402834
57,0.986318,1.699535,-0.652834
58,0.995069,1.692844,-0.902834
59,1.081009,1.583913,-1.152834
60,1.083280,1.578799,-1.402834
61,1.084807,1.569797,-1.652834
62,1.083925,1.559071,-1.902834
63,1.083001,1.556391,-2.152834
64,1.083001,1.556391,-2.402834
65,1.083001,1.556391,-2.652834
66,1.081524,1.555606,-2.902834
67,1.080231,1.555291,3.130351
68,0.961013,1.556631,2.880664
69,0.958051,1.557422,2.631015
70,0.956497,1.558292,2.381395
71,0.953624,1.561024,2.131789
72,0.950710,1.565662,1.882178
73,0.948102,1.573765,1.632542
74,0.947840,1.577996,1.382876
75,0.948479,1.581356,1.133176
76,1.002828,1.697517,0.883176
77,1.004371,1.699395,0.633176
78,1.005935,1.700543,0.383176
79,1.006960,1.700956,0.133176
80,1.006960,1.700956,-0.116824
81,1.006960,1.700956,-0.366824
82,1.006960,1.700956,-0.616824
83,1.006960,1.700956,-0.866824
84,1.006960,1.700956,-1.116824
85,1.063080,1.585948,-1.366728
86,1.063080,1.585948,-1.616658
87,1.063080,1.585948,-1.866612
88,1.063080,1.585948,-2.116585
89,1.062911,1.585670,-2.366566
90,1.062911,1.585670,-2.616539
91,1.061299,1.584736,-2.866494
92,1.061299,1.584736,-3.116420
93,1.061299,1.584736,2.916877
94,0.938922,1.612708,2.667557
95,0.938904,1.612718,2.418268
96,0.938904,1.612718,2.168999
97,0.936814,1.615784,1.919733
98,0.935429,1.619591,1.670442
99,0.935033,1.623549,1.421091
100,0.935453,1.626331,1.171667
101,0.936893,1.629745,0.922176
102,0.937227,1.630187,0.672646
103,1.029406,1.703613,0.422646
104,1.029406,1.703613,0.172646
105,1.029406,1.703613,-0.077354
106,1.029406,1.703613,-0.327354
107,1.029406,1.703613,-0.577354
108,1.029406,1.703613,-0.827354
109,1.029406,1.703613,-1.077354
110,1.029406,1.703613,-1.327354
111,1.029406,1.703613,-1.577354
112,1.028536,1.570937,-1.827354
113,1.028536,1.570937,-2.077354
114,1.028536,1.570937,-2.327354
115,1.028198,1.570580,-2.577354
116,1.025702,1.569000,-2.827354
117,1.021624,1.567675,-3.077354
118,1.017003,1.567377,2.955831
119,1.013142,1.568103,2.705831
120,1.011077,1.569065,2.455831
