wp_idx,x,y
0,3.340568,-0.804768
1,3.351363,-0.655157
2,3.332683,-0.506325
3,3.304328,-0.359029
4,3.270235,-0.212955
5,3.232718,-0.067723
6,3.193685,0.077110
7,3.154865,0.221999
8,3.117181,0.367189
9,3.081135,0.512793
10,3.046860,0.658825
11,3.014152,0.805215
12,2.982486,0.951835
13,2.951035,1.098501
14,2.918686,1.244971
15,2.884059,1.390919
16,2.846474,1.532935
17,2.781858,1.688651
18,2.657177,1.793734
19,2.515317,1.842474
20,2.365932,1.856044
21,2.217622,1.833592
22,2.082920,1.808818
23,1.935494,1.781149
24,1.796114,1.754607
25,1.667626,1.729713
26,1.549126,1.706340
27,1.337943,1.663735
28,1.153626,1.625899
29,0.985421,1.591582
30,0.820993,1.559179
31,0.913835,1.692449
32,1.081009,1.583913
33,0.961013,1.556631
34,1.002828,1.697517
35,1.063080,1.585948
36,0.938922,1.612708
37,1.029406,1.703613
38,1.028536,1.570937
39,1.011077,1.569065
40,1.000000,1.750000
