wp_idx,x,y
0,-5.189843,-0.610829
1,-5.142061,-0.470621
2,-5.130237,-0.323289
3,-5.132525,-0.175601
4,-5.135191,-0.027931
5,-5.137833,0.119732
6,-5.140455,0.267388
7,-5.143074,0.415038
8,-5.145708,0.562683
9,-5.148374,0.710325
10,-5.151089,0.857963
11,-5.153870,1.005599
12,-5.156731,1.153233
13,-5.159690,1.300866
14,-5.162762,1.448500
15,-5.165961,1.596134
16,-5.169301,1.743769
17,-5.172795,1.891406
18,-5.176457,2.039045
19,-5.180298,2.186688
20,-5.184330,2.334334
21,-5.188562,2.481984
22,-5.193005,2.629639
23,-5.197665,2.777300
24,-5.202551,2.924965
25,-5.207669,3.072638
26,-5.213024,3.220317
27,-5.218619,3.368003
28,-5.224458,3.515697
29,-5.230541,3.663401
30,-5.236869,3.811113
31,-5.243439,3.958836
32,-5.250250,4.106569
33,-5.257295,4.254315
34,-5.264570,4.402075
35,-5.144786,4.489551
36,-5.007170,4.544600
37,-4.859917,4.564279
38,-4.710973,4.566580
39,-4.562075,4.567734
40,-4.413228,4.569006
41,-4.264426,4.570445
42,-4.115663,4.571977
43,-3.966928,4.573514
44,-3.818133,4.574928
45,-3.669220,4.575767
46,-3.519895,4.575000
47,-3.369923,4.572119
48,-3.219973,4.568257
49,-3.070033,4.564021
50,-2.989100,4.433956
51,-2.945987,4.290572
52,-2.939677,4.140719
53,-2.950836,3.991135
54,-2.965956,3.841899
55,-2.982242,3.692786
56,-2.999017,3.543727
57,-3.016143,3.394709
58,-3.000000,3.500000
