point_idx,x,y,theta
0,-5.274255,-0.736483,0.000000
1,-5.211159,-0.736483,-0.216756
2,-5.167263,-0.746150,-0.434457
3,-5.143336,-0.757252,-0.652778
4,-5.141853,-0.758386,-0.871198
5,-5.049092,-0.868606,-1.098807
6,-4.992195,-0.980066,-1.334281
7,-4.965119,-1.092403,-1.485124
8,-4.955451,-1.204976,-1.501669
9,-4.947402,-1.321226,-1.506829
10,-4.939675,-1.441854,-1.513818
11,-4.932523,-1.567240,-1.523773
12,-4.926381,-1.697762,-1.536299
13,-4.921685,-1.833827,-1.550728
14,-4.918819,-1.976618,-1.569226
15,-4.918589,-2.123272,-1.594869
16,-4.918981,-2.139583,-1.364245
17,-4.914843,-2.159333,-1.133783
18,-4.903073,-2.184530,-0.903418
19,-4.884200,-2.208480,-0.673036
20,-4.779166,-2.292214,-0.440624
21,-4.652924,-2.351742,-0.205247
22,-4.507152,-2.382089,-0.010060
23,-4.357160,-2.383598,-0.001528
24,-4.211791,-2.383820,-0.000448
25,-4.071747,-2.383883,0.008096
26,-3.936865,-2.382791,0.026221
27,-3.807146,-2.379388,0.054941
28,-3.682732,-2.372546,0.095152
29,-3.563946,-2.361209,0.147719
30,-3.449782,-2.344221,0.211902
31,-3.327251,-2.317861,0.271736
32,-3.215951,-2.286850,0.309473
33,-3.107889,-2.252297,0.326160
34,-3.003087,-2.216849,0.322836
35,-3.002234,-2.216564,0.560897
36,-2.991768,-2.209989,0.799127
37,-2.975712,-2.193486,1.037329
38,-2.951641,-2.152728,1.275001
39,-2.907916,-2.009242,1.500129
40,-2.897324,-1.859616,1.712038
41,-2.918440,-1.711110,1.707362
42,-2.938861,-1.562507,1.680975
43,-2.955355,-1.413416,1.658907
44,-2.968554,-1.263998,1.640682
45,-2.979029,-1.114364,1.625705
46,-2.987261,-0.964590,1.613538
47,-2.993670,-0.814727,1.603761
48,-2.998614,-0.664809,1.595967
49,-3.002389,-0.514856,1.589765
50,-3.005234,-0.364883,1.584777
51,-3.007332,-0.214898,1.580638
52,-3.008808,-0.064905,1.576997
53,-3.009738,0.085092,1.573525
54,-3.010147,0.235091,1.569907
55,-3.010014,0.385091,1.565829
56,-3.009269,0.535089,1.561007
57,-3.007800,0.685082,1.555166
58,-3.005456,0.835064,1.548007
59,-3.002074,0.983441,1.539259
60,-2.997387,1.132014,1.531576
61,-2.991634,1.278624,1.529612
62,-2.985570,1.425771,1.539967
63,-2.980946,1.575700,1.571232
64,-2.981011,1.723802,1.630906
65,-2.989369,1.862687,1.665903
66,-3.002856,2.004066,1.675334
67,-3.017949,2.147918,1.658893
68,-3.031146,2.297336,1.622192
69,-3.038852,2.447138,1.578545
70,-3.040015,2.597134,1.537757
71,-3.035143,2.744528,1.505354
72,-3.025544,2.890991,1.482432
73,-3.012630,3.036757,1.468096
74,-2.997579,3.182801,1.461513
75,-2.981547,3.328917,1.461513
