plan_stamp,point_idx,x,y
34.456,0,-5.26748829301723,-0.7413904089863874
34.456,1,-5.266538632966658,-0.7413904089863874
34.456,2,-5.2659712176593425,-0.7411518733521641
34.456,3,-5.265195123514281,-0.7403592717450368
34.456,4,-5.177992301200555,-0.520057691495539
34.456,5,-5.176160772022005,-0.283349199984983
34.456,6,-5.178614809475393,-0.04666404182829936
34.456,7,-5.181554422119813,0.19000528569766814
34.456,8,-5.184805187682475,0.4266635810192157
34.456,9,-5.18837045073766,0.66331348997806
34.456,10,-5.192261886226796,0.8999574566560616
34.456,11,-5.196490416720795,1.136597854412693
34.456,12,-5.201065370199172,1.373237012596052
34.456,13,-5.205994082040227,1.6098772389963443
34.456,14,-5.211281520569798,1.8465208439249872
34.456,15,-5.216929912317036,2.08317016639293
34.456,16,-5.222938365635922,2.319827602411099
34.456,17,-5.229302492682661,2.5564956352222383
34.456,18,-5.23601402980266,2.793176867060057
34.456,19,-5.243060456363163,3.029874051800873
34.456,20,-5.250424612043745,3.2665901276346005
34.456,21,-5.258084312571565,3.5033282486201855
34.456,22,-5.266011963862821,3.740091813717904
34.456,23,-5.274174174506713,3.9768844915906105
34.456,24,-5.282531366505398,4.213710239153743
34.456,25,-5.291037384164363,4.450573311513547
34.456,26,-5.291121096280573,4.452878876201396
34.456,27,-5.290604163938509,4.454256066788269
34.456,28,-5.2903558631059475,4.454520231875521
34.456,29,-5.074477661086978,4.551178471342326
34.456,30,-4.838115782088174,4.565137947023604
34.456,31,-4.601470197112124,4.569330111294494
34.456,32,-4.364887915206632,4.572020475501972
34.456,33,-4.128338477278427,4.573943886229139
34.456,34,-3.891799299847908,4.574945378331172
34.456,35,-3.655129595592642,4.575003852194353
34.456,36,-3.4174668519537637,4.572475046661336
34.456,37,-3.1804529558505203,4.570310209900212
34.456,38,-3.1804529558505203,4.570310209900212
34.456,39,-3.178039498368656,4.569331831943999
34.456,40,-3.00725590198601,4.40327794556181
34.456,41,-2.911310518297957,4.184602935579262
34.456,42,-2.901843288852405,3.9447897341773683
34.456,43,-2.922374085356547,3.710497407086126
34.456,44,-2.9597023551305774,3.4810299409797976
34.456,45,-2.9597023551305774,3.4810299409797976
34.456,46,-2.9597023551305774,3.4810299409797976
34.456,47,-2.9597023551305774,3.4810299409797976
34.456,48,-2.9597023551305774,3.4810299409797976
34.456,49,-2.9597023551305774,3.4810299409797976
34.456,50,-3.1244186282080006,3.6149107691413507
34.456,51,-3.1244186282080006,3.6149107691413507
34.456,52,-3.1244186282080006,3.6149107691413507
34.456,53,-3.1233903387351476,3.61813238475619
34.456,54,-3.1207416197892717,3.6212261822902114
34.456,55,-3.1184872796481016,3.622353407499024
34.456,56,-3.116310947015431,3.6224941614257715
34.456,57,-2.911123299580562,3.5511796119032786
34.456,58,-2.909620484122106,3.5501626485241107
34.456,59,-2.9088407629523605,3.548963788529221
34.456,60,-2.908755963366254,3.5484908444310457
34.456,61,-2.910620274434193,3.540224296252675
34.456,62,-3.04876717383314,3.3471533621767895
34.456,63,-3.0639804909829205,3.335299600805798
34.456,64,-3.0852653117600193,3.329408142455598
34.456,65,-3.1068212916734383,3.332047906636009
34.456,66,-3.1228015718131945,3.3410653138838655
34.456,67,-3.130490098167602,3.3508670082210266
34.456,68,-3.131774136344184,3.355448394410023
34.456,69,-3.1043303903511736,3.585666454353637
34.456,70,-3.1043303903511736,3.585666454353637
34.456,71,-3.1043303903511736,3.585666454353637
34.456,72,-3.1043303903511736,3.585666454353637
34.456,73,-3.1043303903511736,3.585666454353637
34.456,74,-2.913272993209596,3.48295920434205
34.456,75,-2.913272993209596,3.48295920434205
