point_idx,x,y,theta
0,-5.267488,-0.741390,0.000000
1,-5.263183,-0.741390,-0.389979
2,-5.261995,-0.741879,-0.779968
3,-5.261977,-0.741896,-1.169965
4,-5.172880,-0.952143,-1.536714
5,-5.165141,-1.179141,-1.593102
6,-5.170213,-1.406526,-1.602583
7,-5.177457,-1.634320,-1.603819
8,-5.184998,-1.862621,-1.603566
9,-5.192501,-2.091481,-1.603215
10,-5.199942,-2.320939,-1.603163
11,-5.199942,-2.320947,-1.204187
12,-5.199928,-2.320983,-0.805212
13,-5.197770,-2.323229,-0.406238
14,-4.979250,-2.417228,-0.007588
15,-4.739271,-2.419049,0.069425
16,-4.499866,-2.402402,0.079300
17,-4.260647,-2.383392,0.080341
18,-4.021448,-2.364133,0.079938
19,-3.782245,-2.344971,0.079163
20,-3.543081,-2.325998,0.078178
21,-3.303944,-2.307265,0.076959
22,-3.064854,-2.288828,0.075523
23,-3.063681,-2.288740,0.469437
24,-3.062437,-2.288109,0.863347
25,-3.061560,-2.287082,1.257254
26,-2.987709,-2.059315,1.559744
27,-2.985074,-1.820924,1.571354
28,-2.985207,-1.582897,1.571255
29,-2.985316,-1.345198,1.570925
30,-2.985346,-1.107802,1.570868
31,-2.985363,-0.870685,1.571108
32,-2.985437,-0.633833,1.571650
33,-2.985639,-0.397341,1.572495
34,-2.986040,-0.161169,1.573646
35,-2.986713,0.074722,1.575104
36,-2.987728,0.310369,1.576871
37,-2.989158,0.545812,1.578947
38,-2.991063,0.779458,1.581336
39,-2.993524,1.012976,1.584038
40,-2.996615,1.246401,1.587059
41,-3.000411,1.479822,1.590429
42,-3.005123,1.719776,1.594014
43,-3.010695,1.959711,1.597353
44,-3.017067,2.199626,1.600445
45,-3.024182,2.439521,1.603291
46,-3.031980,2.679394,1.605891
47,-3.040401,2.919246,1.608245
48,-3.049386,3.159078,1.610350
49,-3.058877,3.398890,1.612207
50,-3.068812,3.638685,1.610838
51,-3.068878,3.640328,1.215974
52,-3.068001,3.642696,0.821107
53,-3.065977,3.644870,0.426238
54,-3.063166,3.646146,0.031366
55,-3.060175,3.646240,-0.363506
56,-3.057671,3.645288,-0.758379
57,-3.056079,3.643779,-1.153249
58,-2.959564,3.426224,-1.491871
59,-2.959564,3.426224,-1.888693
60,-2.959564,3.426224,-2.285515
61,-2.959580,3.426206,-2.682338
62,-2.959605,3.426194,-3.079162
63,-2.959655,3.426191,2.807200
64,-2.960180,3.426373,2.410377
65,-3.135392,3.583557,2.082320
66,-3.136013,3.584664,1.686285
67,-3.136165,3.585971,1.290254
68,-3.135606,3.587909,0.894220
69,-3.134758,3.588966,0.498184
70,-2.928616,3.701096,0.213272
71,-2.928616,3.701096,-0.185794
72,-2.928616,3.701096,-0.584978
73,-2.928616,3.701096,-0.984571
74,-2.928616,3.701096,-1.384484
75,-2.928616,3.701096,-1.784484
